"","taxon","stat","p","p.adj"
"1","Neisseria",7952.5,0.159377874540404,0.61758015604326
"2","Streptococcus",7910,0.184140887090094,0.61758015604326
"3","Haemophilus",6959,0.660673183494231,0.75197970390821
"4","Prevotella",7449,0.637921497251663,0.749922981501955
"5","Moraxella",5923,0.0179708137227389,0.586464894868789
"6","Veillonella",8140,0.0790990623901044,0.61758015604326
"7","Fusobacterium",6604.5,0.272030124151339,0.61758015604326
"8","Porphyromonas",7572.5,0.483718492659936,0.683418787794772
"9","Lautropia",8456.5,0.0190410680152204,0.586464894868789
"10","Actinobacillus",6928.5,0.620076389944747,0.746029406652274
"11","Gemella",8052.5,0.111118045594238,0.61758015604326
"12","Alloprevotella",7535,0.528314477131224,0.703055009410834
"13","Leptotrichia",7626.5,0.423251328533098,0.647698482750283
"14","Rothia",7949.5,0.161032976835411,0.61758015604326
"15","Aggregatibacter",7127.5,0.900075694055673,0.930279576406535
"16","Granulicatella",8528,0.0132244155401219,0.586464894868789
"17","Escherichia/Shigella",6680.5,0.338359750359159,0.635456116528177
"18","ASV_52",7891.5,0.19569835186185,0.61758015604326
"19","Pseudomonas",6856.5,0.528762968716341,0.703055009410834
"20","ASV_62",6926,0.616777194613169,0.746029406652274
"21","Campylobacter",7193,0.997031650725639,0.997031650725639
"22","Bergeyella",8328,0.0352162301124771,0.61758015604326
"23","ASV_68",7689,0.35899372183257,0.647698482750283
"24","Actinomyces",8121,0.0853109346386141,0.61758015604326
"25","ASV_77",8748.5,0.00387513930215828,0.298385726266187
"26","Dolosigranulum",6498,0.194662607471098,0.61758015604326
"27","Corynebacterium",7523,0.542958475923272,0.703055009410834
"28","Streptobacillus",6758,0.416222716626078,0.647698482750283
"29","Oribacterium",7358,0.763118518196049,0.821819942672668
"30","ASV_112",6780,0.440016026304956,0.647698482750283
"31","Stomatobaculum",7432,0.660634658196267,0.75197970390821
"32","Lachnoanaerobaculum",7451,0.635235555320063,0.749922981501955
"33","ASV_120",6435,0.157300720195912,0.61758015604326
"34","ASV_126",6765.5,0.424151640870119,0.647698482750283
"35","Mannheimia",7243.5,0.929576195201075,0.948044596430236
"36","TM7x",7596,0.456769088126137,0.657405977303039
"37","Tropheryma",6265.5,0.0837015288810123,0.61758015604326
"38","Solobacterium",7421,0.675519091909008,0.75197970390821
"39","Peptostreptococcus",6382,0.130405522136478,0.61758015604326
"40","Abiotrophia",7555,0.504177680717435,0.703055009410834
"41","Oceanivirga",6153,0.0525074331703008,0.61758015604326
"42","ASV_157",6374.5,0.126853119659704,0.61758015604326
"43","ASV_163",6265,0.0835258598348151,0.61758015604326
"44","ASV_180",6620,0.284654642951566,0.61758015604326
"45","ASV_182",6973.5,0.680214033936239,0.75197970390821
"46","ASV_187",6610.5,0.276778770588786,0.61758015604326
"47","Treponema",5547.5,0.00217564952993886,0.298385726266187
"48","Eikenella",6636,0.298252378226578,0.61758015604326
"49","ASV_203",6650,0.310505953285113,0.61758015604326
"50","ASV_205",6863,0.536751053301555,0.703055009410834
"51","ASV_209",6981,0.690508077792901,0.754171943121325
"52","F0058",7466.5,0.614744620549604,0.746029406652274
"53","ASV_214",6743,0.400292774739624,0.647698482750283
"54","ASV_216",6970.5,0.676129916703539,0.75197970390821
"55","Conchiformibius",7157.5,0.944372054874141,0.950544421245867
"56","Hydrogenophaga",6629,0.292231595248741,0.61758015604326
"57","Candidatus_Saccharimonas",7761,0.293142620452546,0.61758015604326
"58","ASV_239",7056.5,0.796627907502053,0.84027875174874
"59","ASV_242",6526,0.213165966241483,0.61758015604326
"60","Mogibacterium",7430,0.663291391275714,0.75197970390821
