feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lautropia	visit	Week 48	-0.23033003588464	0.112020064244014	286	228	0.0406818083175513	0.695918556956095
Alloprevotella	visit	Week 48	-0.224274843364321	0.0965202922182783	286	257	0.0208527427706966	0.695918556956095
Aggregatibacter	visit	Week 48	-0.151069387032456	0.0780178103924211	286	187	0.0538174706511651	0.695918556956095
ASV_52	visit	Week 48	-0.10919748138727	0.0533888766617183	286	98	0.041744394989317	0.695918556956095
ASV_62	visit	Week 48	-0.187595819937572	0.093130446679119	286	127	0.0449170638572619	0.695918556956095
ASV_68	visit	Week 48	-0.141214588644883	0.0563261333385582	286	50	0.0127315832402148	0.695918556956095
Lachnoanaerobaculum	visit	Week 48	-0.25569253734956	0.0894076086247737	286	156	0.0045527522118288	0.695918556956095
Hydrogenophaga	visit	Week 48	0.0397699872138516	0.016007243598061	286	7	0.0135496722491594	0.695918556956095
ASV_283	visit	Week 48	-0.0581020402268263	0.0297619327038882	286	13	0.0518937371507846	0.695918556956095
Capnocytophaga	visit	Week 48	-0.121374656710753	0.0633022147388369	286	75	0.0561921816175729	0.695918556956095
ASV_383	visit	Week 48	-0.0504405103802853	0.0218393685595469	286	8	0.0216268694884263	0.695918556956095
ASV_689	visit	Week 48	-0.0236046062098389	0.0113246959146604	286	5	0.0380220270807512	0.695918556956095
ASV_1095	visit	Week 48	0.0346291862081663	0.0179472615440178	286	6	0.0546652245776894	0.695918556956095
Prevotella	visit	Week 48	-0.138085943692806	0.0995140506132347	286	269	0.166345901192229	0.727725557630324
Veillonella	visit	Week 48	-0.139085159486192	0.100580490481311	286	266	0.167804992323711	0.727725557630324
Granulicatella	visit	Week 48	-0.0913386151730721	0.0721962663150076	286	268	0.206857055388454	0.727725557630324
Bergeyella	visit	Week 48	-0.149319236786279	0.0953453054926535	286	121	0.118441307861458	0.727725557630324
Corynebacterium	visit	Week 48	-0.105627668216433	0.0771962596382126	286	107	0.172299592012572	0.727725557630324
Stomatobaculum	visit	Week 48	-0.117642369138799	0.0795772615239714	286	136	0.140424589900272	0.727725557630324
Abiotrophia	visit	Week 48	-0.0787297155275744	0.0625645093566961	286	57	0.209289104814724	0.727725557630324
ASV_209	visit	Week 48	-0.0934703670884025	0.054606925943894	286	57	0.088044725304914	0.727725557630324
ASV_214	visit	Week 48	0.0384598068812721	0.0245770535680654	286	13	0.118727778280201	0.727725557630324
ASV_260	visit	Week 48	-0.0154139488292036	0.0102893786763923	286	9	0.135232279501	0.727725557630324
ASV_286	visit	Week 48	0.00883561181043069	0.00703787148112645	286	2	0.21035173746134	0.727725557630324
Butyrivibrio	visit	Week 48	0.0573994255711043	0.032613829007126	286	30	0.0794890791036907	0.727725557630324
ASV_339	visit	Week 48	-0.0107221883863494	0.0086651125818615	286	4	0.216961656933264	0.727725557630324
Hyphomicrobium	visit	Week 48	0.00608659793011126	0.00449062409723421	286	2	0.17636667140872	0.727725557630324
Peptoanaerobacter	visit	Week 48	0.046421147046978	0.0301524596853809	286	18	0.124784081121702	0.727725557630324
Delftia	visit	Week 48	0.00814419801856549	0.00475557117738121	286	3	0.0878851095561259	0.727725557630324
Sphingopyxis	visit	Week 48	0.00664031293743536	0.00498649302794106	286	2	0.184039761331809	0.727725557630324
ASV_461	visit	Week 48	-0.0432368519048416	0.0261133202617282	286	12	0.0988791076695892	0.727725557630324
Amnipila	visit	Week 48	0.0349820946383955	0.0262518589820045	286	13	0.18374543346644	0.727725557630324
Rodentibacter	visit	Week 48	-0.0175626509139958	0.0111547938141036	286	3	0.116497047347059	0.727725557630324
Shuttleworthia	visit	Week 48	-0.0297778654705436	0.0196671070353517	286	7	0.131113871018431	0.727725557630324
ASV_529	visit	Week 48	-0.0220863728500974	0.0120739488672666	286	4	0.068409319600569	0.727725557630324
