"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Lautropia","visit","Week 48",-0.23033003588464,0.112020064244014,0.0406818083175513,"visitWeek 48",0.695918556956095,286,228
"2","Alloprevotella","visit","Week 48",-0.224274843364321,0.0965202922182783,0.0208527427706966,"visitWeek 48",0.695918556956095,286,257
"3","Aggregatibacter","visit","Week 48",-0.151069387032456,0.0780178103924211,0.0538174706511651,"visitWeek 48",0.695918556956095,286,187
"4","ASV_52","visit","Week 48",-0.10919748138727,0.0533888766617183,0.041744394989317,"visitWeek 48",0.695918556956095,286,98
"5","ASV_62","visit","Week 48",-0.187595819937572,0.093130446679119,0.0449170638572619,"visitWeek 48",0.695918556956095,286,127
"6","ASV_68","visit","Week 48",-0.141214588644883,0.0563261333385582,0.0127315832402148,"visitWeek 48",0.695918556956095,286,50
"7","Lachnoanaerobaculum","visit","Week 48",-0.25569253734956,0.0894076086247737,0.0045527522118288,"visitWeek 48",0.695918556956095,286,156
"8","Hydrogenophaga","visit","Week 48",0.0397699872138516,0.016007243598061,0.0135496722491594,"visitWeek 48",0.695918556956095,286,7
"9","ASV_283","visit","Week 48",-0.0581020402268263,0.0297619327038882,0.0518937371507846,"visitWeek 48",0.695918556956095,286,13
"10","Capnocytophaga","visit","Week 48",-0.121374656710753,0.0633022147388369,0.0561921816175729,"visitWeek 48",0.695918556956095,286,75
"11","ASV_383","visit","Week 48",-0.0504405103802853,0.0218393685595469,0.0216268694884263,"visitWeek 48",0.695918556956095,286,8
"12","ASV_689","visit","Week 48",-0.0236046062098389,0.0113246959146604,0.0380220270807512,"visitWeek 48",0.695918556956095,286,5
"13","ASV_1095","visit","Week 48",0.0346291862081663,0.0179472615440178,0.0546652245776894,"visitWeek 48",0.695918556956095,286,6
"14","Prevotella","visit","Week 48",-0.138085943692806,0.0995140506132347,0.166345901192229,"visitWeek 48",0.727725557630324,286,269
"15","Veillonella","visit","Week 48",-0.139085159486192,0.100580490481311,0.167804992323711,"visitWeek 48",0.727725557630324,286,266
"16","Granulicatella","visit","Week 48",-0.0913386151730721,0.0721962663150076,0.206857055388454,"visitWeek 48",0.727725557630324,286,268
"17","Bergeyella","visit","Week 48",-0.149319236786279,0.0953453054926535,0.118441307861458,"visitWeek 48",0.727725557630324,286,121
"18","Corynebacterium","visit","Week 48",-0.105627668216433,0.0771962596382126,0.172299592012572,"visitWeek 48",0.727725557630324,286,107
"19","Stomatobaculum","visit","Week 48",-0.117642369138799,0.0795772615239714,0.140424589900272,"visitWeek 48",0.727725557630324,286,136
"20","Abiotrophia","visit","Week 48",-0.0787297155275744,0.0625645093566961,0.209289104814724,"visitWeek 48",0.727725557630324,286,57
"21","ASV_209","visit","Week 48",-0.0934703670884025,0.054606925943894,0.088044725304914,"visitWeek 48",0.727725557630324,286,57
"22","ASV_214","visit","Week 48",0.0384598068812721,0.0245770535680654,0.118727778280201,"visitWeek 48",0.727725557630324,286,13
"23","ASV_260","visit","Week 48",-0.0154139488292036,0.0102893786763923,0.135232279501,"visitWeek 48",0.727725557630324,286,9
"24","ASV_286","visit","Week 48",0.00883561181043069,0.00703787148112645,0.21035173746134,"visitWeek 48",0.727725557630324,286,2
"25","Butyrivibrio","visit","Week 48",0.0573994255711043,0.032613829007126,0.0794890791036907,"visitWeek 48",0.727725557630324,286,30
"26","ASV_339","visit","Week 48",-0.0107221883863494,0.0086651125818615,0.216961656933264,"visitWeek 48",0.727725557630324,286,4
"27","Hyphomicrobium","visit","Week 48",0.00608659793011126,0.00449062409723421,0.17636667140872,"visitWeek 48",0.727725557630324,286,2
