feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnoanaerobaculum	visit	Week 48	-0.720312579570661	0.239378582491655	286	155	0.00285536165572669	0.247632300829971
Hydrogenophaga	visit	Week 48	0.155589411005455	0.0535599678012761	286	7	0.00396180469137953	0.247632300829971
Johnsonella	visit	Week 48	0.274499063043657	0.096131006222602	286	11	0.00461426647509262	0.247632300829971
Lautropia	visit	Week 48	-0.718653980700974	0.320183496086815	286	228	0.0255697846490709	0.324950014639295
ASV_52	visit	Week 48	-0.547368208350686	0.255156021074229	286	98	0.0327825017657345	0.324950014639295
ASV_62	visit	Week 48	-0.521041746050865	0.245982455121582	286	127	0.0350260115748755	0.324950014639295
ASV_68	visit	Week 48	-0.539867115695111	0.229649130481592	286	50	0.0194151752996096	0.324950014639295
Bordetella	visit	Week 48	0.141212808527004	0.0740598892140546	286	2	0.057563546878829	0.324950014639295
Conchiformibius	visit	Week 48	0.32652458534946	0.158613171580661	286	33	0.040442432268147	0.324950014639295
ASV_283	visit	Week 48	-0.171993422910683	0.0903555128340083	286	13	0.0579836939856124	0.324950014639295
Butyrivibrio	visit	Week 48	0.161252016823463	0.0843810292291825	286	30	0.0570114206193928	0.324950014639295
Mycoplasma	visit	Week 48	0.235107305719005	0.123701160076714	286	40	0.0583659189729788	0.324950014639295
Tannerella	visit	Week 48	0.287258857578747	0.125982257638885	286	25	0.0233398255396999	0.324950014639295
Staphylococcus	visit	Week 48	0.0971959585533984	0.0426535735847802	286	2	0.0234255252244823	0.324950014639295
Hyphomicrobium	visit	Week 48	0.0505294066438764	0.0256752781729752	286	2	0.0500386570180547	0.324950014639295
ASV_383	visit	Week 48	-0.11521430264112	0.0569584227302228	286	8	0.04403280924824	0.324950014639295
Peptoanaerobacter	visit	Week 48	0.204128819569114	0.0830105650643227	286	18	0.0145261995546792	0.324950014639295
Delftia	visit	Week 48	0.0694941905629208	0.0314003965997976	286	3	0.027681403602447	0.324950014639295
Sphingopyxis	visit	Week 48	0.0753429447010334	0.0343296618663579	286	2	0.0289954699867319	0.324950014639295
Centipeda	visit	Week 48	0.190699248584673	0.100329341444607	286	15	0.0583494059174058	0.324950014639295
Anaeroglobus	visit	Week 48	0.140482097035214	0.0684564138826464	286	10	0.0410726880272318	0.324950014639295
