"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Lachnoanaerobaculum","visit","Week 48",-0.720312579570661,0.239378582491655,0.00285536165572669,"visitWeek 48",0.247632300829971,286,155
"2","Hydrogenophaga","visit","Week 48",0.155589411005455,0.0535599678012761,0.00396180469137953,"visitWeek 48",0.247632300829971,286,7
"3","Johnsonella","visit","Week 48",0.274499063043657,0.096131006222602,0.00461426647509262,"visitWeek 48",0.247632300829971,286,11
"4","Lautropia","visit","Week 48",-0.718653980700974,0.320183496086815,0.0255697846490709,"visitWeek 48",0.324950014639295,286,228
"5","ASV_52","visit","Week 48",-0.547368208350686,0.255156021074229,0.0327825017657345,"visitWeek 48",0.324950014639295,286,98
"6","ASV_62","visit","Week 48",-0.521041746050865,0.245982455121582,0.0350260115748755,"visitWeek 48",0.324950014639295,286,127
"7","ASV_68","visit","Week 48",-0.539867115695111,0.229649130481592,0.0194151752996096,"visitWeek 48",0.324950014639295,286,50
"8","Bordetella","visit","Week 48",0.141212808527004,0.0740598892140546,0.057563546878829,"visitWeek 48",0.324950014639295,286,2
"9","Conchiformibius","visit","Week 48",0.32652458534946,0.158613171580661,0.040442432268147,"visitWeek 48",0.324950014639295,286,33
"10","ASV_283","visit","Week 48",-0.171993422910683,0.0903555128340083,0.0579836939856124,"visitWeek 48",0.324950014639295,286,13
"11","Butyrivibrio","visit","Week 48",0.161252016823463,0.0843810292291825,0.0570114206193928,"visitWeek 48",0.324950014639295,286,30
"12","Mycoplasma","visit","Week 48",0.235107305719005,0.123701160076714,0.0583659189729788,"visitWeek 48",0.324950014639295,286,40
"13","Tannerella","visit","Week 48",0.287258857578747,0.125982257638885,0.0233398255396999,"visitWeek 48",0.324950014639295,286,25
"14","Staphylococcus","visit","Week 48",0.0971959585533984,0.0426535735847802,0.0234255252244823,"visitWeek 48",0.324950014639295,286,2
"15","Hyphomicrobium","visit","Week 48",0.0505294066438764,0.0256752781729752,0.0500386570180547,"visitWeek 48",0.324950014639295,286,2
"16","ASV_383","visit","Week 48",-0.11521430264112,0.0569584227302228,0.04403280924824,"visitWeek 48",0.324950014639295,286,8
"17","Peptoanaerobacter","visit","Week 48",0.204128819569114,0.0830105650643227,0.0145261995546792,"visitWeek 48",0.324950014639295,286,18
"18","Delftia","visit","Week 48",0.0694941905629208,0.0314003965997976,0.027681403602447,"visitWeek 48",0.324950014639295,286,3
"19","Sphingopyxis","visit","Week 48",0.0753429447010334,0.0343296618663579,0.0289954699867319,"visitWeek 48",0.324950014639295,286,2
"20","Centipeda","visit","Week 48",0.190699248584673,0.100329341444607,0.0583494059174058,"visitWeek 48",0.324950014639295,286,15
"21","Anaeroglobus","visit","Week 48",0.140482097035214,0.0684564138826464,0.0410726880272318,"visitWeek 48",0.324950014639295,286,10
"22","Prevotellaceae_YAB2003_group","visit","Week 48",0.271142620607203,0.112150052562262,0.0162495766848602,"visitWeek 48",0.324950014639295,286,3
"23","ASV_976","visit","Week 48",0.0522614118035832,0.0275153950485733,0.0585313690965189,"visitWeek 48",0.324950014639295,286,2
"24","ASV_1004","visit","Week 48",0.0468187195735116,0.0237067370434244,0.0492464661212459,"visitWeek 48",0.324950014639295,286,2
"25","Desulfomicrobium","visit","Week 48",0.0725447973235845,0.0336184905441338,0.03177513892172,"visitWeek 48",0.324950014639295,286,3
"26","ASV_1095","visit","Week 48",0.0904433673010606,0.0394367343411069,0.022556722440035,"visitWeek 48",0.324950014639295,286,6
"27","ASV_1258","visit","Week 48",0.0755431236921978,0.0342932735586963,0.0284080841400002,"visitWeek 48",0.324950014639295,286,3
"28","ASV_1343","visit","Week 48",0.0509291158315684,0.0262511368869656,0.0533606243852978,"visitWeek 48",0.324950014639295,286,2
"29","Desulfobulbus","visit","Week 48",0.0602100850527264,0.0242479364245391,0.0136018040282872,"visitWeek 48",0.324950014639295,286,2
"30","Neisseria","visit","Week 48",-2.18412539987918,1.18284166792642,0.0658589663560131,"visitWeek 48",0.331352924478691,286,258
"31","Amnipila","visit","Week 48",0.13155139990023,0.0705901057322097,0.0634104731798977,"visitWeek 48",0.331352924478691,286,13
"32","ASV_897","visit","Week 48",0.0617014587752547,0.0332862207544096,0.064824157860983,"visitWeek 48",0.331352924478691,286,2
"33","ASV_209","visit","Week 48",-0.244997714132292,0.135141736065297,0.070903784410874,"visitWeek 48",0.339239501469936,286,57
"34","ASV_1202","visit","Week 48",0.0690457494219694,0.0381858187702309,0.071640640061974,"visitWeek 48",0.339239501469936,286,5
