"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 481","Neisseria",-0.131528249196943,0.188762833499061,-0.696791030092252,0.485933580440464,0.949420732474017,FALSE
"visitWeek 482","Haemophilus",-0.0183348662027174,0.213204919309402,-0.0859964500918008,0.93146923918971,0.976218894930669,FALSE
"visitWeek 483","Streptococcus",-0.0611346926327135,0.142478208854104,-0.429081002101273,0.667864277269228,0.957133280646948,FALSE
"visitWeek 484","Prevotella",-0.35011244069587,0.214788567711981,-1.63003294088422,0.103094535122349,0.586687912864256,FALSE
"visitWeek 485","Moraxella",-0.136301374607464,0.374643918368605,-0.36381579394373,0.715995567865465,0.957133280646948,FALSE
"visitWeek 486","Veillonella",-0.315104051440922,0.195682788741542,-1.61027984866422,0.107336776427172,0.586687912864256,FALSE
"visitWeek 487","Fusobacterium",0.159770750757769,0.213697876945564,0.747647814949831,0.454672615706859,0.949420732474017,FALSE
"visitWeek 488","Porphyromonas",0.0157002894682892,0.195021092791882,0.0805055968230259,0.935835145064399,0.976218894930669,FALSE
"visitWeek 489","Lautropia",-0.473668775343566,0.240460050029042,-1.96984395240023,0.0488562575470216,0.455991737105535,FALSE
"visitWeek 4810","Actinobacillus",0.0725199971214803,0.353578361232737,0.205103041002403,0.837491620566079,0.957133280646948,FALSE
"visitWeek 4811","Gemella",0.00859666441236498,0.148845506112037,0.0577556194803369,0.95394328965634,0.976218894930669,FALSE
"visitWeek 4812","Alloprevotella",-0.5183451339324,0.214378520932785,-2.41789677285309,0.015610504617489,0.437094129289691,FALSE
"visitWeek 4813","Leptotrichia",-0.265217310354956,0.251302060272256,-1.0553726064467,0.291254946261207,0.858435631085663,FALSE
"visitWeek 4814","Rothia",-0.119425473841458,0.248350705076179,-0.480874309597089,0.630605832541977,0.957133280646948,FALSE
"visitWeek 4815","Aggregatibacter",-0.498510052335165,0.268506587058438,-1.85660269193571,0.0633677006786867,0.506941605429494,FALSE
"visitWeek 4816","Granulicatella",-0.245535221054455,0.162816326287116,-1.50805036972441,0.131541636022103,0.586687912864256,FALSE
"visitWeek 4817","ASV_52",-0.520557280007797,0.257020315974481,-2.02535460293917,0.0428309654287554,0.455991737105535,FALSE
"visitWeek 4818","Actinomyces",-0.0204108184492344,0.239336642053672,-0.0852807922518491,0.932038161458755,0.976218894930669,FALSE
"visitWeek 4819","ASV_62",-0.494230817707975,0.241770812453579,-2.04421208950881,0.0409325993768199,0.455991737105535,FALSE
"visitWeek 4820","Campylobacter",-0.0993194229722312,0.192206421963923,-0.516733114104134,0.605342476720498,0.957133280646948,FALSE
"visitWeek 4821","Bergeyella",-0.304758931540067,0.232824324185646,-1.30896517194253,0.190546148548811,0.71137228791556,FALSE
"visitWeek 4822","ASV_68",-0.513056187352221,0.236497549899094,-2.16939324560075,0.0300528413332215,0.455991737105535,FALSE
