"","x"
"Neisseria",0.99962268931192
"Haemophilus",0.99962268931192
"Streptococcus",0.99962268931192
"Prevotella",0.864129915070666
"Moraxella",0.99962268931192
"Veillonella",0.864129915070666
"Fusobacterium",0.99962268931192
"Porphyromonas",0.99962268931192
"Lautropia",0.616984924869045
"Actinobacillus",0.99962268931192
"Gemella",0.99962268931192
"Alloprevotella",0.616984924869045
"Leptotrichia",0.99962268931192
"Rothia",0.99962268931192
"Aggregatibacter",0.695319506009401
"Granulicatella",0.82056520865131
"ASV_52",0.616984924869045
"Actinomyces",0.99962268931192
"ASV_62",0.616984924869045
"Campylobacter",0.99962268931192
"Bergeyella",0.99962268931192
"ASV_68",0.616984924869045
"ASV_77",0.99962268931192
"Dolosigranulum",0.99962268931192
"Corynebacterium",0.864129915070666
"Streptobacillus",0.99962268931192
"Oribacterium",0.99962268931192
"ASV_112",0.99962268931192
"Stomatobaculum",0.864129915070666
"Lachnoanaerobaculum",0.123022226848681
"ASV_120",0.99962268931192
"ASV_126",0.99962268931192
"TM7x",0.99962268931192
"Tropheryma",0.99962268931192
"Solobacterium",0.99962268931192
"Peptostreptococcus",0.99962268931192
"Abiotrophia",0.99962268931192
"Oceanivirga",0.99962268931192
"ASV_157",0.99962268931192
"ASV_163",0.99962268931192
"Bordetella",NA
"ASV_180",0.99962268931192
"ASV_182",0.99962268931192
"ASV_187",0.99962268931192
"Mannheimia",0.99962268931192
"Eikenella",0.99962268931192
"ASV_203",0.99962268931192
"ASV_205",0.99962268931192
"ASV_209",0.82056520865131
"ASV_212",NA
"F0058",0.99962268931192
"ASV_214",0.864129915070666
"ASV_216",0.99962268931192
"Conchiformibius",0.99962268931192
"Hydrogenophaga",NA
"Treponema",0.96112870779984
"Catonella",0.99962268931192
"Candidatus_Saccharimonas",0.99962268931192
"ASV_239",0.99962268931192
"ASV_242",0.99962268931192
"Mogibacterium",0.99962268931192
"Selenomonas",0.99962268931192
"ASV_260",0.864129915070666
"Cardiobacterium",0.99962268931192
"ASV_280",0.99962268931192
"ASV_283",0.82056520865131
"Comamonas",0.99962268931192
"Capnocytophaga",0.864129915070666
"ASV_286",NA
"Atopobium",0.99962268931192
"Butyrivibrio",0.864129915070666
"Kingella",0.99962268931192
"ASV_307",0.99962268931192
"Mycoplasma",0.99962268931192
"Parvimonas",0.99962268931192
"ASV_329",0.99962268931192
"ASV_331",0.99962268931192
"Filifactor",0.864129915070666
"Dialister",0.864129915070666
"ASV_339",0.99962268931192
"Peptococcus",0.96112870779984
"Staphylococcus",NA
"Hyphomicrobium",NA
"ASV_383",0.82056520865131
"ASV_409",0.99962268931192
"F0332",0.99962268931192
"ASV_422",0.99962268931192
"ASV_426",0.99962268931192
"Peptoanaerobacter",0.864129915070666
"Lentimicrobium",0.99962268931192
"Delftia",NA
"Sphingopyxis",NA
"Lactobacillus",0.96112870779984
"ASV_461",0.99962268931192
"ASV_472",0.99962268931192
"ASV_485",0.99962268931192
"Amnipila",0.864129915070666
"Rodentibacter",NA
"Bulleidia",0.99962268931192
"Anaeroglobus",0.96112870779984
"Tannerella",0.99962268931192
"Shuttleworthia",0.864129915070666
"ASV_508",0.99962268931192
"Rikenellaceae_RC9_gut_group",0.99962268931192
"Sneathia",0.99962268931192
"Alysiella",0.99962268931192
"ASV_529",NA
"ASV_540",0.99962268931192
"Centipeda",0.99962268931192
"ASV_561",0.99962268931192
"Defluviitaleaceae_UCG-011",0.99962268931192
"ASV_591",0.99962268931192
"ASV_596",0.99962268931192
"ASV_613",0.99962268931192
"ASV_639",0.99962268931192
"ASV_644",0.99962268931192
"ASV_682",0.99962268931192
"ASV_689",NA
"Family_XIII_UCG-001",0.99962268931192
"ASV_709",0.99962268931192
"Fretibacterium",0.99962268931192
"ASV_817",0.99962268931192
"ASV_821",0.99962268931192
"ASV_854",0.99962268931192
"ASV_860",NA
"ASV_866",0.99962268931192
"ASV_894",0.99962268931192
"ASV_897",NA
"Scardovia",0.99962268931192
"Acinetobacter",NA
"ASV_934",0.99962268931192
"Olsenella",NA
"Prevotellaceae_YAB2003_group",0.99962268931192
"ASV_976",NA
"Mobiluncus",0.99962268931192
"ASV_1004",NA
"Desulfomicrobium",NA
"ASV_1054",0.99962268931192
"ASV_1068",0.99962268931192
"ASV_1095",0.864129915070666
"Johnsonella",0.864129915070666
"Proteus",0.99962268931192
"ASV_1202",0.96112870779984
"ASV_1234",0.99962268931192
"ASV_1258",NA
"ASV_1325",0.99962268931192
"ASV_1343",NA
"ASV_1456",0.99962268931192
"ASV_1494",0.99962268931192
"Desulfobulbus",NA
"ASV_1531",0.99962268931192
"Roseburia",0.99962268931192
"ASV_1628",0.99962268931192
"ASV_1636",0.99962268931192
"ASV_1660",0.99962268931192
"Avibacterium",0.99962268931192
"Pseudoramibacter",0.99962268931192
"ASV_1738",0.99962268931192
"ASV_1770",0.99962268931192
"Wolinella",0.99962268931192
"ASV_2161",0.99962268931192
