"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Neisseria",2642.88895003668,-1.31741247881249e-05,0.00144268214869638,0.919092625313057,0.999307791311098
"2","Haemophilus",10125.644405148,6.21481378412756e-06,0.00144268095836109,0.927804078257468,0.999307791311098
"3","Streptococcus",2255.70790107097,-0.472072786660649,0.160318439641738,0.4756945619388,0.999307791311098
"4","Prevotella",1047.21413761655,-3.20840187605025e-05,0.00144283712913117,0.12362398929662,0.999307791311098
"5","Moraxella",393.786964351753,7.39235393973781e-07,0.00144269088996523,0.670325971551363,0.999307791311098
"6","Veillonella",423.997094906132,-0.000316658228262004,0.00146077218960783,0.203217980484854,0.999307791311098
"7","Fusobacterium",391.960125702877,4.65905628837824e-06,0.00144266625285826,0.0283800434560627,0.999307791311098
"8","Porphyromonas",300.523248084272,1.09665509778052e-05,0.0014426792885814,0.0354245698581736,0.999307791311098
"9","Lautropia",122.299456863078,-7.40624139071445e-06,0.00144268539901243,0.0652555310780667,0.999307791311098
"10","Actinobacillus",303.892342036158,-8.53081197032486e-06,0.00144270134623711,0.668280486618804,0.999307791311098
"11","Gemella",133.915131933325,9.56205908461436e-06,0.00144265564432531,0.137782794230854,0.999307791311098
"12","Alloprevotella",299.121775435853,-5.01197491588458e-05,0.00144309973410018,0.0436017756699763,0.999307791311098
"13","Leptotrichia",216.079509063795,-3.33768695887344e-07,0.00144267580689894,0.961882254343988,0.999307791311098
"14","Rothia",205.217346639854,-4.44498716051639e-07,0.00144267386111728,0.908336054216116,0.999307791311098
"15","Aggregatibacter",95.2881223396455,2.19590020004018e-06,0.00144268337432983,0.875283218504329,0.999307791311098
"16","Granulicatella",156.278410156815,2.66331630911372e-07,0.00144264535871044,0.681200240386841,0.999307791311098
"17","ASV_52",33.2333278871873,-2.1702499301872e-06,0.0014426920702625,0.194000181132159,0.999307791311098
"18","Actinomyces",74.0255309652729,1.95798942068749e-06,0.00144267806340468,0.585539776762819,0.999307791311098
"19","ASV_62",28.8270691563914,-1.81074384154819e-06,0.00144268931343629,0.396846838842275,0.999307791311098
"20","Campylobacter",38.9604324418666,1.91413732517503e-05,0.00144273158860983,0.333136842653374,0.999307791311098
"21","Bergeyella",26.5724005327328,-4.30123096817671e-06,0.00144269360063371,0.0223112418062658,0.999307791311098
"22","ASV_68",24.0194376910639,-1.25698216480396e-06,0.00144269400546416,0.116913023381818,0.999307791311098
"23","ASV_77",18.6881075433418,2.46246487411526e-06,0.00144269008151116,0.583891212574969,0.999307791311098
"24","Dolosigranulum",1.1646982497934,-2.59718773537158e-07,0.00144269445040367,0.785434635107811,0.999307791311098
"25","Corynebacterium",9.01494890384166,-1.33520644520109,0.592610967148494,0.7953929445963,0.999307791311098
"26","Streptobacillus",15.653774394992,2.72016677741968e-06,0.00144269115866112,0.950597079190681,0.999307791311098
"27","Oribacterium",9.464350530092,1.75787345492702e-06,0.00144268855872792,0.433085370382731,0.999307791311098
"28","ASV_112",15.806536942758,8.32062880010506e-08,0.00144269466630133,0.339623160363208,0.999307791311098
"29","Stomatobaculum",14.5706223957748,-4.93629960100587e-06,0.00144269109142084,0.0788790961452953,0.999307791311098
"30","Lachnoanaerobaculum",13.2710434349515,-6.14766127275813e-06,0.00144268926560109,0.0436691947643441,0.999307791311098
"31","ASV_120",0.791798330932136,3.28134000659434e-07,0.00144269488578357,0.441745113951459,0.999307791311098
"32","ASV_126",0.0582374068129542,3.42626733820419e-07,0.00144269503028437,0.842659225379417,0.999307791311098
"33","TM7x",4.90323310934109,7.42596175631175e-07,0.00144268895105633,0.682907302330447,0.999307791311098
"34","Tropheryma",1.67911302207273,-1.68926536438765e-08,0.00144269455153624,0.903010378348092,0.999307791311098
"35","Solobacterium",4.64447296739029,1.8049183110866e-06,0.00144268805979264,0.505528505982595,0.999307791311098
"36","Peptostreptococcus",6.63739363613248,1.52961914516835e-06,0.00144268678512662,0.339679352668166,0.999307791311098
"37","Abiotrophia",4.27973961991367,-1.30579337815391e-06,0.00144269287477647,0.365603408569527,0.999307791311098
"38","Oceanivirga",2.92815962365447,-3.09030786795863e-07,0.00144269375794743,0.785253557638585,0.999307791311098
"39","ASV_157",2.90593349790065,2.02798263816191e-07,0.0014426937995309,0.503191792485979,0.999307791311098
"40","ASV_163",1.30713969638602,-9.08995529283978e-07,0.0014426944738669,0.627775575225066,0.999307791311098
"41","Bordetella",0.973724481388967,3.71297354099409e-07,0.00144269506150163,0.221798864153771,0.999307791311098
"42","ASV_180",3.65078396200698,-4.82903117363406e-07,0.00144269412777143,0.361803735160518,0.999307791311098
