"","taxon","stat","p","p.adj"
"1","Neisseria",10552,0.640078361087198,0.946500928514153
"2","Haemophilus",10157,0.923675399830288,1
"3","Streptococcus",10391.5,0.811816913413734,1
"4","Prevotella",11228,0.151467807690469,0.582170346783863
"5","Moraxella",10618.5,0.553477697993568,0.946337468136994
"6","Veillonella",11231,0.150221022134034,0.582170346783863
"7","Fusobacterium",9791,0.535659174379761,0.946337468136994
"8","Porphyromonas",10449,0.74871711164366,1
"9","Lautropia",11561,0.055060817832674,0.582170346783863
"10","Actinobacillus",10097.5,0.849636382006814,1
"11","Gemella",10113,0.873882213600465,1
"12","Alloprevotella",12076,0.0080928186454204,0.434314600637561
"13","Leptotrichia",11078,0.220919675161256,0.679945842271327
"14","Rothia",10583,0.607566817468686,0.946500928514153
"15","Aggregatibacter",11565,0.0503339597408158,0.582170346783863
"16","Granulicatella",10747,0.45535681356668,0.939903166464558
"17","ASV_52",11355,0.056182975192396,0.582170346783863
"18","Actinomyces",10236.5,0.98672269209287,1
"19","ASV_62",11480,0.0486153703427331,0.582170346783863
"20","Campylobacter",10627,0.56310639597169,0.946337468136994
"21","Bergeyella",10997,0.219413146243925,0.679945842271327
"22","ASV_68",11307.5,0.0193606558092097,0.582170346783863
"23","ASV_77",9782,0.475985341917569,0.946337468136994
"24","Dolosigranulum",9948,0.348450664518968,0.85000843920536
"25","Corynebacterium",11024,0.188502046573651,0.645719776560805
"26","Streptobacillus",10672,0.466625800944147,0.946337468136994
"27","Oribacterium",10201,0.970483048245194,1
"28","ASV_112",10570,0.295500423776482,0.825860037308282
"29","Stomatobaculum",11124.5,0.164402143736747,0.58819433648036
"30","Lachnoanaerobaculum",12129.5,0.004223853882042,0.434314600637561
"31","ASV_120",10297,0.65017986028832,0.946500928514153
"32","ASV_126",10082,0.318161041055337,0.825860037308282
"33","TM7x",10098.5,0.832040401345171,1
"34","Tropheryma",10214,0.972900301144401,1
"35","Solobacterium",10205,0.975186668732038,1
"36","Peptostreptococcus",9607,0.328393799560701,0.826115652019888
"37","Abiotrophia",10707,0.323162623294545,0.825860037308282
"38","Oceanivirga",10158,0.871435401817658,1
"39","ASV_157",10521,0.451432715429071,0.939903166464558
"40","ASV_163",10519,0.362881646143464,0.857351414543083
"41","Bordetella",10081.5,0.15802682662536,0.582170346783863
"42","ASV_180",10437,0.562784806106402,0.946337468136994
"43","ASV_182",10299,0.814993404985068,1
"44","ASV_187",10083,0.648363139231359,0.946500928514153
