"","taxon","stat","p","p.adj"
"1","Neisseria",11465,0.0762107226081966,0.201082566450014
"2","Streptococcus",10528,0.664820335540475,0.722514751768039
"3","Haemophilus",9876,0.618755899308649,0.68703241233581
"4","Prevotella",10326,0.885166810592955,0.896300984311105
"5","Moraxella",10023,0.773794443062652,0.798595547006968
"6","Veillonella",11697,0.0353042425208315,0.201082566450014
"7","Fusobacterium",9667,0.4257595343692,0.496719456764067
"8","Porphyromonas",10140,0.904392997117154,0.910045453349136
"9","Lautropia",11082,0.220406926114184,0.311173230221143
"10","Actinobacillus",9637,0.401263561302686,0.478543950886907
"11","Gemella",9794,0.538641708915143,0.610713486868578
"12","Alloprevotella",10981,0.279686330782973,0.371952925864198
"13","Leptotrichia",10177,0.946417283908973,0.946417283908973
"14","Rothia",10506,0.68782439588042,0.733375680375812
"15","Aggregatibacter",11278,0.132141035920784,0.229488567929325
"16","Granulicatella",10530,0.662744222479171,0.722514751768039
"17","ASV_52",11109,0.206210358413978,0.296427390220093
"18","Actinomyces",9650,0.411772923280652,0.48390832589916
"19","ASV_62",11317,0.118410666687285,0.221005732172034
"20","Campylobacter",10501,0.693094089853312,0.734132555699889
"21","Bergeyella",10475,0.720731327575226,0.758416625749094
"22","ASV_68",10596,0.595763481349207,0.666096670119599
"23","ASV_77",8986,0.0766857213429942,0.201082566450014
"24","Dolosigranulum",8875,0.0537345240928608,0.201082566450014
"25","Streptobacillus",10430,0.769419056688057,0.798595547006968
"26","Oribacterium",9569,0.348963482251571,0.435528066996147
"27","ASV_112",9305,0.188811807587143,0.28410000954701
"28","Stomatobaculum",10743,0.458874270935804,0.527705411576175
"29","Lachnoanaerobaculum",12212,0.00449351745949385,0.201082566450014
"30","ASV_120",9135,0.119425457757559,0.221005732172034
"31","ASV_126",8831,0.0463834292496146,0.201082566450014
"32","TM7x",9099,0.10768916980143,0.214048843679386
"33","Tropheryma",9131,0.118073909819841,0.221005732172034
"34","Solobacterium",9479,0.286742431099667,0.372302672637471
"35","Peptostreptococcus",8732,0.0328878326715951,0.201082566450014
"36","Abiotrophia",10010,0.75960143549691,0.794128773474042
"37","Oceanivirga",9098,0.107376692529902,0.214048843679386
"38","Corynebacterium",10382,0.822369495888342,0.843321584955561
"39","ASV_157",9608,0.378407367496838,0.465065543259473
"40","ASV_163",9699,0.45282643392266,0.52449680475934
"41","Bordetella",8936,0.0655124580744307,0.201082566450014
"42","ASV_180",9415,0.247349859708558,0.337485825534558
"43","ASV_182",9260,0.168064734575341,0.261098581556036
"44","ASV_187",9023,0.0859168082674291,0.201082566450014
"45","Treponema",9087,0.103986645884178,0.214048843679386
"46","Mannheimia",9928,0.672106911117103,0.722514751768039
"47","Eikenella",9254,0.165433085557231,0.261098581556036
"48","ASV_203",9265,0.170281683623502,0.261098581556036
"49","ASV_205",9173,0.132877088547238,0.229488567929325
"50","ASV_209",10520,0.673150389845999,0.722514751768039
"51","ASV_212",9163,0.129228376216559,0.229488567929325
"52","F0058",9233,0.156466289848041,0.25705176189321
"53","ASV_214",9068,0.0983319343367027,0.208663637544727
"54","ASV_216",9883,0.625829759988375,0.690127338069372
"55","Conchiformibius",8871,0.0530283225881897,0.201082566450014
"56","Hydrogenophaga",8292,0.00573399181702049,0.201082566450014
"57","Catonella",8909,0.0600599829399191,0.201082566450014
"58","Candidatus_Saccharimonas",9279,0.176605659776815,0.268240671925162
"59","ASV_239",9644,0.406902300254954,0.481700517213586
"60","ASV_242",8934,0.0650950401738598,0.201082566450014
"61","Mogibacterium",9540,0.328039926122648,0.415286794221309
"62","Atopobium",9473,0.28287888450441,0.371952925864198
"63","Selenomonas",8989,0.0774027423830048,0.201082566450014
"64","ASV_260",9599,0.371480336632062,0.460064109213554
"65","Cardiobacterium",9309,0.190743600579428,0.284349256419332
"66","ASV_280",9024,0.0861782427642916,0.201082566450014
"67","ASV_283",9786,0.531113139979018,0.606448337139163
"68","Comamonas",9626,0.392498062379313,0.471583492858727
"69","Capnocytophaga",10336,0.873888051628477,0.890480862735347
"70","ASV_286",8810,0.0431850605102247,0.201082566450014
"71","Kingella",9133,0.118748176305548,0.221005732172034
"72","Butyrivibrio",8518,0.0147094682130849,0.201082566450014
"73","ASV_307",8756,0.035805290324273,0.201082566450014
"74","Mycoplasma",8749,0.0349323945951615,0.201082566450014
"75","Tannerella",8774,0.0381357147869239,0.201082566450014
"76","Parvimonas",9374,0.224199345997842,0.311173230221143
"77","ASV_329",8934,0.0650950401738598,0.201082566450014
"78","ASV_331",8929,0.0640610859311568,0.201082566450014
"79","Filifactor",9851,0.593782678338383,0.666096670119599
"80","Dialister",8469,0.0120895177897212,0.201082566450014
"81","ASV_339",9161,0.128508060745123,0.229488567929325
"82","Peptococcus",8808,0.0428904155091754,0.201082566450014
"83","Staphylococcus",8797,0.0413000783163248,0.201082566450014
"84","Hyphomicrobium",8786,0.0397599723210227,0.201082566450014
"85","ASV_383",9613,0.382289857104606,0.466277780256375
"86","ASV_409",9261,0.168506381817367,0.261098581556036
"87","F0332",9623,0.390127771413733,0.471583492858727
"88","ASV_422",8783,0.0393485007791636,0.201082566450014
"89","ASV_426",9073,0.0997956527387824,0.208663637544727
"90","Peptoanaerobacter",8495,0.0134230855114679,0.201082566450014
"91","Lentimicrobium",8869,0.0526781401325922,0.201082566450014
"92","Delftia",8676,0.0268614146924815,0.201082566450014
"93","Sphingopyxis",8786,0.0397599723210227,0.201082566450014
"94","ASV_461",9475,0.284162794293766,0.371952925864198
"95","ASV_472",9513,0.309306844225521,0.395225412065944
"96","ASV_485",9320,0.196130987592484,0.287064445476272
"97","Amnipila",8561,0.0174083675033845,0.201082566450014
"98","Rodentibacter",9336,0.204164964629978,0.296131164913752
"99","Bulleidia",9256,0.166306834113789,0.261098581556036
"100","Shuttleworthia",9543,0.330165898511351,0.415286794221309
"101","ASV_508",9153,0.125657965849651,0.229488567929325
"102","Rikenellaceae_RC9_gut_group",8991,0.0778837838238393,0.201082566450014
"103","Sneathia",9018,0.0846192331104866,0.201082566450014
"104","Alysiella",9414,0.2467660036854,0.337485825534558
"105","ASV_529",9371,0.222568349839614,0.311173230221143
"106","ASV_540",9107,0.110214979177661,0.214409266036491
"107","ASV_561",8921,0.0624349912678614,0.201082566450014
"108","Defluviitaleaceae_UCG-011",8870,0.0528529889897676,0.201082566450014
"109","ASV_591",9354,0.213486375262889,0.304170853250665
"110","ASV_596",9190,0.139262299450751,0.236012949595484
"111","ASV_613",9108,0.110533969447384,0.214409266036491
"112","Johnsonella",8505,0.0139696363102251,0.201082566450014
"113","ASV_639",9065,0.0974619659966703,0.208663637544727
"114","ASV_644",9250,0.163695958924778,0.261098581556036
"115","Centipeda",8898,0.0579491758804236,0.201082566450014
"116","ASV_682",8854,0.0501129091546086,0.201082566450014
"117","ASV_689",9471,0.281598911708634,0.371952925864198
"118","Family_XIII_UCG-001",8878,0.0542693133119021,0.201082566450014
"119","ASV_709",9175,0.13361631148694,0.229488567929325
"120","Anaeroglobus",8602,0.0203765881970525,0.201082566450014
"121","ASV_817",9093,0.105825064757134,0.214048843679386
"122","ASV_821",9313,0.192689904453558,0.284615363458925
"123","Lactobacillus",9496,0.297881903783548,0.38367189207321
"124","ASV_854",8987,0.0769241242590594,0.201082566450014
"125","ASV_860",9223,0.15232816299961,0.252833342710694
"126","ASV_866",8988,0.0771631309260441,0.201082566450014
"127","ASV_894",8984,0.0762107226081966,0.201082566450014
"128","ASV_897",8814,0.0437794840346428,0.201082566450014
"129","Olsenella",9196,0.141571455738987,0.237427128895593
"130","Fretibacterium",9458,0.273374934161652,0.369860205042236
"131","Scardovia",9021,0.085395861861556,0.201082566450014
"132","Acinetobacter",9176,0.133987114194761,0.229488567929325
"133","ASV_934",9264,0.169836549632031,0.261098581556036
"134","Prevotellaceae_YAB2003_group",8700,0.0293162498477622,0.201082566450014
"135","ASV_976",8799,0.0415854584169794,0.201082566450014
"136","Mobiluncus",8858,0.0507865148456958,0.201082566450014
"137","ASV_1004",8846,0.0487881522918549,0.201082566450014
"138","Desulfomicrobium",8652,0.0245861354727133,0.201082566450014
"139","ASV_1054",9034,0.0888280831627526,0.203258451587827
"140","ASV_1068",9016,0.0841046623711962,0.201082566450014
"141","ASV_1095",8529,0.0153622342437836,0.201082566450014
"142","Proteus",8986,0.0766857213429942,0.201082566450014
"143","ASV_1202",8581,0.0188052691674003,0.201082566450014
"144","ASV_1234",8977,0.074567092528817,0.201082566450014
"145","ASV_1258",8638,0.0233375566487497,0.201082566450014
"146","ASV_1325",9037,0.0896357146753773,0.203258451587827
"147","ASV_1343",8848,0.0491165540847367,0.201082566450014
"148","ASV_1456",8954,0.0693694010290045,0.201082566450014
"149","ASV_1494",9019,0.0848774719676237,0.201082566450014
"150","Desulfobulbus",8707,0.0300676463462468,0.201082566450014
"151","ASV_1531",8940,0.0663539152325503,0.201082566450014
"152","Roseburia",9056,0.094888927419093,0.208663637544727
"153","ASV_1628",8826,0.045604362591945,0.201082566450014
"154","ASV_1636",9069,0.0986232981520883,0.208663637544727
"155","ASV_1660",9021,0.085395861861556,0.201082566450014
"156","Avibacterium",9051,0.0934831514619517,0.208663637544727
"157","Pseudoramibacter",8974,0.0738716009400711,0.201082566450014
"158","ASV_1738",8983,0.0759741247121694,0.201082566450014
"159","ASV_1770",8983,0.0759741247121694,0.201082566450014
"160","Wolinella",8827,0.0457592876936732,0.201082566450014
"161","ASV_2161",8986,0.0766857213429942,0.201082566450014
