"","taxon","stat","p","p.adj"
"1","Neisseria",10844.5,0.375704063228345,0.487600877744908
"2","Haemophilus",10489.5,0.705270482013844,0.747029918448874
"3","Streptococcus",10581,0.610714553915207,0.673459199865399
"4","Prevotella",11262,0.138117486658557,0.32454715073315
"5","Moraxella",10382,0.822357466152485,0.8466864418331
"6","Veillonella",11325,0.115734242014264,0.32454715073315
"7","Fusobacterium",9920,0.663780661371899,0.707739645568713
"8","Porphyromonas",10467.5,0.728773397223526,0.761899460733686
"9","Lautropia",11484.5,0.0716983361387308,0.32454715073315
"10","Actinobacillus",9749.5,0.497431943064214,0.580337266908249
"11","Gemella",10246,0.976044307390436,0.976044307390436
"12","Alloprevotella",12171,0.00539159812991226,0.32454715073315
"13","Leptotrichia",11054.5,0.235561212265679,0.383197718434483
"14","Rothia",10598.5,0.593281978320177,0.658747575927921
"15","Aggregatibacter",11642.5,0.0426626257149735,0.32454715073315
"16","Granulicatella",10754.5,0.448961091971,0.542979242468303
"17","ASV_52",11261,0.138435508488974,0.32454715073315
"18","Actinomyces",10080,0.83685542788526,0.852745087908398
"19","ASV_62",11380.5,0.0984387151225891,0.32454715073315
"20","Campylobacter",10535.5,0.657038621908837,0.705221454182152
"21","Bergeyella",10751,0.451920611743805,0.542979242468303
"22","ASV_68",10574.5,0.617145792055747,0.675921581775342
"23","ASV_77",9180.5,0.135617683733295,0.32454715073315
"24","Dolosigranulum",9152.5,0.125318731445055,0.32454715073315
"25","Corynebacterium",10843.5,0.376397579249308,0.487600877744908
"26","Streptobacillus",10565,0.626797967511063,0.681854545738387
"27","Oribacterium",9636.5,0.400797656562988,0.505532873620401
"28","ASV_112",9522.5,0.315608059784696,0.430617776485899
"29","Stomatobaculum",10966.5,0.288963192604861,0.424159139613348
"30","Lachnoanaerobaculum",12087,0.00775111639631402,0.32454715073315
"31","ASV_120",9400,0.238458021481656,0.383197718434483
"32","ASV_126",9013,0.0831753878997422,0.32454715073315
"33","TM7x",9497.5,0.298784533307553,0.424159139613348
"34","Tropheryma",9238,0.15838414305877,0.32454715073315
"35","Solobacterium",9542,0.32938206107094,0.445634553213625
"36","Peptostreptococcus",8779.5,0.0388480668811423,0.32454715073315
"37","Abiotrophia",10106.5,0.866529796622191,0.877429542491652
"38","Oceanivirga",9286.5,0.179905212558533,0.336688880586367
"39","ASV_157",9893.5,0.636388450150612,0.687641211236567
"40","ASV_163",9799,0.543204322006651,0.624684970307648
"41","Bordetella",9133,0.118552479179996,0.32454715073315
"42","ASV_180",9484.5,0.290138627590764,0.424159139613348
"43","ASV_182",9509,0.306377513072461,0.425230858660915
"44","ASV_187",9160,0.12798126909018,0.32454715073315
"45","Mannheimia",10159.5,0.926492010572299,0.932282585638376
"46","Eikenella",9345,0.208585938864844,0.37081153945655
"47","ASV_203",9488,0.292364571530683,0.424159139613348
"48","ASV_205",9164,0.129466569331232,0.32454715073315
"49","ASV_209",10803,0.408379281079481,0.505762032721511
"50","ASV_212",9373.5,0.223681201515316,0.380380518727625
