feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lautropia	visit	Week 72	-0.67765483007132	0.329475271994517	224	183	0.0408774104015844	0.483716023085415
ASV_68	visit	Week 72	-0.682008126326239	0.259270959310701	224	37	0.0091233919079681	0.483716023085415
Stomatobaculum	visit	Week 72	-0.753502000195233	0.339576601864432	224	102	0.0275026485087884	0.483716023085415
Lachnoanaerobaculum	visit	Week 72	-0.629925141494798	0.277893042219611	224	121	0.0243663263307526	0.483716023085415
F0058	visit	Week 72	0.221828361567107	0.106639068073504	224	26	0.0386567599926436	0.483716023085415
Hydrogenophaga	visit	Week 72	0.158660018596842	0.0675559587231737	224	5	0.0197241087404588	0.483716023085415
Butyrivibrio	visit	Week 72	0.248658724677775	0.0900693217535852	224	18	0.0062491969392945	0.483716023085415
Hyphomicrobium	visit	Week 72	0.112116869423519	0.0543330491367581	224	4	0.0402270004791524	0.483716023085415
Sphingopyxis	visit	Week 72	0.139202236751123	0.0554576667996958	224	5	0.0127842391432789	0.483716023085415
Bulleidia	visit	Week 72	0.136588192321165	0.064116240955971	224	9	0.0342453085437482	0.483716023085415
ASV_639	visit	Week 72	0.121059905340312	0.0571121183320625	224	9	0.0351427538733903	0.483716023085415
ASV_1004	visit	Week 72	0.0769656128753839	0.0369642904347868	224	4	0.0384735612918111	0.483716023085415
Streptococcus	visit	Week 72	-2.90400117800167	1.47312390249575	224	220	0.0499292381995161	0.545380909563945
Fusobacterium	visit	Week 72	1.7309879573761	1.05559499651985	224	127	0.102458373780116	0.553176914116714
Rothia	visit	Week 72	-1.13770550704948	0.712914432624057	224	182	0.111944503029041	0.553176914116714
Dolosigranulum	visit	Week 72	0.154012375293733	0.0989772195585158	224	13	0.121123332759334	0.553176914116714
Corynebacterium	visit	Week 72	0.455106988314071	0.288344395067014	224	59	0.115910147157624	0.553176914116714
ASV_205	visit	Week 72	0.265955379346986	0.145586157102835	224	41	0.0690741255681366	0.553176914116714
Conchiformibius	visit	Week 72	0.291039654211307	0.169452528670345	224	21	0.0872770245200719	0.553176914116714
Mycoplasma	visit	Week 72	0.215953833731702	0.138859515956934	224	30	0.121323698404217	0.553176914116714
Tannerella	visit	Week 72	0.226749563736056	0.138022191645389	224	26	0.101829868755001	0.553176914116714
Dialister	visit	Week 72	0.166371660523398	0.0930402010161557	224	13	0.0751123865109776	0.553176914116714
ASV_383	visit	Week 72	0.134205778816382	0.0878220969217356	224	10	0.127897590485555	0.553176914116714
F0332	visit	Week 72	-0.141057520229412	0.0803583926417907	224	12	0.0805778460476993	0.553176914116714
Delftia	visit	Week 72	0.0540642793266202	0.032015661978528	224	2	0.0926844242540336	0.553176914116714
ASV_525	visit	Week 72	0.0816628726601765	0.0521673527368567	224	2	0.11891301442342	0.553176914116714
ASV_540	visit	Week 72	0.0843341753113664	0.0557698152842405	224	8	0.131909482914869	0.553176914116714
ASV_572	visit	Week 72	0.094880204060868	0.0615794501849122	224	2	0.124795219550176	0.553176914116714
ASV_586	visit	Week 72	0.0683445255460899	0.0430501545778359	224	2	0.113810033729273	0.553176914116714
ASV_682	visit	Week 72	0.104810527249287	0.0601011732559925	224	7	0.0825604523768858	0.553176914116714
Desulfomicrobium	visit	Week 72	0.0569256355344306	0.0354955188323055	224	2	0.110192772814868	0.553176914116714
ASV_1098	visit	Week 72	0.0723216127287027	0.0478932929546781	224	2	0.132450810422312	0.553176914116714
Johnsonella	visit	Week 72	0.153230493445436	0.0902090178518888	224	5	0.0907925115926325	0.553176914116714
ASV_1802	visit	Week 72	0.0534482715454867	0.0326147232030884	224	2	0.102676030128014	0.553176914116714
ASV_283	visit	Week 72	-0.172856239682905	0.116911249376933	224	13	0.140684665043176	0.570777783889458
ASV_428	visit	Week 72	0.0892414484661742	0.0669649533596559	224	4	0.184009913346378	0.706200207977992
Rikenellaceae_RC9_gut_group	visit	Week 72	-0.108811705861565	0.0809912898136063	224	10	0.180482154805548	0.706200207977992
Veillonella	visit	Week 72	-1.23100520250929	1.04175545790677	224	180	0.238603188457735	0.720886228957411
Streptobacillus	visit	Week 72	0.34493352276223	0.280036428583419	224	79	0.219347404253184	0.720886228957411
ASV_187	visit	Week 72	0.152928152913119	0.128808536326063	224	18	0.236397171963481	0.720886228957411
Eikenella	visit	Week 72	0.206061369114838	0.172348621028019	224	13	0.233125157468895	0.720886228957411
ASV_280	visit	Week 72	0.13049362002871	0.110252432027748	224	13	0.237841429934534	0.720886228957411
ASV_529	visit	Week 72	-0.0489588743494407	0.0408016525711657	224	2	0.231447897772169	0.720886228957411
ASV_854	visit	Week 72	0.0532873920320699	0.0428742427177779	224	4	0.215224423260947	0.720886228957411
ASV_861	visit	Week 72	0.0607170196792153	0.0505681672624987	224	3	0.23114854042692	0.720886228957411
Olsenella	visit	Week 72	0.078670006802445	0.0607656276311889	224	3	0.196787147527486	0.720886228957411
ASV_1095	visit	Week 72	0.0328183317004579	0.0273583424929723	224	3	0.231583867628916	0.720886228957411
ASV_157	visit	Week 72	0.204750562708492	0.175625167007128	224	34	0.244930795073907	0.724586935426974
Prevotella	visit	Week 72	-2.73857160968162	2.47437216581775	224	82	0.269589334498985	0.734834379803857
Porphyromonas	visit	Week 72	0.74700786995652	0.664635911850942	224	171	0.262254269277313	0.734834379803857
ASV_77	visit	Week 72	-0.248937678601404	0.250743083502317	224	79	0.321888404991581	0.734834379803857
Oribacterium	visit	Week 72	0.23538901992945	0.23213079704388	224	83	0.311669393475999	0.734834379803857
ASV_120	visit	Week 72	0.159190588662337	0.153101869453999	224	9	0.299578291300751	0.734834379803857
TM7x	visit	Week 72	0.183883918485585	0.174953120917478	224	59	0.29437984619817	0.734834379803857
ASV_180	visit	Week 72	-0.157950093972137	0.162192076442382	224	22	0.331192959911597	0.734834379803857
ASV_182	visit	Week 72	-0.0864333431358811	0.0884311383038533	224	7	0.329430856876492	0.734834379803857
Mannheimia	visit	Week 72	0.19456185699671	0.196994759180891	224	34	0.324399344263694	0.734834379803857
ASV_209	visit	Week 72	-0.167749202512442	0.156205698260013	224	47	0.284033648962671	0.734834379803857
Capnocytophaga	visit	Week 72	0.278907570809398	0.262630406685728	224	23	0.289399816803506	0.734834379803857
ASV_472	visit	Week 72	-0.0853442283896775	0.0852806824554001	224	12	0.318039578938187	0.734834379803857
ASV_689	visit	Week 72	-0.0440790198282972	0.039923586470102	224	4	0.27075168318144	0.734834379803857
Anaeroglobus	visit	Week 72	0.0588713799476137	0.058010376600231	224	3	0.311285794591451	0.734834379803857
ASV_934	visit	Week 72	0.040985201794272	0.0403450741315915	224	5	0.310798902711235	0.734834379803857
ASV_1738	visit	Week 72	-0.0262894647864203	0.0248685555847735	224	2	0.291598147802878	0.734834379803857
Selenomonas	visit	Week 72	0.162533903475006	0.171348276063759	224	34	0.343876513820363	0.736110272444666
Centipeda	visit	Week 72	0.102783536545061	0.109135404311348	224	11	0.347319635590089	0.736110272444666
