feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusobacterium	visit	Week 72	0.118545816246923	0.0966855552052866	224	201	0.221461354477621	0.767967418839879
Lautropia	visit	Week 72	-0.216947705585051	0.110119683026605	224	183	0.0500690823355148	0.767967418839879
Alloprevotella	visit	Week 72	-0.143249812457846	0.109734768377656	224	200	0.193101611862349	0.767967418839879
Rothia	visit	Week 72	-0.145546435150499	0.116775379160299	224	182	0.213938681916516	0.767967418839879
Granulicatella	visit	Week 72	-0.0944606039621947	0.0846203004972668	224	213	0.265505761779472	0.767967418839879
ASV_68	visit	Week 72	-0.136659487417932	0.0561224199049222	224	37	0.0156799879663991	0.767967418839879
ASV_77	visit	Week 72	-0.0771701765752591	0.0592193946234686	224	79	0.193882598272988	0.767967418839879
Dolosigranulum	visit	Week 72	0.051387399192892	0.0459733244705023	224	13	0.264875281166974	0.767967418839879
ASV_112	visit	Week 72	0.0422433429213573	0.0367424786385695	224	17	0.251498738091649	0.767967418839879
Stomatobaculum	visit	Week 72	-0.11815066303948	0.0876633990581755	224	106	0.179104052156582	0.767967418839879
Lachnoanaerobaculum	visit	Week 72	-0.202374622944445	0.100500668175924	224	121	0.0452517567564026	0.767967418839879
Mannheimia	visit	Week 72	0.0644669077425283	0.0544531707343379	224	34	0.237720191438359	0.767967418839879
ASV_182	visit	Week 72	-0.0195542183114085	0.0175293988360391	224	7	0.265838017058789	0.767967418839879
ASV_205	visit	Week 72	0.0972355714567604	0.0510829320805291	224	41	0.0582708206758872	0.767967418839879
ASV_209	visit	Week 72	-0.0701461436415938	0.063488025179929	224	47	0.270411062971788	0.767967418839879
ASV_212	visit	Week 72	-0.0187648487646735	0.0168122034685939	224	3	0.26556691838351	0.767967418839879
F0058	visit	Week 72	0.0724814056386942	0.0483943209352345	224	26	0.135625084264731	0.767967418839879
Hydrogenophaga	visit	Week 72	0.0378686788812683	0.0180032426268697	224	5	0.0365535271447056	0.767967418839879
ASV_280	visit	Week 72	0.0452062267298212	0.0379832085023216	224	13	0.235253327229862	0.767967418839879
ASV_283	visit	Week 72	-0.0598115622214786	0.0384699744837198	224	13	0.121427754734855	0.767967418839879
Butyrivibrio	visit	Week 72	0.0866375115576563	0.0335111564789078	224	18	0.0103681322071121	0.767967418839879
Dialister	visit	Week 72	0.0531681154065749	0.0346009136615538	224	13	0.125812802851212	0.767967418839879
Hyphomicrobium	visit	Week 72	0.0333114873632664	0.0190795283721047	224	4	0.0822067599732101	0.767967418839879
ASV_383	visit	Week 72	0.0238089056364821	0.016120964852382	224	10	0.141122029372079	0.767967418839879
F0332	visit	Week 72	-0.0468000643334808	0.0257643341868927	224	12	0.070647439747596	0.767967418839879
ASV_422	visit	Week 72	-0.0294494824104159	0.0257766972859574	224	7	0.254483266077804	0.767967418839879
ASV_428	visit	Week 72	0.0181120537995875	0.0128389542116753	224	4	0.159729566873059	0.767967418839879
Delftia	visit	Week 72	0.0069557340791588	0.00502324016107025	224	2	0.167531051099913	0.767967418839879
Sphingopyxis	visit	Week 72	0.0315085465776533	0.015492442629262	224	5	0.0431611662732455	0.767967418839879
Bulleidia	visit	Week 72	0.0386385046589349	0.0216075559414897	224	9	0.0751084207013136	0.767967418839879
Shuttleworthia	visit	Week 72	-0.0107421829777934	0.00960914918438846	224	4	0.264812875663031	0.767967418839879
Rikenellaceae_RC9_gut_group	visit	Week 72	-0.0435341351487117	0.0301293424478273	224	10	0.149893660489946	0.767967418839879
ASV_525	visit	Week 72	0.0061043235032706	0.00432798923104395	224	2	0.159812534020665	0.767967418839879
ASV_529	visit	Week 72	-0.00980372307739362	0.00758395027939485	224	2	0.197460860580688	0.767967418839879
ASV_540	visit	Week 72	0.027163245737203	0.0198649789653567	224	8	0.172884768503392	0.767967418839879
ASV_572	visit	Week 72	0.00877620100134706	0.00663311859614699	224	2	0.187167176053643	0.767967418839879
ASV_586	visit	Week 72	0.00697426906616751	0.00503890871548235	224	2	0.167722804296688	0.767967418839879
ASV_639	visit	Week 72	0.0384457532314801	0.0177321986980497	224	9	0.0312118326655942	0.767967418839879
ASV_682	visit	Week 72	0.0293463813675766	0.0179634833993209	224	7	0.103745777699843	0.767967418839879
ASV_689	visit	Week 72	-0.0153718826231579	0.0116439073051376	224	4	0.188139375302179	0.767967418839879
ASV_817	visit	Week 72	-0.0170367840020533	0.0142465351213479	224	3	0.233029058281303	0.767967418839879
Lactobacillus	visit	Week 72	-0.0364385524276885	0.0317749150382241	224	7	0.252710728854486	0.767967418839879
ASV_861	visit	Week 72	0.0201732786924813	0.016744299021781	224	3	0.229569128839539	0.767967418839879
Acinetobacter	visit	Week 72	-0.0130061977555195	0.010639285160119	224	2	0.222826546947654	0.767967418839879
ASV_1004	visit	Week 72	0.0242637793093138	0.0141350876800858	224	4	0.0874537455672655	0.767967418839879
Desulfomicrobium	visit	Week 72	0.0136445501541282	0.0112580885240239	224	2	0.226809329851703	0.767967418839879
ASV_1098	visit	Week 72	0.014962374845107	0.0125417556896912	224	2	0.234140950237004	0.767967418839879
Roseburia	visit	Week 72	-0.0114193888246632	0.0103056498647381	224	3	0.269030331625695	0.767967418839879
ASV_1738	visit	Week 72	-0.00620401211933731	0.00440656150246115	224	2	0.160558482669988	0.767967418839879
ASV_1802	visit	Week 72	0.00826037385304986	0.00616507601821344	224	2	0.181658867385855	0.767967418839879
ASV_461	visit	Week 72	-0.0291278581175806	0.0279666006084336	224	11	0.298765792656697	0.778039158798812
Rodentibacter	visit	Week 72	-0.0163775055931892	0.0154535978533474	224	4	0.290393673418292	0.778039158798812
Defluviitaleaceae_UCG.011	visit	Week 72	-0.0383231854704026	0.0369933248548301	224	16	0.301353195309399	0.778039158798812
ASV_1095	visit	Week 72	0.0115091117279352	0.0108704604814505	224	3	0.290863783607471	0.778039158798812
Johnsonella	visit	Week 72	0.0307523008516208	0.0285168692591547	224	9	0.282030163856573	0.778039158798812
ASV_157	visit	Week 72	0.0564815505988186	0.057482122201305	224	34	0.326877254133607	0.787107006420253
Conchiformibius	visit	Week 72	0.0286040303786607	0.0294568200376641	224	21	0.332580425247994	0.787107006420253
Mycoplasma	visit	Week 72	0.0556756291485797	0.0548398529192375	224	31	0.31109647207814	0.787107006420253
Lentimicrobium	visit	Week 72	-0.0426114790739759	0.0433477850362378	224	17	0.326670650996684	0.787107006420253
ASV_854	visit	Week 72	0.0172324376233176	0.0175658959371172	224	4	0.32765238278837	0.787107006420253
ASV_472	visit	Week 72	-0.0225812255601237	0.023793941778834	224	12	0.343636015228093	0.799939576432611
Atopobium	visit	Week 72	-0.0482949774977854	0.0515281612899421	224	42	0.349646402035524	0.800803049823297
Veillonella	visit	Week 72	-0.087347042758085	0.0978932014017516	224	208	0.373215034000443	0.802734450318789
ASV_52	visit	Week 72	-0.0553232563827089	0.0637874228829048	224	79	0.386710506810264	0.802734450318789
Bergeyella	visit	Week 72	-0.0985073637424873	0.108602783489779	224	97	0.365367693048387	0.802734450318789
Eikenella	visit	Week 72	0.0364075845941123	0.0422757699582925	224	14	0.39006110614082	0.802734450318789
Tannerella	visit	Week 72	0.0489358256120224	0.0557054093894097	224	38	0.380635637715916	0.802734450318789
Olsenella	visit	Week 72	0.00619396514666729	0.00683708084157599	224	3	0.365951339705398	0.802734450318789
ASV_934	visit	Week 72	0.0122153244230622	0.0136974997453998	224	5	0.373469847099279	0.802734450318789
