"","x"
"Neisseria",0.976916940515805
"Streptococcus",0.916575848545433
"Haemophilus",0.923802043650003
"Prevotella",0.916575848545433
"Moraxella",0.916575848545433
"Veillonella",0.916575848545433
"Fusobacterium",0.916575848545433
"Porphyromonas",0.916575848545433
"Lautropia",0.916575848545433
"Actinobacillus",0.916575848545433
"Gemella",0.916575848545433
"Alloprevotella",0.916575848545433
"Leptotrichia",0.916575848545433
"Rothia",0.916575848545433
"Aggregatibacter",0.916575848545433
"Granulicatella",0.916575848545433
"ASV_52",0.916575848545433
"Actinomyces",0.999783262452474
"ASV_62",0.916575848545433
"Campylobacter",0.923802043650003
"Bergeyella",0.916575848545433
"ASV_68",0.822087793776257
"ASV_77",0.916575848545433
"Dolosigranulum",0.916575848545433
"Streptobacillus",0.999783262452474
"Oribacterium",0.999783262452474
"ASV_112",0.916575848545433
"Stomatobaculum",0.916575848545433
"Lachnoanaerobaculum",0.842347267834591
"ASV_120",0.916575848545433
"ASV_126",0.999783262452474
"Mannheimia",0.916575848545433
"TM7x",0.999783262452474
"Tropheryma",0.994223336179729
"Solobacterium",0.916575848545433
"Peptostreptococcus",0.916575848545433
"Abiotrophia",0.916575848545433
"Oceanivirga",0.916575848545433
"Corynebacterium",0.916575848545433
"ASV_157",0.916575848545433
"ASV_163",0.999783262452474
"ASV_180",0.916575848545433
"ASV_182",0.916575848545433
"ASV_187",0.916575848545433
"Eikenella",0.916575848545433
"ASV_203",0.999783262452474
"ASV_205",0.916575848545433
"ASV_209",0.916575848545433
"ASV_212",0.916575848545433
"F0058",0.916575848545433
"ASV_214",0.916575848545433
"ASV_216",0.999783262452474
"Conchiformibius",0.916575848545433
"Hydrogenophaga",NA
"Treponema",0.916575848545433
"Candidatus_Saccharimonas",0.999783262452474
"ASV_239",0.916575848545433
"ASV_242",0.999783262452474
"Mogibacterium",0.999783262452474
"Selenomonas",0.999783262452474
"ASV_260",0.916575848545433
"Parvimonas",0.916575848545433
"Catonella",0.916575848545433
"Cardiobacterium",0.916575848545433
"ASV_280",0.916575848545433
"ASV_283",0.916575848545433
"Comamonas",0.999783262452474
"Capnocytophaga",0.916575848545433
"Atopobium",0.916575848545433
"Butyrivibrio",0.842347267834591
"Kingella",0.916575848545433
"ASV_307",0.991934966245433
"Mycoplasma",0.916575848545433
"Tannerella",0.916575848545433
"ASV_329",0.999783262452474
"ASV_331",0.916575848545433
"Filifactor",0.916575848545433
"Dialister",0.916575848545433
"ASV_339",0.916575848545433
"Peptococcus",0.999783262452474
"Hyphomicrobium",NA
"ASV_383",0.916575848545433
"Psychrobacter",0.999783262452474
"ASV_409",0.916575848545433
"F0332",0.916575848545433
"ASV_422",0.923802043650003
"ASV_428",0.916575848545433
"Peptoanaerobacter",0.916575848545433
"Lentimicrobium",0.916575848545433
"Delftia",NA
"Sphingopyxis",NA
"ASV_461",0.916575848545433
"ASV_472",0.916575848545433
"ASV_485",0.999783262452474
"Amnipila",0.923802043650003
"Rodentibacter",0.916575848545433
"Bulleidia",0.916575848545433
"Shuttleworthia",0.916575848545433
"ASV_508",0.916575848545433
"Rikenellaceae_RC9_gut_group",0.916575848545433
"ASV_525",NA
"Sneathia",0.999783262452474
"ASV_529",NA
"ASV_533",0.916575848545433
"ASV_540",0.916575848545433
"Centipeda",0.976916940515805
"ASV_561",0.916575848545433
"ASV_572",NA
"ASV_586",NA
"Defluviitaleaceae_UCG-011",0.916575848545433
"ASV_591",0.999783262452474
"ASV_639",0.916575848545433
"ASV_644",0.916575848545433
"ASV_682",0.916575848545433
"ASV_689",0.916575848545433
"Family_XIII_UCG-001",0.916575848545433
"ASV_709",0.999783262452474
"Fretibacterium",0.976916940515805
"Alysiella",0.999783262452474
"ASV_817",0.916575848545433
"ASV_821",0.999783262452474
"ASV_844",0.999783262452474
"Lactobacillus",0.916575848545433
"ASV_854",0.916575848545433
"ASV_861",0.916575848545433
"Olsenella",0.916575848545433
"Acinetobacter",NA
"ASV_934",0.916575848545433
"Prevotellaceae_YAB2003_group",0.916575848545433
"ASV_1004",NA
"Desulfomicrobium",NA
"ASV_1095",0.916575848545433
"ASV_1098",NA
"ASV_1121",0.999783262452474
"Anaeroglobus",0.916575848545433
"ASV_1325",0.916575848545433
"Johnsonella",0.916575848545433
"Roseburia",0.916575848545433
"ASV_1738",NA
"ASV_1770",0.999783262452474
"ASV_1802",NA
"ASV_1884",0.999783262452474
