"","taxon","stat","p","p.adj"
"1","Neisseria",6457,0.703624328056824,0.796425531809945
"2","Streptococcus",7335,0.0284635122367872,0.601986420026204
"3","Haemophilus",5720,0.255465623203805,0.601986420026204
"4","Prevotella",6465,0.691420327044892,0.795273255645863
"5","Moraxella",5622,0.180490462520806,0.601986420026204
"6","Veillonella",6856,0.228915678934287,0.601986420026204
"7","Fusobacterium",5356,0.0590623163989233,0.601986420026204
"8","Porphyromonas",5968,0.531441899057971,0.718711901583161
"9","Lautropia",7008,0.129373910302312,0.601986420026204
"10","Actinobacillus",5690,0.230515195386296,0.601986420026204
"11","Gemella",6174,0.840666036909246,0.899274966810333
"12","Alloprevotella",6435,0.737572770913157,0.818244792731783
"13","Leptotrichia",6065,0.670256630489007,0.780134766634746
"14","Rothia",6861,0.224951496551508,0.601986420026204
"15","Aggregatibacter",6515,0.617056367118587,0.755362104576201
"16","Granulicatella",6482,0.665754699662626,0.780134766634746
"17","ASV_52",6407,0.78152340473048,0.853664026705601
"18","Actinomyces",6104,0.729809328082418,0.816007280218137
"19","ASV_62",6498,0.641950675138001,0.766025175374757
"20","Campylobacter",6234,0.93836604004589,0.955099254555249
"21","Bergeyella",6147,0.797399043445646,0.864356215032685
"22","ASV_68",7060,0.104419005604418,0.601986420026204
"23","ASV_77",6607,0.490365647235078,0.684472725706129
"24","Dolosigranulum",5422,0.0798358198660532,0.601986420026204
"25","Streptobacillus",5938,0.491663507197361,0.684472725706129
"26","Oribacterium",6010,0.589746161261508,0.736369110826085
"27","ASV_112",5593,0.161799962869636,0.601986420026204
"28","Stomatobaculum",6817,0.261547901649127,0.601986420026204
"29","Lachnoanaerobaculum",7422,0.0177770683182961,0.601986420026204
"30","ASV_120",5573,0.149787426783557,0.601986420026204
"31","ASV_126",5784,0.314796675897396,0.601986420026204
"32","TM7x",5919,0.467322291613765,0.677140463358721
"33","Tropheryma",5819,0.350799690756686,0.601986420026204
"34","Solobacterium",5781,0.311827913885524,0.601986420026204
"35","Peptostreptococcus",5794,0.324826287178464,0.601986420026204
"36","Abiotrophia",6175,0.842278666097002,0.899274966810333
"37","Oceanivirga",6058,0.659770837681868,0.780134766634746
"38","Corynebacterium",5707,0.244432367418741,0.601986420026204
"39","ASV_157",5489,0.106638570403288,0.601986420026204
"40","ASV_163",5773,0.304001726597139,0.601986420026204
"41","ASV_180",6236,0.941647152378415,0.955099254555249
"42","ASV_182",5956,0.515336992632651,0.710464591784819
"43","ASV_187",5450,0.0902834411326598,0.601986420026204
"44","Treponema",6011,0.591169567846293,0.736369110826085
"45","Mannheimia",5813,0.344449054940812,0.601986420026204
"46","Eikenella",5649,0.199291273721072,0.601986420026204
"47","ASV_203",5820,0.351865301846302,0.601986420026204
"48","ASV_205",5349,0.0571498560992638,0.601986420026204
"49","ASV_209",6329,0.907255464714808,0.933552724561614
"50","ASV_212",5848,0.382531032910041,0.631621007828208
"51","F0058",5166,0.0226372067384199,0.601986420026204
"52","ASV_214",5674,0.217940031216321,0.601986420026204
"53","ASV_216",5861,0.397309153402496,0.648481606702925
"54","Conchiformibius",5358,0.0596183907554075,0.601986420026204
"55","Hydrogenophaga",5309,0.0471843660650081,0.601986420026204
"56","Catonella",6335,0.897458277507112,0.930212229240948
"57","Candidatus_Saccharimonas",5880,0.419517053077997,0.65463100590193
"58","ASV_239",5964,0.526045376979507,0.718254264722019
"59","ASV_242",5758,0.289682148591296,0.601986420026204
"60","Mogibacterium",6039,0.631649171538565,0.766025175374757
"61","Selenomonas",5815,0.346557733589821,0.601986420026204
"62","ASV_260",5866,0.403083512352582,0.650430213114394
"63","Cardiobacterium",6045,0.640474745420496,0.766025175374757
"64","ASV_280",5669,0.214113333107431,0.601986420026204
"65","ASV_283",6193,0.871412738632948,0.920014224458902
"66","Comamonas",5721,0.256328449351964,0.601986420026204
"67","Capnocytophaga",6202,0.886048055692562,0.925138411090764
"68","Atopobium",6463,0.694463969718923,0.795273255645863
"69","Kingella",5787,0.317783955458071,0.601986420026204
"70","Butyrivibrio",5189,0.0256098491545886,0.601986420026204
"71","ASV_307",5691,0.231317926148847,0.601986420026204
