"","taxon","stat","p","p.adj"
"1","Neisseria",6062,0.665754699662626,0.849998746284517
"2","Streptococcus",7000,0.133593754194134,0.845473577823083
"3","Haemophilus",6197,0.877912196500064,0.931123731063078
"4","Prevotella",6610,0.486482447805068,0.845473577823083
"5","Moraxella",5771,0.302036706976676,0.845473577823083
"6","Veillonella",6748.5,0.326346278092404,0.845473577823083
"7","Fusobacterium",5458,0.0934609213209736,0.845473577823083
"8","Porphyromonas",6033.5,0.623603587162068,0.849998746284517
"9","Lautropia",7221,0.0504895022649125,0.845473577823083
"10","Actinobacillus",5643.5,0.195324436998517,0.845473577823083
"11","Gemella",6344,0.882791506687384,0.931123731063078
"12","Alloprevotella",6651.5,0.43451445295287,0.845473577823083
"13","Leptotrichia",6586,0.517996959273601,0.845473577823083
"14","Rothia",6956,0.158725182367611,0.845473577823083
"15","Aggregatibacter",6649,0.437537577587179,0.845473577823083
"16","Granulicatella",6733.5,0.341823199536059,0.845473577823083
"17","ASV_52",6470,0.68378846041543,0.849998746284517
"18","Actinomyces",6145,0.79421090547905,0.888015343134056
"19","ASV_62",6508.5,0.626485821312048,0.849998746284517
"20","Campylobacter",6326,0.912157932091823,0.952400193801756
"21","Bergeyella",6342.5,0.885223265447292,0.931123731063078
"22","ASV_68",7092,0.0909825920579655,0.845473577823083
"23","ASV_77",6693,0.385844534170621,0.845473577823083
"24","Dolosigranulum",5610,0.172395348176666,0.845473577823083
"25","Streptobacillus",5961,0.521956559072444,0.845473577823083
"26","Oribacterium",6037,0.628677625280966,0.849998746284517
"27","ASV_112",5796.5,0.327168069929546,0.845473577823083
"28","Stomatobaculum",6836,0.245228439610372,0.845473577823083
"29","Lachnoanaerobaculum",7162.5,0.0664666987901851,0.845473577823083
"30","ASV_120",5741,0.273808694614106,0.845473577823083
"31","ASV_126",5961.5,0.522490497757341,0.845473577823083
"32","Mannheimia",5886.5,0.427140309109227,0.845473577823083
"33","TM7x",6039.5,0.632315306642235,0.849998746284517
"34","Tropheryma",5933,0.48501443961674,0.845473577823083
"35","Solobacterium",5684.5,0.226072612012728,0.845473577823083
"36","Peptostreptococcus",5760.5,0.291963104894442,0.845473577823083
"37","Abiotrophia",6287,0.976141523312703,0.983064512839744
"38","Oceanivirga",6245.5,0.957228051652675,0.977887649889783
"39","Corynebacterium",5820,0.351801019568006,0.845473577823083
"40","ASV_157",5570.5,0.148203064785989,0.845473577823083
"41","ASV_163",5844.5,0.378409323062562,0.845473577823083
"42","ASV_180",6351,0.871368927135312,0.931123731063078
"43","ASV_182",6125,0.762491805249781,0.860274524114314
"44","ASV_187",5490.5,0.10717400098624,0.845473577823083
"45","Eikenella",5754,0.285748977942564,0.845473577823083
"46","ASV_203",5952.5,0.510495984776321,0.845473577823083
"47","ASV_205",5314,0.04827464025572,0.845473577823083
"48","ASV_209",6452.5,0.710449209966654,0.849998746284517
"49","ASV_212",6034.5,0.624900780106391,0.849998746284517
"50","F0058",5316.5,0.04884441138988,0.845473577823083
"51","ASV_214",5840,0.373384911256032,0.845473577823083
"52","ASV_216",6000,0.575453947155396,0.845473577823083
"53","Conchiformibius",5392.5,0.0698024936931321,0.845473577823083
"54","Hydrogenophaga",5484,0.104250393682508,0.845473577823083
"55","Treponema",6418.5,0.763342183369039,0.860274524114314
"56","Candidatus_Saccharimonas",5863.5,0.400051300245882,0.845473577823083
"57","ASV_239",6080,0.692825713299001,0.849998746284517
"58","ASV_242",5918,0.465859883431253,0.845473577823083
"59","Mogibacterium",6098,0.720459476706352,0.849998746284517
"60","Selenomonas",5953.5,0.51189184282602,0.845473577823083
"61","ASV_260",5986.5,0.556583126039116,0.845473577823083
"62","Parvimonas",6379.5,0.825321592222187,0.908493535624423
"63","Catonella",6457,0.703561226490356,0.849998746284517
"64","Cardiobacterium",6100.5,0.724294706341032,0.849998746284517
"65","ASV_280",5757.5,0.289005714955506,0.845473577823083
"66","ASV_283",6306.5,0.944086091106324,0.977887649889783
"67","Comamonas",5827,0.359181327203024,0.845473577823083
"68","Capnocytophaga",6502.5,0.635241930544512,0.849998746284517
"69","Atopobium",6568.5,0.54153638932779,0.845473577823083
"70","Butyrivibrio",5293,0.0435467235519206,0.845473577823083
"71","Kingella",5840,0.37342653178886,0.845473577823083
"72","ASV_307",5825.5,0.35754526624323,0.845473577823083
"73","Mycoplasma",5847.5,0.381803709568868,0.845473577823083
"74","Tannerella",5760.5,0.291890811452697,0.845473577823083
"75","ASV_329",5882.5,0.422274697151679,0.845473577823083
"76","ASV_331",6094,0.714254566781303,0.849998746284517
"77","Filifactor",6087.5,0.704288925945446,0.849998746284517
"78","Dialister",5435.5,0.084621442220679,0.845473577823083
"79","ASV_339",5952.5,0.510483783828383,0.845473577823083
"80","Peptococcus",5981.5,0.549719887031618,0.845473577823083
"81","Hyphomicrobium",5607.5,0.170745365581392,0.845473577823083
"82","ASV_383",5563.5,0.144142861863932,0.845473577823083
"83","Psychrobacter",5931,0.48240765793661,0.845473577823083
"84","ASV_409",6098.5,0.721184167860647,0.849998746284517
"85","F0332",6473,0.679163235575087,0.849998746284517
"86","ASV_422",5969,0.532614091184979,0.845473577823083
"87","ASV_428",5748,0.280172018776375,0.845473577823083
"88","Peptoanaerobacter",6110.5,0.739789432372039,0.856761718571037
