feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	visit	Week 72	0.0652508983596912	0.103132755994198	220	216	0.527600213392851	0.933823610419269
Prevotella	visit	Week 72	0.17043985800009	0.127733056589589	220	202	0.183483197024437	0.933823610419269
Fusobacterium	visit	Week 72	0.0673113911238749	0.0998747107989911	220	199	0.501051799630905	0.933823610419269
Actinobacillus	visit	Week 72	0.0911569772461313	0.123781547317801	220	125	0.462258165138225	0.933823610419269
Gemella	visit	Week 72	-0.0497469646729533	0.0892360232969453	220	201	0.577774036640771	0.933823610419269
Alloprevotella	visit	Week 72	0.0948430658658249	0.131708080318352	220	188	0.472234426348231	0.933823610419269
Leptotrichia	visit	Week 72	0.107411523503394	0.131681380543912	220	171	0.415566318886453	0.933823610419269
Rothia	visit	Week 72	-0.103564142167443	0.116625888706227	220	179	0.375517826085578	0.933823610419269
Aggregatibacter	visit	Week 72	0.0781068247864443	0.0913075379703992	220	136	0.393254642531521	0.933823610419269
Escherichia.Shigella	visit	Week 72	-0.00664692615239843	0.00977447815095848	220	2	0.49720776439865	0.933823610419269
ASV_62	visit	Week 72	0.110549000638264	0.114763528127302	220	83	0.336476112178826	0.933823610419269
Campylobacter	visit	Week 72	0.0767202311779776	0.119062861058619	220	169	0.520014613946404	0.933823610419269
ASV_77	visit	Week 72	-0.0896765262564398	0.0776907256116625	220	84	0.249650899993577	0.933823610419269
Streptobacillus	visit	Week 72	0.0922786519755816	0.105941150032621	220	78	0.384692192209118	0.933823610419269
ASV_112	visit	Week 72	0.0377588166322069	0.0307971375343729	220	16	0.221502772423538	0.933823610419269
ASV_120	visit	Week 72	0.0327923629947413	0.0146327927515157	220	6	0.026032842352382	0.933823610419269
ASV_126	visit	Week 72	-0.0232164200752189	0.0298192880994102	220	4	0.437076977836252	0.933823610419269
Mannheimia	visit	Week 72	0.0295580888629245	0.0622776696516789	220	33	0.635534529458533	0.933823610419269
Tropheryma	visit	Week 72	0.0191005083424007	0.039993357231649	220	15	0.633419107059829	0.933823610419269
Solobacterium	visit	Week 72	0.0388764202997874	0.0781661189427834	220	80	0.619438996808012	0.933823610419269
Peptostreptococcus	visit	Week 72	-0.126841647314605	0.0881646230556587	220	99	0.151672244753951	0.933823610419269
Corynebacterium	visit	Week 72	0.100897314699924	0.093702137464996	220	78	0.282765252173767	0.933823610419269
ASV_157	visit	Week 72	0.0818702810643606	0.056149359746382	220	30	0.146257515891249	0.933823610419269
ASV_163	visit	Week 72	0.0312138240972586	0.0405921769131454	220	15	0.442748413697429	0.933823610419269
