"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Neisseria","visit","Week 72",0.0652508983596912,0.103132755994198,0.527600213392851,"visitWeek 72",0.933823610419269,220,216
"2","Prevotella","visit","Week 72",0.17043985800009,0.127733056589589,0.183483197024437,"visitWeek 72",0.933823610419269,220,202
"3","Fusobacterium","visit","Week 72",0.0673113911238749,0.0998747107989911,0.501051799630905,"visitWeek 72",0.933823610419269,220,199
"4","Actinobacillus","visit","Week 72",0.0911569772461313,0.123781547317801,0.462258165138225,"visitWeek 72",0.933823610419269,220,125
"5","Gemella","visit","Week 72",-0.0497469646729533,0.0892360232969453,0.577774036640771,"visitWeek 72",0.933823610419269,220,201
"6","Alloprevotella","visit","Week 72",0.0948430658658249,0.131708080318352,0.472234426348231,"visitWeek 72",0.933823610419269,220,188
"7","Leptotrichia","visit","Week 72",0.107411523503394,0.131681380543912,0.415566318886453,"visitWeek 72",0.933823610419269,220,171
"8","Rothia","visit","Week 72",-0.103564142167443,0.116625888706227,0.375517826085578,"visitWeek 72",0.933823610419269,220,179
"9","Aggregatibacter","visit","Week 72",0.0781068247864443,0.0913075379703992,0.393254642531521,"visitWeek 72",0.933823610419269,220,136
"10","Escherichia.Shigella","visit","Week 72",-0.00664692615239843,0.00977447815095848,0.49720776439865,"visitWeek 72",0.933823610419269,220,2
"11","ASV_62","visit","Week 72",0.110549000638264,0.114763528127302,0.336476112178826,"visitWeek 72",0.933823610419269,220,83
"12","Campylobacter","visit","Week 72",0.0767202311779776,0.119062861058619,0.520014613946404,"visitWeek 72",0.933823610419269,220,169
"13","ASV_77","visit","Week 72",-0.0896765262564398,0.0776907256116625,0.249650899993577,"visitWeek 72",0.933823610419269,220,84
"14","Streptobacillus","visit","Week 72",0.0922786519755816,0.105941150032621,0.384692192209118,"visitWeek 72",0.933823610419269,220,78
"15","ASV_112","visit","Week 72",0.0377588166322069,0.0307971375343729,0.221502772423538,"visitWeek 72",0.933823610419269,220,16
"16","ASV_120","visit","Week 72",0.0327923629947413,0.0146327927515157,0.026032842352382,"visitWeek 72",0.933823610419269,220,6
"17","ASV_126","visit","Week 72",-0.0232164200752189,0.0298192880994102,0.437076977836252,"visitWeek 72",0.933823610419269,220,4
"18","Mannheimia","visit","Week 72",0.0295580888629245,0.0622776696516789,0.635534529458533,"visitWeek 72",0.933823610419269,220,33
"19","Tropheryma","visit","Week 72",0.0191005083424007,0.039993357231649,0.633419107059829,"visitWeek 72",0.933823610419269,220,15
"20","Solobacterium","visit","Week 72",0.0388764202997874,0.0781661189427834,0.619438996808012,"visitWeek 72",0.933823610419269,220,80
"21","Peptostreptococcus","visit","Week 72",-0.126841647314605,0.0881646230556587,0.151672244753951,"visitWeek 72",0.933823610419269,220,99
"22","Corynebacterium","visit","Week 72",0.100897314699924,0.093702137464996,0.282765252173767,"visitWeek 72",0.933823610419269,220,78
"23","ASV_157","visit","Week 72",0.0818702810643606,0.056149359746382,0.146257515891249,"visitWeek 72",0.933823610419269,220,30
"24","ASV_163","visit","Week 72",0.0312138240972586,0.0405921769131454,0.442748413697429,"visitWeek 72",0.933823610419269,220,15
"25","ASV_182","visit","Week 72",-0.04963743472176,0.0302498598516984,0.102257116509226,"visitWeek 72",0.933823610419269,220,9
"26","ASV_187","visit","Week 72",0.0628347167541329,0.0491507395209204,0.20246486454896,"visitWeek 72",0.933823610419269,220,20
"27","Treponema","visit","Week 72",0.0512338192245583,0.103753098871638,0.621940913757503,"visitWeek 72",0.933823610419269,220,78
"28","Eikenella","visit","Week 72",0.0281203208283586,0.0370328293523662,0.44847251909183,"visitWeek 72",0.933823610419269,220,14
"29","ASV_203","visit","Week 72",-0.00930546944413581,0.0193549417488233,0.631154996998039,"visitWeek 72",0.933823610419269,220,8
"30","ASV_205","visit","Week 72",0.082311514876164,0.0682635671908878,0.229205624183322,"visitWeek 72",0.933823610419269,220,42
"31","ASV_209","visit","Week 72",0.0316018703673793,0.0468950532322326,0.501098352807404,"visitWeek 72",0.933823610419269,220,33
"32","F0058","visit","Week 72",0.061748032168442,0.0489745828411136,0.20872216099116,"visitWeek 72",0.933823610419269,220,25
"33","ASV_214","visit","Week 72",-0.0188824167164283,0.01971365210711,0.339207245401067,"visitWeek 72",0.933823610419269,220,9
"34","Conchiformibius","visit","Week 72",0.0186604277180152,0.037757165623151,0.621646927393796,"visitWeek 72",0.933823610419269,220,25
"35","Hydrogenophaga","visit","Week 72",0.0179773638587712,0.0197291004105673,0.363190932661008,"visitWeek 72",0.933823610419269,220,7
"36","Catonella","visit","Week 72",-0.118731748988457,0.0962168994242626,0.218531204313695,"visitWeek 72",0.933823610419269,220,62
"37","Candidatus_Saccharimonas","visit","Week 72",-0.0287782300433882,0.0412098497010581,0.485712729997855,"visitWeek 72",0.933823610419269,220,33
"38","ASV_242","visit","Week 72",-0.0308059174499576,0.0365424638564586,0.400142940524139,"visitWeek 72",0.933823610419269,220,6
"39","Mogibacterium","visit","Week 72",-0.0247808130077045,0.0444002831327253,0.577333226262755,"visitWeek 72",0.933823610419269,220,38
"40","Atopobium","visit","Week 72",-0.0422390168310715,0.0516628674844786,0.41448431145536,"visitWeek 72",0.933823610419269,220,37
"41","Parvimonas","visit","Week 72",0.0582546275930811,0.0597475029091193,0.33063418482112,"visitWeek 72",0.933823610419269,220,21
"42","Cardiobacterium","visit","Week 72",-0.0589829696949943,0.0360691491736029,0.103434509174782,"visitWeek 72",0.933823610419269,220,23
"43","ASV_280","visit","Week 72",0.0380461884029675,0.0446065805893151,0.394635527416997,"visitWeek 72",0.933823610419269,220,12
"44","ASV_286","visit","Week 72",-0.0224356859965899,0.0255481531511047,0.380816941794924,"visitWeek 72",0.933823610419269,220,4
"45","ASV_307","visit","Week 72",-0.0523156247147259,0.0418449593267762,0.212557639117844,"visitWeek 72",0.933823610419269,220,19
"46","Tannerella","visit","Week 72",0.0467753811850701,0.0615314039355108,0.447964091754305,"visitWeek 72",0.933823610419269,220,36
"47","ASV_331","visit","Week 72",-0.0274030031764846,0.0282539360702124,0.33317981145184,"visitWeek 72",0.933823610419269,220,11
"48","ASV_339","visit","Week 72",0.0136856120323396,0.0166487062396892,0.411962210123701,"visitWeek 72",0.933823610419269,220,2
"49","Peptococcus","visit","Week 72",-0.0958629846383068,0.0523645632052058,0.0685128461476679,"visitWeek 72",0.933823610419269,220,38
"50","Hyphomicrobium","visit","Week 72",0.017655652584949,0.010868424450202,0.105716090910389,"visitWeek 72",0.933823610419269,220,3
"51","ASV_383","visit","Week 72",0.0404529979430372,0.0197412305724379,0.0416437039424581,"visitWeek 72",0.933823610419269,220,6
"52","ASV_409","visit","Week 72",-0.00562631785472096,0.00814101692606317,0.490233252152345,"visitWeek 72",0.933823610419269,220,3
"53","F0332","visit","Week 72",-0.0250520477037618,0.0168393616610837,0.138273014399783,"visitWeek 72",0.933823610419269,220,8
"54","ASV_428","visit","Week 72",0.0137093815905685,0.00884054908231731,0.122414825642926,"visitWeek 72",0.933823610419269,220,3
"55","Peptoanaerobacter","visit","Week 72",-0.0409946616395017,0.0260866932995979,0.117521925871366,"visitWeek 72",0.933823610419269,220,13
"56","Delftia","visit","Week 72",0.0041860309593922,0.00587269672372997,0.476734654602094,"visitWeek 72",0.933823610419269,220,3
"57","Sphingopyxis","visit","Week 72",0.0199885893890546,0.0103433706306252,0.0545932271795472,"visitWeek 72",0.933823610419269,220,4
"58","Lentimicrobium","visit","Week 72",0.0225707704445553,0.0478115007744171,0.637343116185632,"visitWeek 72",0.933823610419269,220,15
"59","ASV_461","visit","Week 72",0.0119155736258416,0.025028866851937,0.634498961929829,"visitWeek 72",0.933823610419269,220,8
"60","ASV_472","visit","Week 72",0.0160884781301445,0.027969811540785,0.565743383066581,"visitWeek 72",0.933823610419269,220,7
"61","ASV_485","visit","Week 72",0.0130879521568616,0.0140713799587074,0.353342168584234,"visitWeek 72",0.933823610419269,220,6
"62","Amnipila","visit","Week 72",-0.0227624175642106,0.0301486903923984,0.451060763163863,"visitWeek 72",0.933823610419269,220,11
"63","Bulleidia","visit","Week 72",0.019746498017065,0.0175864291975901,0.262746514299299,"visitWeek 72",0.933823610419269,220,10
"64","Rikenellaceae_RC9_gut_group","visit","Week 72",-0.00729106544399563,0.0135725986622629,0.591684188494667,"visitWeek 72",0.933823610419269,220,6
"65","ASV_525","visit","Week 72",-0.00292308569394666,0.00628662323460911,0.642417661068575,"visitWeek 72",0.933823610419269,220,2
"66","Sneathia","visit","Week 72",0.0113894998839188,0.0143887769647699,0.429480941061412,"visitWeek 72",0.933823610419269,220,2
"67","ASV_533","visit","Week 72",0.00925239996455566,0.00704394596952191,0.190386793644252,"visitWeek 72",0.933823610419269,220,2
"68","ASV_540","visit","Week 72",0.037038283290114,0.0252126557532919,0.143264746730513,"visitWeek 72",0.933823610419269,220,8
"69","Centipeda","visit","Week 72",-0.0180338329532854,0.0279300729182245,0.519166962212129,"visitWeek 72",0.933823610419269,220,12
"70","ASV_572","visit","Week 72",0.00893576829227795,0.0067533055128643,0.187165116314719,"visitWeek 72",0.933823610419269,220,2
"71","Staphylococcus","visit","Week 72",0.0126253083311202,0.0156037983185089,0.41932967951113,"visitWeek 72",0.933823610419269,220,2
"72","ASV_586","visit","Week 72",0.00710107395827817,0.00513014039744703,0.167716533456483,"visitWeek 72",0.933823610419269,220,2
"73","Defluviitaleaceae_UCG.011","visit","Week 72",-0.0438320505071609,0.0375841840514157,0.244793079202193,"visitWeek 72",0.933823610419269,220,16
"74","ASV_591","visit","Week 72",0.00812373519314768,0.0111998592788594,0.469019764931692,"visitWeek 72",0.933823610419269,220,2
"75","ASV_639","visit","Week 72",0.0267181025388404,0.0205341568742216,0.194579228966916,"visitWeek 72",0.933823610419269,220,11
"76","Shuttleworthia","visit","Week 72",-0.00719126544942958,0.0102981751780693,0.485730794725195,"visitWeek 72",0.933823610419269,220,2
