"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"1","Neisseria","visit","Week 72",1.31196319840677,1.39243190765043,0.347128114922952,"visitWeek 72",0.947337849874676,220,199
"2","Streptococcus","visit","Week 72",-1.76961318485708,1.55365946953027,0.255954529200792,"visitWeek 72",0.947337849874676,220,216
"3","Haemophilus","visit","Week 72",0.363798523206213,1.02439045850595,0.722830626977868,"visitWeek 72",0.947337849874676,220,215
"4","Prevotella","visit","Week 72",-0.825178605718138,2.22154689823649,0.710668166063607,"visitWeek 72",0.947337849874676,220,78
"5","Moraxella","visit","Week 72",-0.243800910416093,0.50208960761195,0.627757948832532,"visitWeek 72",0.947337849874676,220,96
"6","Fusobacterium","visit","Week 72",1.45509845749041,0.999791712354284,0.146996611823339,"visitWeek 72",0.947337849874676,220,137
"7","Porphyromonas","visit","Week 72",0.509862836532605,0.705998909953898,0.470953821725273,"visitWeek 72",0.947337849874676,220,162
"8","Lautropia","visit","Week 72",0.175463506309805,0.293843239417664,0.55103824305643,"visitWeek 72",0.947337849874676,220,165
"9","Actinobacillus","visit","Week 72",0.765115629341222,0.577722046138836,0.186768183864249,"visitWeek 72",0.947337849874676,220,119
"10","Gemella","visit","Week 72",-0.169141184751011,0.200340092132139,0.399443921687514,"visitWeek 72",0.947337849874676,220,201
"11","Alloprevotella","visit","Week 72",0.805421571653338,0.766810260809182,0.294718747073054,"visitWeek 72",0.947337849874676,220,106
"12","Leptotrichia","visit","Week 72",0.279989857445489,0.780305444836637,0.7200763868558,"visitWeek 72",0.947337849874676,220,42
"13","Rothia","visit","Week 72",-0.584734210340249,0.663208552156766,0.378923810751623,"visitWeek 72",0.947337849874676,220,179
"14","Aggregatibacter","visit","Week 72",0.335490194740219,0.34208360638325,0.327815142031885,"visitWeek 72",0.947337849874676,220,136
"15","ASV_52","visit","Week 72",0.150934121933261,0.278259513778164,0.588081790482123,"visitWeek 72",0.947337849874676,220,64
"16","Actinomyces","visit","Week 72",-0.454032661970087,0.553368842587131,0.412834050452871,"visitWeek 72",0.947337849874676,220,146
"17","ASV_62","visit","Week 72",0.265373706890334,0.267999691864768,0.323173397273266,"visitWeek 72",0.947337849874676,220,83
"18","Campylobacter","visit","Week 72",0.283063395718546,0.340774577518079,0.407081835129377,"visitWeek 72",0.947337849874676,220,140
"19","Bergeyella","visit","Week 72",0.167257327642513,0.26074601564561,0.521899722980196,"visitWeek 72",0.947337849874676,220,59
"20","ASV_77","visit","Week 72",-0.25688941314071,0.257410796701618,0.319398157613542,"visitWeek 72",0.947337849874676,220,84
"21","Dolosigranulum","visit","Week 72",-0.0466982597430655,0.114525192245909,0.683853453905652,"visitWeek 72",0.947337849874676,220,17
"22","Streptobacillus","visit","Week 72",0.2671660779079,0.288921150098195,0.356143177541605,"visitWeek 72",0.947337849874676,220,78
"23","Oribacterium","visit","Week 72",-0.0676944516720923,0.242007392949407,0.779957098759456,"visitWeek 72",0.947337849874676,220,76
"24","ASV_112","visit","Week 72",0.184144427755562,0.174897846221349,0.293566875963781,"visitWeek 72",0.947337849874676,220,16
"25","Stomatobaculum","visit","Week 72",-0.282830471341527,0.293231124454301,0.335848565233497,"visitWeek 72",0.947337849874676,220,87
"26","ASV_120","visit","Week 72",0.308590380772867,0.125061995909541,0.014376167330114,"visitWeek 72",0.947337849874676,220,6
"27","ASV_126","visit","Week 72",-0.0561917524813068,0.0962618022316302,0.559999512245718,"visitWeek 72",0.947337849874676,220,4
"28","Mannheimia","visit","Week 72",0.088034391299022,0.208229055179808,0.672874919283107,"visitWeek 72",0.947337849874676,220,33
"29","Tropheryma","visit","Week 72",0.110105543327528,0.156683095529241,0.482975211647183,"visitWeek 72",0.947337849874676,220,15
"30","Lachnoanaerobaculum","visit","Week 72",-0.0640991561579498,0.259375896547765,0.805041415228669,"visitWeek 72",0.947337849874676,220,100
"31","Solobacterium","visit","Week 72",0.0981310393827085,0.189615817135537,0.605314043171089,"visitWeek 72",0.947337849874676,220,80
"32","Peptostreptococcus","visit","Week 72",-0.312997781887493,0.190770398937624,0.102300847874477,"visitWeek 72",0.947337849874676,220,99
"33","Abiotrophia","visit","Week 72",-0.0491173711170951,0.161380485070294,0.761145829258996,"visitWeek 72",0.947337849874676,220,38
"34","Oceanivirga","visit","Week 72",-0.091170129351436,0.151239535510136,0.547255409918176,"visitWeek 72",0.947337849874676,220,20
"35","Corynebacterium","visit","Week 72",0.398626474212401,0.292294928770187,0.174042804386376,"visitWeek 72",0.947337849874676,220,60
"36","ASV_157","visit","Week 72",0.292694491666874,0.165551486669817,0.0784601917472231,"visitWeek 72",0.947337849874676,220,30
"37","ASV_163","visit","Week 72",0.0719376357318396,0.116520373973539,0.537626812999402,"visitWeek 72",0.947337849874676,220,15
"38","ASV_180","visit","Week 72",-0.108828783302966,0.14968482080239,0.467973577224896,"visitWeek 72",0.947337849874676,220,19
"39","ASV_182","visit","Week 72",-0.186226740284325,0.107458798359312,0.0845087022421924,"visitWeek 72",0.947337849874676,220,9
"40","ASV_187","visit","Week 72",0.198128513612802,0.129948078816455,0.128789714355291,"visitWeek 72",0.947337849874676,220,20
"41","Treponema","visit","Week 72",-0.4050695352658,0.583198156943563,0.488066971376382,"visitWeek 72",0.947337849874676,220,10
"42","Eikenella","visit","Week 72",0.0522009115845074,0.172887181436042,0.762988490847729,"visitWeek 72",0.947337849874676,220,14
