"","OTU","rab.all","rab.win.Week 48","rab.win.Week 72","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Neisseria",13.3032325443037,13.2154296763245,13.423219501891,0.258215627716933,3.24204684711249,0.0619997754383976,0.462907418640573,0.362315940617515,0.941046880965534,0.373777759887609,0.930012824879482,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"2","Haemophilus",13.3485014809489,13.2202151696622,13.4960199109829,0.144099412476095,3.24089293663498,0.0398444600393791,0.480303939277887,0.812403450027965,0.969520494756956,0.624403016195646,0.954584821969795,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"3","Streptococcus",13.0350063678395,13.2247413898184,12.8859660462332,-0.167844912303472,2.3135529819294,-0.0519671626966007,0.468400000105756,0.627866124634093,0.955724540759053,0.411227843385253,0.942315636282505,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"4","Prevotella",11.6005270563936,11.345955768543,11.7792437725479,0.36451384140478,3.83302574583409,0.0697962005938609,0.453200000157379,0.117940950280743,0.905070073837218,0.221647299354247,0.914433289827033,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5","Moraxella",5.53015571967519,4.80654414826018,6.05006814908357,0.212010845492292,8.29952995514742,0.0249633520569854,0.487302539534437,0.751982752536994,0.966190565008817,0.72868319104018,0.968126444133333,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"6","Veillonella",10.475758739115,10.4666492473695,10.4886963317206,0.0124331426586552,3.82672002327435,0.0017491752086941,0.498300339937677,0.700280472789558,0.961979454937126,0.851040122102971,0.976161756020577,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"7","Fusobacterium",10.4668384635924,10.2711771303469,10.6724666523367,0.397129613098488,3.46753911266088,0.0736499936524841,0.445800000182815,0.719564655410737,0.964521226954112,0.194584926898947,0.909807936208445,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"8","Porphyromonas",9.78245556672861,9.69783918642226,9.88719566716249,0.194442630462455,3.89813488673275,0.0371753751692853,0.475800000080856,0.770096662323454,0.967858915462899,0.642755154037603,0.956524158928437,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"9","Lautropia",7.70289132998741,7.86155000840542,7.62183903225916,-0.047201894920863,6.19531864860828,-0.00748724590922746,0.495100979820364,0.429163696382965,0.939772479679227,0.792493665882152,0.973511734257862,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"10","Actinobacillus",8.0640097647029,7.59201068215005,8.42377945142648,0.405579462388835,9.65049984186043,0.0422675972911182,0.470705858926178,0.592731201606123,0.951941908672952,0.456543550588941,0.938712790669861,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
"11","Gemella",8.836045120068,8.87951689553989,8.80968526579965,-0.0912048755591712,2.8181240233989,-0.019932942342648,0.48560000004804,0.642266360912124,0.960767133625528,0.700728035488141,0.967661096600257,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella",NA
"12","Alloprevotella",9.62346270474627,9.40200938631981,9.89018545911599,0.587706863364248,4.9850326290363,0.0922529503754459,0.436712657682813,0.530048111293943,0.952799313764009,0.167816286059194,0.909862000644525,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"13","Leptotrichia",8.59567934011907,8.35934721270492,8.88063464603814,0.414713026590235,6.5069659446207,0.0591299409344002,0.461000000130796,0.474748689953664,0.947555690403135,0.350295549164739,0.928970996748327,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",NA
"14","Rothia",8.99685326456092,9.20818325235199,8.7989184369643,-0.348902876923814,5.58840459011985,-0.0538392300827324,0.463307338655216,0.649704256746281,0.961174888037243,0.380242804120007,0.937361472205243,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"15","Aggregatibacter",7.80643817536448,7.59468027157735,8.03348420965911,0.429941782437886,7.9805895501346,0.0521931684175511,0.462600000125368,0.496006946654275,0.9489926047932,0.322451834182733,0.923671137123121,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"16","Granulicatella",8.87303722090463,8.88574275659315,8.86450944693781,0.00594303228897619,3.13168437619486,0.00116488141005909,0.499200000002666,0.452856703634691,0.947360276203256,0.832801101592703,0.9760046156914,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA
"17","Escherichia/Shigella",0.0954244341389341,0.0533779096231157,0.136943022447029,0.0631010588859082,4.34666408395723,0.0119727007359562,0.492600000024672,0.495941613601015,0.938475266061119,0.498021933907457,0.935683349648889,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",NA
"18","ASV_52",1.51556114741583,1.37125543653334,1.66419408054112,0.231395720275799,7.8122833988918,0.0300244791761124,0.481400000062086,0.569484105228998,0.957707342044847,0.565579173246739,0.954728356264874,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","ASV_52",NA
"19","Actinomyces",7.86339441771744,8.01932914217636,7.73925152163928,-0.0414257137591578,7.3571319257931,-0.00493816813452626,0.495200000016001,0.725334823497247,0.965043485144751,0.838173299102822,0.978567713711929,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"20","ASV_62",2.1824509798692,1.77680318045364,2.72368885602457,0.548002095352418,7.34831548044794,0.0702501550863616,0.465000000117241,0.337557065093711,0.92422801136084,0.349102553576153,0.921196959536718,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASV_62",NA
"21","Campylobacter",6.88025511785565,6.80792778222702,6.94471337933937,0.220295758783795,5.06774157765614,0.041123922843356,0.474000000086902,0.415052576220563,0.941532621603223,0.622343496957432,0.956408011196851,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
