"","Species","beta","se","W","p_val","q_val","diff_abn"
"visitWeek 721","Neisseria",0.15776073392898,0.216760514372742,0.727811217764939,0.466729156651638,0.99410065756894,FALSE
"visitWeek 722","Haemophilus",-0.00194704716898407,0.263335234201137,-0.00739379663678771,0.99410065756894,0.99410065756894,FALSE
"visitWeek 723","Streptococcus",0.0149820218204084,0.176235276213305,0.0850114809152914,0.932252263302548,0.99410065756894,FALSE
"visitWeek 724","Prevotella",0.416350873149682,0.260959094625323,1.59546412340013,0.110608486583696,0.99410065756894,FALSE
"visitWeek 725","Moraxella",-0.135871319799689,0.385603258415565,-0.352360403690522,0.724567993420608,0.99410065756894,FALSE
"visitWeek 726","Veillonella",0.0508545560352903,0.241102307246294,0.210925215175733,0.832945627870688,0.99410065756894,FALSE
"visitWeek 727","Fusobacterium",0.114850370151072,0.248143434878067,0.462838640915516,0.643480031598947,0.99410065756894,FALSE
"visitWeek 728","Porphyromonas",-0.0319558356319822,0.25466633895477,-0.125481191441079,0.900142614397006,0.99410065756894,FALSE
"visitWeek 729","Lautropia",0.096178460594808,0.268614175078037,0.35805430062232,0.720302677619855,0.99410065756894,FALSE
"visitWeek 7210","Actinobacillus",0.229259572386612,0.389391974856135,0.588762961720807,0.55602029513696,0.99410065756894,FALSE
"visitWeek 7211","Gemella",-0.137993079358811,0.188788366296631,-0.730940587419414,0.464815443432255,0.99410065756894,FALSE
"visitWeek 7212","Alloprevotella",0.210894133977202,0.268218036189195,0.786278719259736,0.431704216996669,0.99410065756894,FALSE
"visitWeek 7213","Leptotrichia",0.211315664008543,0.291638918861239,0.72457978116798,0.468709866510845,0.99410065756894,FALSE
"visitWeek 7214","Rothia",-0.22709403214022,0.273343969787316,-0.830799495291293,0.406086907834437,0.99410065756894,FALSE
"visitWeek 7215","Aggregatibacter",0.240453237975199,0.305785200700997,0.786346878213768,0.431664295806088,0.99410065756894,FALSE
"visitWeek 7216","Granulicatella",0.0888002988855824,0.203300267966634,0.436793811310453,0.66226088758926,0.99410065756894,FALSE
"visitWeek 7217","ASV_52",0.121064681436621,0.278997553562338,0.433927394311618,0.664341166049826,0.99410065756894,FALSE
"visitWeek 7218","Actinomyces",0.00203026765418555,0.267607510199645,0.00758673645844579,0.993946718182689,0.99410065756894,FALSE
"visitWeek 7219","ASV_62",0.235504266393695,0.264957957890108,0.888836358300174,0.374091032591526,0.99410065756894,FALSE
"visitWeek 7220","Campylobacter",0.129829504055433,0.213451996341905,0.608237478592018,0.543029980751504,0.99410065756894,FALSE
"visitWeek 7221","Bergeyella",0.0742877092800204,0.236414360264469,0.314226721240271,0.753348849148991,0.99410065756894,FALSE
"visitWeek 7222","ASV_68",-0.077408427610804,0.234345396971709,-0.330317678994775,0.741159936026115,0.99410065756894,FALSE
"visitWeek 7223","ASV_77",-0.28675885363735,0.265340999161367,-1.08071822501489,0.279822473591632,0.99410065756894,FALSE
"visitWeek 7224","Streptobacillus",0.179023214404481,0.258853020955324,0.691601796818046,0.489187432978797,0.99410065756894,FALSE
"visitWeek 7225","Oribacterium",-0.011864537048087,0.220990768484233,-0.0536879306292537,0.95718379889629,0.99410065756894,FALSE
"visitWeek 7226","Stomatobaculum",-0.0447503523959453,0.218959670557955,-0.204377145261098,0.838058788687912,0.99410065756894,FALSE
"visitWeek 7227","Lachnoanaerobaculum",0.0174481707869631,0.217091096775403,0.0803725765180253,0.93594093709686,0.99410065756894,FALSE
"visitWeek 7228","Mannheimia",0.0660449806903055,0.236655774521366,0.279076142654371,0.780186391452698,0.99410065756894,FALSE
"visitWeek 7229","TM7x",0.0050987527850891,0.193191253933272,0.0263922547283129,0.978944471831126,0.99410065756894,FALSE
"visitWeek 7230","Solobacterium",0.0723355966490608,0.180739621601125,0.400219918622483,0.68899454498097,0.99410065756894,FALSE
"visitWeek 7231","Peptostreptococcus",-0.331047177552247,0.204645629094829,-1.61766063128984,0.105735754704285,0.99410065756894,FALSE
"visitWeek 7232","Abiotrophia",-0.0711067817258119,0.191696351289623,-0.370934455702711,0.710686351048669,0.99410065756894,FALSE
"visitWeek 7233","Corynebacterium",0.239820192297238,0.232200582398534,1.03281477513965,0.301690587949251,0.99410065756894,FALSE
"visitWeek 7234","ASV_157",0.262825051170234,0.207720711851753,1.26528090929039,0.205770647556964,0.99410065756894,FALSE
"visitWeek 7235","Treponema",0.0588400039231501,0.241015194422725,0.244134001858607,0.807127039431237,0.99410065756894,FALSE
"visitWeek 7236","ASV_205",0.14397655182347,0.165144755036937,0.871820311769926,0.383306411935613,0.99410065756894,FALSE
"visitWeek 7237","ASV_209",0.0817485683410399,0.159852279866573,0.511400703257248,0.609070502585278,0.99410065756894,FALSE
"visitWeek 7238","F0058",0.114790439783938,0.146177181821749,0.785282889937742,0.432287725354097,0.99410065756894,FALSE
"visitWeek 7239","Conchiformibius",-0.00625075664026714,0.190255557492454,-0.032854528522853,0.973790594183627,0.99410065756894,FALSE
"visitWeek 7240","Catonella",-0.250904063468707,0.199672378292291,-1.25657872968999,0.208906220853375,0.99410065756894,FALSE
"visitWeek 7241","Candidatus_Saccharimonas",-0.0935970514868199,0.140802961568982,-0.664737804119019,0.506218209596053,0.99410065756894,FALSE
"visitWeek 7242","Mogibacterium",-0.073904224838499,0.158245822728244,-0.467021647487117,0.64048439033582,0.99410065756894,FALSE
"visitWeek 7243","Atopobium",-0.160193775405525,0.176059260245998,-0.909885541843664,0.362882875421454,0.99410065756894,FALSE
"visitWeek 7244","Selenomonas",-0.051017968831096,0.174449667300338,-0.292450937973197,0.769941866710185,0.99410065756894,FALSE
"visitWeek 7245","Cardiobacterium",-0.177765927207041,0.144018715197821,-1.23432518449331,0.217081755061614,0.99410065756894,FALSE
"visitWeek 7246","Capnocytophaga",0.0263171009017076,0.175484873230431,0.149967916990488,0.880789927488669,0.99410065756894,FALSE
"visitWeek 7247","Butyrivibrio",-0.0501903983846183,0.159894117690649,-0.313897716248216,0.753598724957567,0.99410065756894,FALSE
"visitWeek 7248","Mycoplasma",0.00839425588411043,0.180280343669038,0.0465622358670491,0.962862130778703,0.99410065756894,FALSE
"visitWeek 7249","Tannerella",0.0785724304425894,0.160850034606289,0.488482521218664,0.625208103272903,0.99410065756894,FALSE
"visitWeek 7250","Filifactor",-0.0321111752057303,0.16645112861373,-0.192916536362142,0.847024334155473,0.99410065756894,FALSE
"visitWeek 7251","Peptococcus",-0.221847738327453,0.150486376248568,-1.47420480084531,0.140426457654728,0.99410065756894,FALSE
