"","x"
"Neisseria",0.999773382986258
"Haemophilus",0.999773382986258
"Streptococcus",0.999773382986258
"Prevotella",0.999773382986258
"Moraxella",0.999773382986258
"Veillonella",0.999773382986258
"Fusobacterium",0.999773382986258
"Porphyromonas",0.999773382986258
"Lautropia",0.999773382986258
"Actinobacillus",0.999773382986258
"Gemella",0.999773382986258
"Alloprevotella",0.999773382986258
"Leptotrichia",0.999773382986258
"Rothia",0.999773382986258
"Aggregatibacter",0.999773382986258
"Granulicatella",0.999773382986258
"Escherichia/Shigella",0.999773382986258
"ASV_52",0.999773382986258
"Actinomyces",0.999773382986258
"ASV_62",0.999773382986258
"Campylobacter",0.999773382986258
"Bergeyella",0.999773382986258
"ASV_68",0.999773382986258
"ASV_77",0.999773382986258
"Dolosigranulum",0.999773382986258
"Streptobacillus",0.999773382986258
"Oribacterium",0.999773382986258
"ASV_112",0.999773382986258
"Stomatobaculum",0.999773382986258
"Lachnoanaerobaculum",0.999773382986258
"ASV_120",NA
"ASV_126",0.999773382986258
"Mannheimia",0.999773382986258
"TM7x",0.999773382986258
"Tropheryma",0.999773382986258
"Solobacterium",0.999773382986258
"Peptostreptococcus",0.999773382986258
"Abiotrophia",0.999773382986258
"Oceanivirga",0.999773382986258
"Corynebacterium",0.999773382986258
"ASV_157",0.999773382986258
"ASV_163",0.999773382986258
"ASV_180",0.999773382986258
"ASV_182",0.999773382986258
"ASV_187",0.999773382986258
"Treponema",0.999773382986258
"Eikenella",0.999773382986258
"ASV_203",0.999773382986258
"ASV_205",0.999773382986258
"ASV_209",0.999773382986258
"F0058",0.999773382986258
"ASV_214",0.999773382986258
"ASV_216",0.999773382986258
"Conchiformibius",0.999773382986258
"Hydrogenophaga",0.999773382986258
"Catonella",0.999773382986258
"Candidatus_Saccharimonas",0.999773382986258
"ASV_239",0.999773382986258
"ASV_242",0.999773382986258
"Mogibacterium",0.999773382986258
"Atopobium",0.999773382986258
"Selenomonas",0.999773382986258
"ASV_260",0.999773382986258
"Parvimonas",0.999773382986258
"Cardiobacterium",0.999773382986258
"ASV_280",0.999773382986258
"ASV_283",0.999773382986258
"Comamonas",0.999773382986258
"Capnocytophaga",0.999773382986258
"ASV_286",0.999773382986258
"Butyrivibrio",0.999773382986258
"ASV_307",0.999773382986258
"Mycoplasma",0.999773382986258
"Tannerella",0.999773382986258
"ASV_329",0.999773382986258
"ASV_331",0.999773382986258
"Filifactor",0.999773382986258
"Dialister",0.999773382986258
"ASV_339",0.999773382986258
"Peptococcus",0.999773382986258
"Hyphomicrobium",NA
"ASV_383",0.999773382986258
"ASV_409",0.999773382986258
"F0332",0.999773382986258
"ASV_422",0.999773382986258
"ASV_428",NA
"Peptoanaerobacter",0.999773382986258
"Delftia",0.999773382986258
"Sphingopyxis",NA
"Kingella",0.999773382986258
"Lentimicrobium",0.999773382986258
"ASV_461",0.999773382986258
"ASV_472",0.999773382986258
"ASV_485",0.999773382986258
"Amnipila",0.999773382986258
"Bulleidia",0.999773382986258
"ASV_508",0.999773382986258
"Rikenellaceae_RC9_gut_group",0.999773382986258
"ASV_525",0.999773382986258
"Sneathia",0.999773382986258
"ASV_533",NA
"ASV_540",0.999773382986258
"Centipeda",0.999773382986258
"ASV_561",0.999773382986258
"Lactobacillus",0.999773382986258
"ASV_572",NA
"Staphylococcus",0.999773382986258
"ASV_586",NA
"Defluviitaleaceae_UCG-011",0.999773382986258
"ASV_591",0.999773382986258
"ASV_639",0.999773382986258
"ASV_644",0.999773382986258
"ASV_682",0.999773382986258
"Shuttleworthia",0.999773382986258
"Family_XIII_UCG-001",0.999773382986258
"ASV_709",0.999773382986258
"Fretibacterium",0.999773382986258
"Alysiella",0.999773382986258
"Anaeroglobus",0.999773382986258
"ASV_821",NA
"ASV_854",0.999773382986258
"ASV_897",0.999773382986258
"Olsenella",NA
"Scardovia",0.999773382986258
"ASV_934",0.999773382986258
"Prevotellaceae_YAB2003_group",NA
"ASV_976",0.999773382986258
"Mobiluncus",0.999773382986258
"ASV_1004",0.999773382986258
"Desulfomicrobium",0.999773382986258
"ASV_1095",0.999773382986258
"Johnsonella",0.999773382986258
"ASV_1202",NA
"ASV_1258",0.999773382986258
"ASV_1343",NA
"ASV_1456",NA
"ASV_1483",NA
"ASV_1494",0.999773382986258
"Desulfobulbus",0.999773382986258
"ASV_1604",0.999773382986258
"ASV_1770",0.999773382986258
