"","ASVs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","Neisseria",2927.90855930914,7.97688708591195e-05,0.00144377034660738,0.165469813387047,0.997890980182643
"2","Haemophilus",9107.64744720928,-1.62956286372787e-05,0.00144272619987277,0.538988621663685,0.997890980182643
"3","Streptococcus",2405.43068275044,1.22944037328988e-05,0.00144268132514936,0.684932447525215,0.997890980182643
"4","Prevotella",847.128728333509,3.18722165571801e-06,0.00144267154686392,0.47201895528274,0.997890980182643
"5","Moraxella",242.263073222665,-9.05138873696954e-06,0.00144270849171904,9.53996638791036e-07,0.000130697539514372
"6","Veillonella",367.195965296948,3.76346901043697e-05,0.00144291421041016,0.810913087607196,0.997890980182643
"7","Fusobacterium",484.945223623943,6.29154058748572e-06,0.00144267974204617,0.130042528756942,0.997890980182643
"8","Porphyromonas",393.125798033039,4.83835516433062e-06,0.0014426798229416,0.199946405292416,0.997890980182643
"9","Lautropia",77.1238573498015,-2.97176505704131e-06,0.00144268289012681,0.343769870294993,0.997890980182643
"10","Actinobacillus",306.021649815747,3.34728667740328e-06,0.00144269216974733,0.106100964817342,0.997890980182643
"11","Gemella",131.730284212555,-5.90780221308237e-06,0.00144266780899626,0.352447704974431,0.997890980182643
"12","Alloprevotella",268.630600113462,6.89336299859546e-06,0.0014426856185536,0.0431010171246622,0.997890980182643
"13","Leptotrichia",180.929588302701,-1.23813054771196e-06,0.00144268203738033,0.687357887347107,0.997890980182643
"14","Rothia",194.671399582936,-2.74961000052491e-06,0.00144268061765674,0.413839112624771,0.997890980182643
"15","Aggregatibacter",79.7221280906518,1.51588346763256e-05,0.00144272640753902,0.406733417728222,0.997890980182643
"16","Granulicatella",136.233309046093,-3.55697175389793e-06,0.00144266644078681,0.434670312507547,0.997890980182643
"17","Escherichia/Shigella",0.0133194928469404,-2.86350018081904e-07,0.00144269498548007,0.956840480793879,0.997890980182643
"18","ASV_52",24.5404944221838,5.30404391670244e-08,0.00144269250554582,0.971337915674826,0.997890980182643
"19","Actinomyces",67.5116492239354,-3.30203773530504e-07,0.00144268282703795,0.909744073942582,0.997890980182643
"20","ASV_62",20.6578899942063,1.93136172496804e-08,0.0014426911311876,0.993070609743668,0.997890980182643
"21","Campylobacter",34.2037942337882,-1.44271363496191e-05,0.00144271072029649,0.776584319321123,0.997890980182643
"22","Bergeyella",11.6095049781791,6.00368278807505e-08,0.00144269104743212,0.596522878923018,0.997890980182643
"23","ASV_68",5.58082150439288,1.7899656030396e-07,0.00144269455330173,0.883646236074051,0.997890980182643
