"","taxon","stat","p","p.adj"
"1","Neisseria",5771.5,0.555922657436124,1
"2","Haemophilus",6045.5,0.993239220385753,1
"3","Streptococcus",6772,0.126412180923696,0.892506641177026
"4","Prevotella",5630,0.374057418266698,1
"5","Moraxella",5947,0.820859374728283,1
"6","Veillonella",6123,0.877879000040968,1
"7","Fusobacterium",5659,0.407906917613813,1
"8","Porphyromonas",5887,0.730557090901897,1
"9","Lautropia",6153,0.826767775980652,1
"10","Actinobacillus",5814,0.602882893278973,1
"11","Gemella",6345,0.532587907410951,1
"12","Alloprevotella",5547,0.2863689428059,1
"13","Leptotrichia",5705,0.463044936214061,1
"14","Rothia",6618,0.227785757080346,1
"15","Aggregatibacter",5705,0.452667087924152,1
"16","Granulicatella",6307,0.586693899862121,1
"17","Escherichia/Shigella",6050.5,1,1
"18","ASV_52",5886,0.665906298995099,1
"19","Actinomyces",6068,0.96996131934147,1
"20","ASV_62",5565,0.238616565803825,1
"21","Campylobacter",5861,0.687814605377871,1
"22","Bergeyella",5841,0.609518093199158,1
"23","ASV_68",6116.5,0.796137669210103,1
"24","ASV_77",6557,0.219551579203664,1
"25","Dolosigranulum",6108,0.792488626280838,1
"26","Streptobacillus",5869,0.654739844169043,1
"27","Oribacterium",6047,0.995197167022874,1
"28","ASV_112",5819,0.278126798781407,1
"29","Stomatobaculum",6021,0.945806533398892,1
"30","Lachnoanaerobaculum",6019,0.943723034426625,1
"31","ASV_120",5720,0.0133654918392821,0.892506641177026
"32","ASV_126",6050,1,1
"33","Mannheimia",5974,0.796817776202763,1
"34","TM7x",6003.5,0.904309360363667,1
"35","Tropheryma",5894,0.450915264070368,1
"36","Solobacterium",5781.5,0.509935282353201,1
"37","Peptostreptococcus",6632,0.177284947694182,0.961429908649216
"38","Abiotrophia",6136,0.783329736013122,1
"39","Oceanivirga",6257,0.380383041615482,1
"40","Corynebacterium",5633.5,0.302711259436512,1
"41","ASV_157",5594.5,0.106141950860246,0.892506641177026
"42","ASV_163",5985,0.754503434443422,1
"43","ASV_180",6198,0.521302039965239,1
"44","ASV_182",6326,0.0890243003420885,0.892506641177026
"45","ASV_187",5624,0.0706874383229137,0.892506641177026
"46","Treponema",5804.5,0.543860531098393,1
"47","Eikenella",5938,0.576676617006652,1
"48","ASV_203",6053,0.986971048663595,1
"49","ASV_205",5758.5,0.368736962854228,1
"50","ASV_209",5779,0.356293709521571,1
"51","F0058",5665,0.139367994804758,0.892506641177026
"52","ASV_214",6216,0.306982184560435,1
"53","ASV_216",5936.5,0.594946342174615,1
"54","Conchiformibius",6068,0.946362025524373,1
"55","Hydrogenophaga",5991,0.683589343180018,1
"56","Catonella",6502.5,0.227531033126709,1
"57","Candidatus_Saccharimonas",6138,0.76540576910879,1
"58","ASV_239",6154.5,0.5756057996656,1
"59","ASV_242",6160,0.411006494344193,1
"60","Mogibacterium",5997,0.8659155242869,1
"61","Atopobium",6307,0.404271664134048,1
"62","Selenomonas",6223,0.600910011560543,1
"63","ASV_260",6050,1,1
"64","Parvimonas",5966,0.728618966965767,1
"65","Cardiobacterium",6351,0.23062714253885,1
"66","ASV_280",5936.5,0.543014873255406,1
"67","ASV_283",5995,0.704166613892887,1
"68","Comamonas",6198,0.521302039965239,1
"69","Capnocytophaga",6146,0.784384968531487,1
"70","ASV_286",6160.5,0.313998438147494,1
"71","Butyrivibrio",6060.5,0.971671763353435,1
"72","ASV_307",6334,0.217696472108126,1
"73","Mycoplasma",5904,0.619767842870484,1
"74","Tannerella",5909.5,0.645237813222636,1
"75","ASV_329",6050,1,1
"76","ASV_331",6219,0.344582051702394,1
"77","Filifactor",6049,0.998438390551536,1
"78","Dialister",5946,0.644599484578369,1
"79","ASV_339",6049.5,1,1
"80","Peptococcus",6526.5,0.125795013338175,0.892506641177026
