"","taxon","stat","p","p.adj"
"1","Neisseria",5718,0.48252973578231,0.984391010208097
"2","Streptococcus",6520,0.319943168456187,0.984391010208097
"3","Haemophilus",5870,0.703761776354065,0.984391010208097
"4","Prevotella",6097,0.921531936042275,0.984391010208097
"5","Moraxella",5823,0.631361941958761,0.984391010208097
"6","Veillonella",6120,0.882953079218404,0.984391010208097
"7","Fusobacterium",5466,0.216432973068451,0.984391010208097
"8","Porphyromonas",5727,0.494496710694562,0.984391010208097
"9","Lautropia",6142,0.846308332085375,0.984391010208097
"10","Actinobacillus",5716,0.479891943677271,0.984391010208097
"11","Gemella",6322,0.56519835315344,0.984391010208097
"12","Alloprevotella",5661,0.410515548827069,0.984391010208097
"13","Leptotrichia",5857,0.683430638863361,0.984391010208097
"14","Rothia",6535,0.304726530429209,0.984391010208097
"15","Aggregatibacter",5657,0.40571370665536,0.984391010208097
"16","Granulicatella",6104,0.909766721464185,0.984391010208097
"17","Escherichia/Shigella",6198,0.754691289595235,0.984391010208097
"18","ASV_52",5947,0.828104761942693,0.984391010208097
"19","Actinomyces",6161,0.814922968461498,0.984391010208097
"20","ASV_62",5633,0.377614017043335,0.984391010208097
"21","Campylobacter",5651,0.398574185162978,0.984391010208097
"22","Bergeyella",5770,0.553794077564962,0.984391010208097
"23","ASV_68",6513,0.327211470002508,0.984391010208097
"24","ASV_77",6790,0.117223525282874,0.984391010208097
"25","Dolosigranulum",6262,0.654127765404931,0.984391010208097
"26","Streptobacillus",5907,0.762752909066585,0.984391010208097
"27","Oribacterium",6128,0.869594429080445,0.984391010208097
"28","ASV_112",6019,0.948484297516333,0.984391010208097
"29","Stomatobaculum",6235,0.695916060438549,0.984391010208097
"30","ASV_120",5839,0.655657297072646,0.984391010208097
"31","ASV_126",6254,0.666404182984928,0.984391010208097
"32","Mannheimia",6031,0.968739031112348,0.984391010208097
"33","TM7x",6238,0.691224140907369,0.984391010208097
"34","Tropheryma",6165,0.808351418830852,0.984391010208097
"35","Lachnoanaerobaculum",6149,0.834714107550652,0.984391010208097
"36","Solobacterium",5953,0.838023194790504,0.984391010208097
"37","Peptostreptococcus",6955,0.0553567471799662,0.984391010208097
"38","Abiotrophia",6410,0.446326246314607,0.984391010208097
"39","Oceanivirga",6427,0.425122228532532,0.984391010208097
"40","Corynebacterium",5652,0.399758823123127,0.984391010208097
"41","ASV_157",5675,0.42758585331878,0.984391010208097
"42","ASV_163",6129,0.867927130992438,0.984391010208097
"43","ASV_180",6591,0.252217880668956,0.984391010208097
"44","ASV_182",6673,0.187274351478719,0.984391010208097
"45","ASV_187",5625,0.368520561768329,0.984391010208097
"46","Treponema",6331,0.552376505263504,0.984391010208097
"47","Eikenella",6045,0.992394149252902,0.992394149252902
"48","ASV_203",6268,0.64498123727101,0.984391010208097
"49","ASV_205",5835,0.649547898256236,0.984391010208097
"50","ASV_209",5754,0.531329167228274,0.984391010208097
"51","F0058",5769,0.552376505263504,0.984391010208097
"52","ASV_214",6247,0.677219986402598,0.984391010208097
"53","ASV_216",5858,0.684986675455589,0.984391010208097
"54","Conchiformibius",6134,0.859599594313215,0.984391010208097
"55","Hydrogenophaga",6225,0.711639154494435,0.984391010208097
"56","Catonella",6997,0.0449590778223236,0.984391010208097
"57","Candidatus_Saccharimonas",6400,0.459075342847724,0.984391010208097
"58","ASV_239",6261,0.655657297072646,0.984391010208097
"59","ASV_242",6401,0.457791321771705,0.984391010208097
"60","Mogibacterium",6302,0.594192778978582,0.984391010208097
"61","Selenomonas",6396,0.464231554972664,0.984391010208097
"62","ASV_260",6235,0.695916060438549,0.984391010208097
"63","Cardiobacterium",6752,0.137269467044396,0.984391010208097
"64","ASV_280",6108,0.903052447865269,0.984391010208097
"65","ASV_283",6153,0.828104761942693,0.984391010208097
"66","Comamonas",6269,0.643461976892088,0.984391010208097
"67","Capnocytophaga",6183,0.778952770711898,0.984391010208097
"68","ASV_286",6451,0.396211260417217,0.984391010208097
"69","Atopobium",6733,0.148236821462159,0.984391010208097
"70","Butyrivibrio",6282,0.623849011390394,0.984391010208097
"71","Kingella",6077,0.955232825689689,0.984391010208097
"72","ASV_307",6600,0.244406071155612,0.984391010208097
"73","Mycoplasma",6307,0.586880663423763,0.984391010208097
"74","Tannerella",6080,0.950171102129,0.984391010208097
"75","Parvimonas",6296,0.603021885310039,0.984391010208097
"76","ASV_329",6217,0.724306917577395,0.984391010208097
"77","ASV_331",6578,0.263806183570414,0.984391010208097
"78","Filifactor",6253,0.667945123372787,0.984391010208097
"79","Dialister",6184,0.777328326478045,0.984391010208097
"80","ASV_339",6281,0.625348504142549,0.984391010208097
"81","Peptococcus",6766,0.12959682700714,0.984391010208097
"82","Hyphomicrobium",6068,0.9704280171555,0.984391010208097
"83","ASV_383",5968,0.862928789193129,0.984391010208097
"84","ASV_409",6377,0.48915854895876,0.984391010208097
"85","F0332",6406,0.451401537572816,0.984391010208097
"86","ASV_422",6274,0.635888115564471,0.984391010208097
"87","ASV_428",6026,0.960296355364394,0.984391010208097
"88","Peptoanaerobacter",6632,0.218011806459878,0.984391010208097
"89","Delftia",6165,0.808351418830852,0.984391010208097
"90","Sphingopyxis",5908,0.764368357327603,0.984391010208097
"91","Lactobacillus",6331,0.552376505263504,0.984391010208097
"92","Lentimicrobium",6216,0.725895793371132,0.984391010208097
"93","ASV_461",6393,0.4681197737685,0.984391010208097
"94","ASV_472",6133,0.861263883621309,0.984391010208097
"95","ASV_485",6095,0.924896696788959,0.984391010208097
"96","Amnipila",6586,0.256632211054649,0.984391010208097
"97","Bulleidia",6130,0.866260420136625,0.984391010208097
"98","ASV_508",6351,0.524404866598997,0.984391010208097
"99","Rikenellaceae_RC9_gut_group",6283,0.622351075583132,0.984391010208097
"100","ASV_525",6274,0.635888115564471,0.984391010208097
"101","Sneathia",6236,0.694350782844498,0.984391010208097
"102","ASV_533",6200,0.751474054246759,0.984391010208097
"103","ASV_540",5956,0.842992183820956,0.984391010208097
"104","Centipeda",6401,0.457791321771705,0.984391010208097
"105","ASV_561",6371,0.497177426163201,0.984391010208097
"106","ASV_572",6143,0.844649913825876,0.984391010208097
"107","Staphylococcus",6361,0.510696306988192,0.984391010208097
"108","ASV_586",6138,0.852948744344739,0.984391010208097
"109","Defluviitaleaceae_UCG-011",6460,0.385683182777417,0.984391010208097
"110","ASV_591",6254,0.666404182984928,0.984391010208097
"111","Johnsonella",6455,0.391510857298066,0.984391010208097
"112","ASV_639",6095,0.924896696788959,0.984391010208097
"113","ASV_644",6287,0.616375003480359,0.984391010208097
"114","ASV_682",6339,0.541100465160535,0.984391010208097
"115","Shuttleworthia",6253,0.667945123372787,0.984391010208097
"116","Family_XIII_UCG-001",6648,0.205611186693213,0.984391010208097
"117","ASV_709",6205,0.74344995226721,0.984391010208097
"118","Fretibacterium",6173,0.795249238841552,0.984391010208097
"119","Alysiella",6162,0.813278840434337,0.984391010208097
"120","Anaeroglobus",6558,0.282342165469389,0.984391010208097
"121","ASV_821",6073,0.961984564707217,0.984391010208097
"122","ASV_854",6152,0.829755977020409,0.984391010208097
"123","ASV_897",6244,0.681875945860046,0.984391010208097
"124","Olsenella",6130,0.866260420136625,0.984391010208097
"125","Scardovia",6394,0.466821700550365,0.984391010208097
"126","ASV_934",6056,0.990704029723175,0.992394149252902
"127","Prevotellaceae_YAB2003_group",6593,0.250467056150916,0.984391010208097
"128","ASV_976",6342,0.536901795304878,0.984391010208097
"129","Mobiluncus",6284,0.62085470181914,0.984391010208097
"130","ASV_1004",6089,0.934998803970505,0.984391010208097
"131","Desulfomicrobium",6372,0.49583610154333,0.984391010208097
"132","ASV_1095",6280,0.626849548721938,0.984391010208097
"133","ASV_1202",6463,0.382212151761582,0.984391010208097
"134","ASV_1258",6408,0.448859820864049,0.984391010208097
"135","ASV_1343",6410,0.446326246314607,0.984391010208097
"136","ASV_1456",6404,0.453951376837533,0.984391010208097
"137","ASV_1483",6108,0.903052447865269,0.984391010208097
"138","ASV_1494",6267,0.646501981215934,0.984391010208097
"139","Desulfobulbus",6258,0.660254543036208,0.984391010208097
"140","ASV_1604",6292,0.608940550669881,0.984391010208097
"141","ASV_1770",6281,0.625348504142549,0.984391010208097
