"","taxon","stat","p","p.adj"
"1","Neisseria",5583.5,0.323563883669364,1
"2","Haemophilus",5799,0.595660082777443,1
"3","Streptococcus",6599,0.245265565052712,1
"4","Prevotella",5511,0.253973606715654,1
"5","Moraxella",5779.5,0.567322405499419,1
"6","Veillonella",6043.5,0.989858853699405,1
"7","Fusobacterium",5515,0.257517721375961,1
"8","Porphyromonas",5880,0.719545392019933,1
"9","Lautropia",6165.5,0.807527086815619,1
"10","Actinobacillus",5727,0.494470196676831,1
"11","Gemella",6215.5,0.726689122011501,1
"12","Alloprevotella",5401,0.169509053935293,1
"13","Leptotrichia",5756,0.534101097051882,1
"14","Rothia",6493.5,0.348009650102562,1
"15","Aggregatibacter",5660,0.409281710091049,1
"16","Granulicatella",6179,0.785458667824067,1
"17","Escherichia/Shigella",6176.5,0.789440403422845,1
"18","ASV_52",5867,0.698998626923966,1
"19","Actinomyces",6046,0.994083974543451,1
"20","ASV_62",5613,0.355068019455969,1
"21","Campylobacter",5885,0.727476560094721,1
"22","Bergeyella",5741,0.51335554084485,1
"23","ASV_68",6560,0.280293629504401,1
"24","ASV_77",6706.5,0.164582164115373,1
"25","Dolosigranulum",6213,0.730574907136661,1
"26","Streptobacillus",5892.5,0.73941090370679,1
"27","Oribacterium",6046,0.994083547748342,1
"28","ASV_112",6060,0.983937971073274,1
"29","Stomatobaculum",6228,0.706869346548486,1
"30","Lachnoanaerobaculum",6026,0.96029167128072,1
"31","ASV_120",5796.5,0.591832912512368,1
"32","ASV_126",6240,0.687973377630547,1
"33","Mannheimia",6050,1,1
"34","TM7x",6310,0.582442719554187,1
"35","Tropheryma",6136,0.856217907701872,1
"36","Solobacterium",5859,0.686498882560916,1
"37","Peptostreptococcus",6978,0.0494144118616881,1
"38","Abiotrophia",6440,0.409178599118787,1
"39","Oceanivirga",6420.5,0.432984271438463,1
"40","Corynebacterium",5513,0.255675157592567,1
"41","ASV_157",5565,0.304583692952577,1
"42","ASV_163",6125,0.874550550176748,1
"43","ASV_180",6610,0.235779450239677,1
"44","ASV_182",6628.5,0.220603126544002,1
"45","ASV_187",5584,0.323899893926542,1
"46","Treponema",6124.5,0.875414401671541,1
"47","Eikenella",6047.5,0.996618263787712,1
"48","ASV_203",6218,0.722607785676936,1
"49","ASV_205",5843,0.661687006084926,1
"50","ASV_209",5705,0.465365032654,1
"51","F0058",5784.5,0.574404414989109,1
"52","ASV_214",6217,0.724196206201076,1
"53","ASV_216",5899.5,0.750573921145014,1
"54","Conchiformibius",6053,0.995773018013189,1
"55","Hydrogenophaga",6202.5,0.747349646854732,1
"56","Catonella",7033.5,0.0372717998599678,1
"57","Candidatus_Saccharimonas",6417,0.437370450681005,1
"58","ASV_239",6222.5,0.715475051212074,1
"59","ASV_242",6411,0.444866444659347,1
"60","Mogibacterium",6239.5,0.688801413214708,1
"61","Atopobium",6732.5,0.148429894823693,1
"62","Selenomonas",6459,0.386723220237058,1
"63","ASV_260",6186.5,0.773174062355169,1
"64","Parvimonas",6298.5,0.599197575698586,1
"65","Cardiobacterium",6754.5,0.135731651459101,1
"66","ASV_280",6063,0.978866175742534,1
"67","ASV_283",6145.5,0.840439687029363,1
