taxa_id,x,y,zero_ind,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,-0.254428117,18,No,FALSE,FALSE,FALSE,FALSE
Haemophilus,0.556196449,31,No,FALSE,FALSE,FALSE,TRUE
Streptococcus,-0.357907645,27,No,FALSE,FALSE,FALSE,FALSE
Prevotella,-0.290107391,21,No,FALSE,FALSE,FALSE,FALSE
Moraxella,0.30747739,47,No,TRUE,TRUE,TRUE,TRUE
Veillonella,-0.546982179,45,No,FALSE,TRUE,TRUE,TRUE
Fusobacterium,0.325600832,26,No,FALSE,FALSE,FALSE,FALSE
Porphyromonas,-0.201619792,12,No,FALSE,FALSE,FALSE,FALSE
Lautropia,-0.536075691,49,No,TRUE,TRUE,TRUE,TRUE
Actinobacillus,-0.013890584,23,No,FALSE,FALSE,FALSE,FALSE
Gemella,-0.246596398,26,No,FALSE,FALSE,FALSE,FALSE
Alloprevotella,0.056641843,7,No,FALSE,FALSE,FALSE,FALSE
Leptotrichia,0.316209933,8,No,FALSE,FALSE,FALSE,FALSE
Rothia,-0.379680245,42,No,FALSE,TRUE,TRUE,TRUE
Aggregatibacter,0.086263611,47,No,TRUE,TRUE,TRUE,TRUE
Granulicatella,-0.269880859,29,No,FALSE,FALSE,FALSE,FALSE
ASV_52,0.096887339,11,No,FALSE,FALSE,FALSE,FALSE
Actinomyces,-0.046753053,33,No,FALSE,FALSE,FALSE,TRUE
ASV_62,-0.118259054,42,No,FALSE,TRUE,TRUE,TRUE
Campylobacter,0.187959175,11,No,FALSE,FALSE,FALSE,FALSE
Bergeyella,0.003762394,11,No,FALSE,FALSE,FALSE,FALSE
ASV_68,-3.93E-04,15,No,FALSE,FALSE,FALSE,FALSE
ASV_77,0.094323589,11,No,FALSE,FALSE,FALSE,FALSE
Corynebacterium,-0.209959487,9,No,FALSE,FALSE,FALSE,FALSE
Streptobacillus,-0.37377818,43,No,FALSE,TRUE,TRUE,TRUE
Oribacterium,0.203373402,35,No,FALSE,FALSE,FALSE,TRUE
Stomatobaculum,-0.041599347,17,No,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,0.345388092,17,No,FALSE,FALSE,FALSE,FALSE
Mannheimia,-0.033394491,19,No,FALSE,FALSE,FALSE,FALSE
TM7x,0.042151381,13,No,FALSE,FALSE,FALSE,FALSE
Solobacterium,0.129332981,22,No,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,0.166398182,19,No,FALSE,FALSE,FALSE,FALSE
Abiotrophia,0.060127887,15,No,FALSE,FALSE,FALSE,FALSE
ASV_180,0.034266149,14,No,FALSE,FALSE,FALSE,FALSE
Treponema,-0.405634816,46,No,TRUE,TRUE,TRUE,TRUE
ASV_205,-0.269034045,39,No,FALSE,FALSE,TRUE,TRUE
F0058,0.449130352,28,No,FALSE,FALSE,FALSE,FALSE
Conchiformibius,-0.013859346,15,No,FALSE,FALSE,FALSE,FALSE
Catonella,0.060258817,19,No,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,0.33047815,22,No,FALSE,FALSE,FALSE,FALSE
Mogibacterium,0.195339232,15,No,FALSE,FALSE,FALSE,FALSE
Atopobium,0.395121281,20,No,FALSE,FALSE,FALSE,FALSE
Selenomonas,-0.098130551,27,No,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,0.1939561,16,No,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,0.157802125,21,No,FALSE,FALSE,FALSE,FALSE
Kingella,0.080711691,17,No,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,-0.073825767,24,No,FALSE,FALSE,FALSE,FALSE
Mycoplasma,0.006938786,19,No,FALSE,FALSE,FALSE,FALSE
Tannerella,0.022127119,15,No,FALSE,FALSE,FALSE,FALSE
Parvimonas,0.023832735,22,No,FALSE,FALSE,FALSE,FALSE
ASV_331,0.136165138,18,No,FALSE,FALSE,FALSE,FALSE
Peptococcus,-0.282431653,33,No,FALSE,FALSE,FALSE,TRUE
