"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Haemophilus",32,FALSE,FALSE,FALSE,TRUE
"2","Moraxella",47,TRUE,TRUE,TRUE,TRUE
"3","Veillonella",35,FALSE,FALSE,FALSE,TRUE
"4","Lautropia",50,TRUE,TRUE,TRUE,TRUE
"5","Rothia",46,FALSE,TRUE,TRUE,TRUE
"6","Aggregatibacter",51,TRUE,TRUE,TRUE,TRUE
"7","ASV_62",46,FALSE,TRUE,TRUE,TRUE
"8","Streptobacillus",42,FALSE,TRUE,TRUE,TRUE
"9","Oribacterium",36,FALSE,FALSE,FALSE,TRUE
"10","ASV_157",36,FALSE,FALSE,FALSE,TRUE
"11","Treponema",46,FALSE,TRUE,TRUE,TRUE
"12","ASV_205",39,FALSE,FALSE,TRUE,TRUE
"13","ASV_209",41,FALSE,FALSE,TRUE,TRUE
"14","F0058",41,FALSE,FALSE,TRUE,TRUE
"15","Peptococcus",33,FALSE,FALSE,FALSE,TRUE
