taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Neisseria,16,FALSE,FALSE,FALSE,FALSE
Streptococcus,22,FALSE,FALSE,FALSE,FALSE
Haemophilus,32,FALSE,FALSE,FALSE,TRUE
Prevotella,18,FALSE,FALSE,FALSE,FALSE
Moraxella,47,TRUE,TRUE,TRUE,TRUE
Veillonella,35,FALSE,FALSE,FALSE,TRUE
Fusobacterium,26,FALSE,FALSE,FALSE,FALSE
Porphyromonas,13,FALSE,FALSE,FALSE,FALSE
Lautropia,50,TRUE,TRUE,TRUE,TRUE
Actinobacillus,26,FALSE,FALSE,FALSE,FALSE
Gemella,21,FALSE,FALSE,FALSE,FALSE
Alloprevotella,29,FALSE,FALSE,FALSE,FALSE
Leptotrichia,12,FALSE,FALSE,FALSE,FALSE
Rothia,46,FALSE,TRUE,TRUE,TRUE
Aggregatibacter,51,TRUE,TRUE,TRUE,TRUE
Granulicatella,19,FALSE,FALSE,FALSE,FALSE
ASV_52,9,FALSE,FALSE,FALSE,FALSE
Actinomyces,30,FALSE,FALSE,FALSE,FALSE
ASV_62,46,FALSE,TRUE,TRUE,TRUE
Campylobacter,15,FALSE,FALSE,FALSE,FALSE
Bergeyella,12,FALSE,FALSE,FALSE,FALSE
ASV_68,11,FALSE,FALSE,FALSE,FALSE
ASV_77,18,FALSE,FALSE,FALSE,FALSE
Corynebacterium,10,FALSE,FALSE,FALSE,FALSE
Streptobacillus,42,FALSE,TRUE,TRUE,TRUE
Oribacterium,36,FALSE,FALSE,FALSE,TRUE
Stomatobaculum,27,FALSE,FALSE,FALSE,FALSE
Lachnoanaerobaculum,13,FALSE,FALSE,FALSE,FALSE
Mannheimia,22,FALSE,FALSE,FALSE,FALSE
TM7x,18,FALSE,FALSE,FALSE,FALSE
Solobacterium,23,FALSE,FALSE,FALSE,FALSE
Peptostreptococcus,20,FALSE,FALSE,FALSE,FALSE
Abiotrophia,15,FALSE,FALSE,FALSE,FALSE
ASV_157,36,FALSE,FALSE,FALSE,TRUE
Treponema,46,FALSE,TRUE,TRUE,TRUE
ASV_205,39,FALSE,FALSE,TRUE,TRUE
ASV_209,41,FALSE,FALSE,TRUE,TRUE
F0058,41,FALSE,FALSE,TRUE,TRUE
Conchiformibius,14,FALSE,FALSE,FALSE,FALSE
Catonella,14,FALSE,FALSE,FALSE,FALSE
Candidatus_Saccharimonas,20,FALSE,FALSE,FALSE,FALSE
Mogibacterium,20,FALSE,FALSE,FALSE,FALSE
Selenomonas,22,FALSE,FALSE,FALSE,FALSE
Cardiobacterium,16,FALSE,FALSE,FALSE,FALSE
Capnocytophaga,18,FALSE,FALSE,FALSE,FALSE
Kingella,16,FALSE,FALSE,FALSE,FALSE
Butyrivibrio,23,FALSE,FALSE,FALSE,FALSE
Mycoplasma,16,FALSE,FALSE,FALSE,FALSE
Atopobium,29,FALSE,FALSE,FALSE,FALSE
Tannerella,18,FALSE,FALSE,FALSE,FALSE
Parvimonas,19,FALSE,FALSE,FALSE,FALSE
ASV_331,21,FALSE,FALSE,FALSE,FALSE
Peptococcus,33,FALSE,FALSE,FALSE,TRUE
