"","taxon","stat","p","p.adj"
"1","Neisseria",4760,0.293694735667002,0.585590282782544
"2","Streptococcus",3704,0.00117476369138309,0.0111602550681394
"3","Haemophilus",7191,0.000363400350684603,0.00443867571193337
"4","Prevotella",5034,0.51786289758792,0.725857012192904
"5","Moraxella",2873,4.97612769444637e-05,0.00094546426194481
"6","Veillonella",3308,9.00380486513043e-05,0.0015396506319373
"7","Fusobacterium",6547,0.0133191469851228,0.0632659481793331
"8","Porphyromonas",4766,0.442015648377013,0.636793769512934
"9","Lautropia",2593,6.90388454059078e-07,2.36112851288205e-05
"10","Actinobacillus",2493,0.676389401071731,0.876231724115651
"11","Gemella",4333,0.0437874122614423,0.174131337132712
"12","Alloprevotella",6591,0.0104081457804365,0.0591069628193422
"13","Leptotrichia",5474,0.262662582066604,0.567008287197072
"14","Rothia",2848,2.25081284030304e-06,6.41481659486365e-05
"15","Aggregatibacter",5443,2.12236058613236e-07,1.20974553409544e-05
"16","Granulicatella",4614,0.180823852670699,0.433713277367614
"17","Escherichia/Shigella",5,0.422678074170635,0.61776026224939
"18","ASV_52",1914,1,1
"19","Actinomyces",3089,0.000189246264859223,0.00248931625314824
"20","Pseudomonas",4,0.208412803684149,0.468928808289334
"21","ASV_62",2244,0.0122233409859907,0.0606194898450927
"22","Campylobacter",4055,0.1493991389229,0.412052463803483
"23","Bergeyella",2755,0.80128935969607,0.978717717914485
"24","ASV_68",520,0.774939611151233,0.974372599315153
"25","ASV_77",1823,0.00328630975368464,0.0255435894490942
"26","Enterococcus",4,0.855132140584706,0.994745551292413
"27","Dolosigranulum",73,0.887068694211825,1
"28","Corynebacterium",2001,0.853158692700476,0.994745551292413
"29","Streptobacillus",1912,0.000799445027286516,0.00854406872912464
"30","Oribacterium",1974,0.000146562820450038,0.00208852019141304
"31","ASV_112",123,0.268440955448086,0.567008287197072
"32","Stomatobaculum",3063,0.280929579490364,0.572788424903835
"33","Lachnoanaerobaculum",3796,0.549851023492389,0.74842813525048
"34","ASV_120",34,0.540817904242618,0.745805335689417
"35","ASV_126",0,0.18144920772142,0.433713277367614
"36","Mannheimia",480,0.350216124037457,0.598650624418691
"37","TM7x",1250,0.0370744609456496,0.15094601956443
"38","Tropheryma",17,0.944182513250483,1
"39","Solobacterium",2792,0.0110609521065436,0.0591069628193422
"40","Peptostreptococcus",2121,0.28136975258434,0.572788424903835
"41","Abiotrophia",901,0.0673161220305899,0.221366478215978
"42","Oceanivirga",113,0.0883489873405658,0.279771793245125
"43","ASV_157",459,3.70617618288208e-05,0.000905365896104051
"44","ASV_163",82,0.0537840888623983,0.198018768127094
"45","ASV_180",51,0.00282036559567996,0.0229658341362511
"46","ASV_182",128,0.974100708721021,1
"47","ASV_187",374,0.0001033762403852,0.00160703064598811
"48","Treponema",1441,1.85600973628178e-09,3.17377664904184e-07
"49","Eikenella",90,0.14853928156528,0.412052463803483
"50","ASV_203",24,0.759765825978067,0.962370046238884
"51","ASV_205",592,4.88245508408918e-05,0.00094546426194481
"52","ASV_209",1120,4.57622735886476e-07,1.95633719591468e-05
"53","F0058",244,1.03818602459067e-07,8.87649051025021e-06
"54","ASV_214",18,0.142213241936393,0.405307739518719
"55","ASV_216",149,0.251380608779173,0.558260832483619
"56","Conchiformibius",278,0.270766607983668,0.567008287197072
"57","Hydrogenophaga",14,0.185143724157873,0.433713277367614
"58","Catonella",1351,1,1
"59","Candidatus_Saccharimonas",580,0.000797264739809074,0.00854406872912464
"60","ASV_239",150,0.726509842453364,0.927113306414368
"61","ASV_242",15,0.0590582290905367,0.198018768127094
"62","Mogibacterium",470,0.0120944947419492,0.0606194898450927
"63","Selenomonas",731,0.526923682653258,0.732552436859407
"64","ASV_260",19,0.414823067184775,0.61776026224939
"65","Cardiobacterium",470,0.322451903276716,0.598650624418691
"66","ASV_269",3,0.371093369522698,0.598650624418691
"67","ASV_280",55,0.00592153702414871,0.0405033132451772
"68","ASV_283",81,0.849816607389808,0.994745551292413
"69","Comamonas",177,0.0076012721653909,0.0499929823185324
"70","ASV_286",2,0.361310428526179,0.598650624418691
"71","Capnocytophaga",1038,0.0124074979215102,0.0606194898450927
"72","Kingella",350,0.795462039288642,0.978589990779552
"73","Butyrivibrio",232,0.555850135536906,0.74842813525048
"74","ASV_307",54,0.2553403615339,0.559784638747397
"75","Mycoplasma",451,0.330872348769721,0.598650624418691
"76","Atopobium",692,0.00528502810532441,0.0376558252504364
"77","Tannerella",543,0.18515245174173,0.433713277367614
"78","Parvimonas",120,0.0359537135054337,0.150278496178486
"79","ASV_329",10,0.589638551626567,0.781613894016612
"80","ASV_331",117,0.00358598544078165,0.0266610221901592
"81","Filifactor",99,0.0287678605974676,0.129455372688604
"82","Dialister",74,0.443231075591052,0.636793769512934
"83","ASV_339",10,0.0831311427008039,0.268215573619575
"84","Peptococcus",647,0.001478520104373,0.013306680939357
"85","Staphylococcus",3,1,1
"86","Hyphomicrobium",7,0.271898710819648,0.567008287197072
"87","ASV_383",118,0.010479750627497,0.0591069628193422
"88","Psychrobacter",0,0.0590582290905367,0.198018768127094
"89","ASV_409",44,0.378674693023085,0.605171705672407
"90","F0332",91,0.507501253286605,0.717212514975285
"91","ASV_422",5,0.422678074170635,0.61776026224939
"92","ASV_428",1,1,1
"93","Peptoanaerobacter",116,0.00162051800227276,0.0138554289194321
"94","Delftia",4,0.855132140584706,0.994745551292413
"95","Sphingopyxis",5,0.589638551626567,0.781613894016612
"96","Lentimicrobium",133,0.000852332883591632,0.00857346606436289
"97","ASV_461",53,0.0108269212771313,0.0591069628193422
"98","Leuconostoc",3,1,1
"99","ASV_472",14,1,1
"100","ASV_485",21,0.0360316862182336,0.150278496178486
"101","Amnipila",54,0.00804523748656169,0.050953170748224
"102","Rodentibacter",18,0.554113130069446,0.74842813525048
"103","Bulleidia",19,0.446872820710831,0.636793769512934
"104","Anaeroglobus",21,0.726286148878805,0.927113306414368
"105","Shuttleworthia",9,0.020658377241239,0.0954752029257263
"106","ASV_508",6,0.18144920772142,0.433713277367614
"107","Rikenellaceae_RC9_gut_group",10,0.100348246462291,0.295854312845719
"108","ASV_525",5,1,1
"109","Alysiella",15,0.932646638965876,1
"110","ASV_529",1,1,1
"111","ASV_540",8,0.00971619488408052,0.0591069628193422
"112","ASV_543",2,1,1
"113","ASV_561",3,1,1
"114","Carnobacterium",0,0.371093369522698,0.598650624418691
"115","ASV_586",2,1,1
"116","Defluviitaleaceae_UCG-011",15,0.0590582290905367,0.198018768127094
"117","ASV_591",1,1,1
"118","ASV_596",6,0.855132140584706,0.994745551292413
"119","ASV_613",1,1,1
"120","ASV_639",16,0.29450739368011,0.585590282782544
"121","ASV_644",8,0.674986713970489,0.876231724115651
"122","Alloscardovia",3,0.371093369522698,0.598650624418691
"123","ASV_653",1,1,1
"124","Centipeda",28,1,1
"125","ASV_682",0,0.0590582290905367,0.198018768127094
"126","ASV_689",2,0.177529852412153,0.433713277367614
"127","Family_XIII_UCG-001",41,0.0329693812442201,0.144558056224657
"128","Fretibacterium",30,0.107327557761612,0.311068006393824
"129","ASV_761",3,1,1
"130","ASV_767",4,0.41849223344682,0.61776026224939
"131","Lactobacillus",18,0.635586122278767,0.836040206997455
"132","Johnsonella",165,0.420245005182766,0.61776026224939
"133","ASV_817",15,0.401678166469773,0.61776026224939
"134","ASV_844",10,0.100348246462291,0.295854312845719
"135","ASV_854",6,0.787406490666269,0.978006032383783
"136","ASV_860",11,0.41849223344682,0.61776026224939
"137","ASV_894",3,0.371093369522698,0.598650624418691
"138","ASV_897",10,0.100348246462291,0.295854312845719
"139","Scardovia",0,0.18144920772142,0.433713277367614
"140","Acinetobacter",10,0.155131568727114,0.421071400830739
"141","ASV_934",8,0.361310428526179,0.598650624418691
"142","Olsenella",6,0.855132140584706,0.994745551292413
"143","Prevotellaceae_YAB2003_group",1,0.201242620957724,0.458833175783611
"144","ASV_1004",5,0.422678074170635,0.61776026224939
"145","Desulfomicrobium",3,0.371093369522698,0.598650624418691
"146","ASV_1054",0,0.0590582290905367,0.198018768127094
"147","ASV_1095",5,0.422678074170635,0.61776026224939
"148","ASV_1121",12,0.833935414088552,0.994745551292413
"149","ASV_1212",3,0.371093369522698,0.598650624418691
"150","ASV_1230",1,0.422678074170635,0.61776026224939
"151","ASV_1234",1,1,1
"152","ASV_1235",3,1,1
"153","ASV_1258",3,0.371093369522698,0.598650624418691
"154","ASV_1272",4,0.058707408431205,0.198018768127094
"155","ASV_1306",0,0.371093369522698,0.598650624418691
"156","ASV_1325",9,0.201242620957724,0.458833175783611
"157","Pantoea",3,0.371093369522698,0.598650624418691
"158","ASV_1343",0,0.18144920772142,0.433713277367614
"159","ASV_1398",0,0.100348246462291,0.295854312845719
"160","ASV_1415",0,0.0590582290905367,0.198018768127094
"161","Desulfobulbus",6,0.18144920772142,0.433713277367614
"162","ASV_1504",4,0.789268026134281,0.978006032383783
"163","Erysipelotrichaceae_UCG-006",3,0.371093369522698,0.598650624418691
"164","ASV_1531",6,0.18144920772142,0.433713277367614
"165","Brevundimonas",0,0.371093369522698,0.598650624418691
"166","DMI",3,0.371093369522698,0.598650624418691
"167","Brevibacterium",0,0.371093369522698,0.598650624418691
"168","Pseudoramibacter",1,1,1
"169","ASV_1867",2,1,1
"170","ASV_1888",3,0.371093369522698,0.598650624418691
"171","ASV_1939",3,0.371093369522698,0.598650624418691
