"","average","sd","ratio","ava","avb","cumsum","p"
"Haemophilus",0.127532223203302,0.142256674785179,0.8964937736376,0.284232315942445,0.174906065579993,0.236243465830178,0.0099009900990099
"Neisseria",0.0841976161801006,0.0632045712413451,1.33214440864719,0.177215300069852,0.204535793391021,0.392212962490776,0.0594059405940594
"Streptococcus",0.0621485131935003,0.048233868447635,1.28848286885742,0.153224263631011,0.196453571473853,0.507338220909739,0.0099009900990099
"Prevotella",0.0496771282725077,0.0436072838181116,1.13919336227667,0.0808246227275149,0.099947868295176,0.599361214478032,0.108910891089109
"Moraxella",0.0241584133773314,0.0802611946995875,0.300997430548534,0.0405981610086351,0.00932894344591103,0.644112785193778,0.0099009900990099
"Veillonella",0.0230372046324591,0.0194072737934154,1.18703970880626,0.0337468902021324,0.0536964017080906,0.686787404428913,0.0099009900990099
"Porphyromonas",0.0180173941266313,0.0274071137659648,0.657398450653567,0.0288506472038363,0.0297987925264248,0.720163217433587,0.0297029702970297
"Fusobacterium",0.0171818323825288,0.0240622733889165,0.714056901641015,0.035253643064651,0.0216017839826034,0.7519912176786,0.0099009900990099
"Leptotrichia",0.015124544918296,0.026008307513821,0.581527456573585,0.0199717853894695,0.0215960922945513,0.780008253850757,0.801980198019802
"Actinobacillus",0.0142345703013858,0.0253678528242674,0.561126335760225,0.0182059544584443,0.0171080653644781,0.806376681673441,0.465346534653465
"Lautropia",0.0141966254428914,0.0204114180885288,0.695523720170616,0.0084990037438628,0.0289085047777099,0.832674819614431,0.0099009900990099
"Rothia",0.0131355307146896,0.0140887464917685,0.932342044933816,0.0161984121364941,0.0278469705901281,0.857007362587591,0.0099009900990099
"Alloprevotella",0.012784126893963,0.0131796896195279,0.969986946811039,0.019661645961283,0.0227648084125944,0.880688957475403,0.722772277227723
"Actinomyces",0.00580176214891175,0.00836539074977599,0.693543472439361,0.00735029128667462,0.0108644322832775,0.891436267947646,0.0099009900990099
"Granulicatella",0.00576854395177237,0.00512981760846461,1.12451248602949,0.0111506561414355,0.0146035309262938,0.902122044308558,0.0099009900990099
"Gemella",0.00558952694661314,0.00607293802096205,0.920399142444676,0.0102011545521556,0.0129149911172281,0.912476205673047,0.0297029702970297
"Aggregatibacter",0.00436573024767201,0.00704387714754624,0.619790799331704,0.00725003034736932,0.00381268107694846,0.920563379398118,0.0099009900990099
"Campylobacter",0.00246247383935711,0.00286160143631415,0.860522995308835,0.00383219421928279,0.00391776819162533,0.925124919530595,0.633663366336634
"ASV_126",0.00211990155542163,0.0251633490949251,0.0842456044870899,0.00412952852047533,0.000111981580783566,0.929051871308682,0.415841584158416
"ASV_62",0.00211889889970364,0.00575424103850163,0.368232558477493,0.00255499390259957,0.00215718959884268,0.932976965745496,0.099009900990099
"ASV_52",0.00205280906909865,0.00437372665801196,0.469350105667495,0.00195490421668183,0.00310948927655648,0.93677963394174,0.425742574257426
"Corynebacterium",0.00194895217392137,0.0064835167170414,0.300601087184477,0.000778268434151695,0.00345548013831355,0.940389915365051,0.217821782178218
"Bordetella",0.00181205868471764,0.0217816966199343,0.0831918062369516,0.00362411736943528,0,0.943746612309657,0.316831683168317
"Streptobacillus",0.00150547031531945,0.00713794585890196,0.210910862183402,0.00239529085038573,0.000796617857056166,0.946535378286304,0.0297029702970297
"ASV_68",0.00142029156828902,0.00284074819811393,0.499970947524317,0.00121804008035183,0.00192193690845204,0.94916635729815,0.584158415841584
"Bergeyella",0.00141945998032526,0.0033799617110291,0.419963331446459,0.00121381401956508,0.00211631964284002,0.951795795858354,0.633663366336634
"Pseudomonas",0.00141562004851636,0.0156017201889172,0.0907348697050693,8.55792825130295e-05,0.00274813842027898,0.954418121245304,0.97029702970297
"Oribacterium",0.00137531807557229,0.00206243638666571,0.666841452402678,0.00109829666854343,0.00237918267379719,0.956965790380454,0.0099009900990099
"ASV_77",0.0012516863069105,0.00118021257907104,1.06056004579762,0.0016192057568299,0.00219890395164262,0.959284441336654,0.0396039603960396
"Tropheryma",0.00116970002037056,0.0107243833505016,0.109069210055406,0.000488586486535996,0.0018677314738729,0.961451219111346,0.564356435643564
"Treponema",0.0011204382081612,0.00430071618519104,0.26052363371926,0.00222491295254998,3.78245214217694e-05,0.963526743232984,0.0099009900990099
"Stomatobaculum",0.000960846043431417,0.0015178878851127,0.63301516064217,0.00110779998393502,0.00128134224149635,0.965306635355367,0.693069306930693
"Mannheimia",0.000936255429109034,0.00383831039860717,0.243923844577233,0.00108301373849494,0.000874833199436368,0.967040975288596,0.554455445544555
"Lachnoanaerobaculum",0.000913127717906437,0.00139091464803602,0.656494429184261,0.00107601790434944,0.00147400628495175,0.96873247294625,0.188118811881188
"Oceanivirga",0.000764691168885539,0.00465738439621788,0.164188974718625,0.000480248939621425,0.00106326666028914,0.970149003509975,0.277227722772277
"TM7x",0.000682100288991033,0.00186109151736839,0.366505506379145,0.000547239394394288,0.00109193498227703,0.971412540930303,0.356435643564356
"ASV_120",0.000603746359102382,0.00440566705772773,0.137038580353771,0.000450044488298601,0.000766380623111082,0.972530933825637,0.801980198019802
"ASV_112",0.000529721366619642,0.00180438784208124,0.293574005690841,0.000599639168545194,0.000499155560835821,0.973512201213841,0.336633663366337
"Catonella",0.000499737509307965,0.00104599736703911,0.477761727758996,0.00062506371956152,0.000543690827786866,0.974437925852202,0.287128712871287
"Abiotrophia",0.000495567946708632,0.000896086463855627,0.553035858366092,0.000297073543368462,0.000837362090158333,0.975355926702059,0.0099009900990099
"ASV_180",0.000491269477138024,0.00107067126154521,0.45884249889085,0.000372344863573707,0.000692853136603062,0.976265964973333,0.336633663366337
"Peptostreptococcus",0.000454477752721184,0.000562022709598305,0.808646599077844,0.000725235094483954,0.000496477290812645,0.977107849453575,0.0693069306930693
"Atopobium",0.000446861670912934,0.00155042892825603,0.288218094211889,0.000476501303595448,0.000525281087418027,0.977935625738121,0.0099009900990099
"ASV_203",0.000429954647718055,0.00208845771873098,0.205871846895378,0.000683700806023049,0.000189863915990188,0.978732083084942,0.0693069306930693
"Kingella",0.000428440955398442,0.0016473651395986,0.260076497371334,0.000481649328499878,0.000418148661260766,0.979525736435167,0.227722772277228
"Candidatus_Saccharimonas",0.000426992622360447,0.00126398027219225,0.337815891398264,0.00016330540166582,0.000753787990212028,0.980316706861751,0.0495049504950495
