"","average","sd","ratio","ava","avb","cumsum","p"
"Haemophilus",0.113876280990833,0.132323097699891,0.860592617390989,0.257588233715969,0.179357233844995,0.225894209630765,0.0198019801980198
"Neisseria",0.0811469430363208,0.0618303057571245,1.3124137434331,0.190829451308314,0.202738548559323,0.386863854948019,0.455445544554455
"Streptococcus",0.0581001932053203,0.0480833887994592,1.20832151510032,0.159186107294419,0.194066464475642,0.502116101590734,0.0099009900990099
"Prevotella",0.0499279240634306,0.0432972282910644,1.1531436545497,0.0936641469118304,0.100619591589295,0.601157173591684,0.594059405940594
"Veillonella",0.0214665395608675,0.0176770173399744,1.21437565783926,0.0379268756621769,0.0532579589999699,0.643739939251198,0.0099009900990099
"Fusobacterium",0.0177130292375332,0.025097727913576,0.705762262565279,0.0361195342544053,0.0223352529841838,0.678876937974412,0.0198019801980198
"Porphyromonas",0.0168141403431346,0.0220437116183603,0.762763577850929,0.031312120550644,0.0309399054568332,0.7122308279187,0.891089108910891
"Alloprevotella",0.0156014222925154,0.0150707952529546,1.03520896081823,0.0307387283820717,0.0219688852407253,0.743179072164289,0.0198019801980198
"Leptotrichia",0.0147635794068543,0.0246345706366655,0.599303297167299,0.0199967227459779,0.0215925728332253,0.772465303435758,0.445544554455446
"Lautropia",0.0144812288922104,0.0202591763929607,0.714798499767347,0.0105683522348114,0.0289181132909554,0.801191441369183,0.0099009900990099
"Moraxella",0.0138759468081298,0.0500333057571526,0.277334199652522,0.0190896917001928,0.00983683932756141,0.828716892761061,0.0099009900990099
"Actinobacillus",0.0129685195256836,0.0219307029767242,0.591340803778499,0.0156714619671409,0.0165277788105167,0.854442297936273,0.405940594059406
"Rothia",0.0122225366857087,0.0136874610317769,0.892973259053148,0.0139493018576873,0.0279860564544891,0.87868791116036,0.0099009900990099
"Granulicatella",0.00561060730617621,0.00548300424587073,1.02327247154725,0.0131373682965857,0.0141670745488588,0.8898175660099,0.0297029702970297
