"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.04,0
"trial_armPlacebo",0.06,-0.11,0.23,0.504
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.819
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.244
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.92,4.8,5.04,0
"trial_armPlacebo",0.06,-0.11,0.23,0.504
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.819
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.244
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.98,4.86,5.11,0
"trial_armPlacebo",0.07,-0.1,0.24,0.414
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.03,-0.18,0.12,0.736
"adherenceNot Adherent",-0.22,-0.37,-0.07,0.004
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.12,-0.09,0.34,0.264
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.66,4.5,4.81,0
"trial_armPlacebo",0.06,-0.11,0.22,0.514
"visitWeek 48",-0.31,-0.45,-0.17,0
"visitWeek 72",-0.03,-0.18,0.12,0.732
"siteZimbabwe",0.38,0.24,0.52,0
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.12,-0.09,0.34,0.255
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.63,4.3,4.95,0
"trial_armPlacebo",0.04,-0.13,0.21,0.619
"visitWeek 48",-0.32,-0.46,-0.18,0
"visitWeek 72",-0.04,-0.2,0.11,0.569
"agey",0.02,0,0.04,0.054
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.238
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.95,4.81,5.09,0
"trial_armPlacebo",0.06,-0.11,0.22,0.522
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.826
"sexmale",-0.05,-0.19,0.08,0.42
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.242
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.91,4.78,5.04,0
"trial_armPlacebo",0.06,-0.11,0.23,0.504
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.786
"colmonthgp_mal2Nov-Apr-Rainy",0.03,-0.07,0.12,0.594
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.12,-0.09,0.34,0.258
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.03,4.9,5.17,0
"trial_armPlacebo",0.04,-0.12,0.21,0.606
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.776
"f24mrcscore_baseline2",-0.2,-0.34,-0.06,0.005
"f24mrcscore_baseline3",-0.28,-0.55,0,0.05
"f24mrcscore_baseline4",-0.35,-0.74,0.04,0.082
"f24mrcscore_baseline5",0.12,-0.81,1.05,0.806
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.08,0.35,0.224
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.71,4.53,4.9,0
"trial_armPlacebo",0.06,-0.11,0.23,0.499
"visitWeek 48",-0.29,-0.43,-0.15,0
"visitWeek 72",-0.02,-0.18,0.13,0.754
"fev1z",-0.11,-0.18,-0.04,0.003
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.35,0.215
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.9,4.67,5.13,0
"trial_armPlacebo",0.07,-0.1,0.24,0.447
"visitWeek 48",-0.3,-0.45,-0.16,0
"visitWeek 72",-0.03,-0.19,0.13,0.71
"fvc",0.02,-0.09,0.12,0.764
"trial_armPlacebo:visitWeek 48",0.44,0.23,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.235
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.78,4.62,4.94,0
"trial_armPlacebo",0.07,-0.1,0.24,0.408
"visitWeek 48",-0.29,-0.43,-0.15,0
"visitWeek 72",-0.02,-0.18,0.13,0.764
"fvcz",-0.08,-0.14,-0.02,0.01
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.241
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.91,4.78,5.03,0
"trial_armPlacebo",0.07,-0.1,0.24,0.44
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.03,-0.18,0.13,0.726
"fev1fvcz",-0.03,-0.08,0.02,0.283
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.36,0.224
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.45,5.04,5.85,0
"trial_armPlacebo",0.07,-0.1,0.24,0.412
"visitWeek 48",-0.29,-0.43,-0.15,0
"visitWeek 72",-0.02,-0.18,0.13,0.76
"fvcpcpred",-0.01,-0.01,0,0.009
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.239
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.5,5.1,5.89,0
"trial_armPlacebo",0.06,-0.11,0.23,0.497
"visitWeek 48",-0.29,-0.43,-0.15,0
"visitWeek 72",-0.02,-0.18,0.13,0.753
"fevpcpred",-0.01,-0.01,0,0.003
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.14,-0.08,0.35,0.215
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.88,4.75,5.02,0
"trial_armPlacebo",0.06,-0.1,0.23,0.455
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.804
"zbmiuk",-0.03,-0.09,0.02,0.208
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.63,0
"trial_armPlacebo:visitWeek 72",0.12,-0.09,0.34,0.262
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.9,4.74,5.05,0
"trial_armPlacebo",0.06,-0.11,0.23,0.491
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.815
"zwauk",-0.01,-0.06,0.03,0.613
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.249
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.96,4.79,5.13,0
"trial_armPlacebo",0.06,-0.11,0.23,0.521
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.18,0.13,0.768
"zhauk",0.02,-0.04,0.07,0.548
"trial_armPlacebo:visitWeek 48",0.43,0.23,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.35,0.241
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.01,4.84,5.17,0
"trial_armPlacebo",0.05,-0.12,0.22,0.568
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.825
"cd4enrl_baseline",0,0,0,0.154
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.242
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",5.05,4.88,5.21,0
"trial_armPlacebo",0.04,-0.12,0.21,0.608
"visitWeek 48",-0.31,-0.45,-0.17,0
"cd4",0,0,0,0.047
"trial_armPlacebo:visitWeek 48",0.44,0.25,0.64,0
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.94,4.82,5.05,0
"trial_armPlacebo",0.04,-0.12,0.21,0.598
"visitWeek 48",-0.31,-0.44,-0.17,0
"visitWeek 72",0.24,-0.03,0.51,0.084
"vload",0,0,0,0.869
"trial_armPlacebo:visitWeek 48",0.47,0.28,0.66,0
"trial_armPlacebo:visitWeek 72",0.06,-0.33,0.46,0.748
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.95,4.8,5.09,0
"trial_armPlacebo",0.05,-0.12,0.22,0.531
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.821
"normalwaz_regunderweight",-0.04,-0.17,0.09,0.568
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.241
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.93,4.79,5.07,0
"trial_armPlacebo",0.06,-0.11,0.23,0.514
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.818
"normalhaz_regstunted",-0.01,-0.15,0.12,0.85
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.244
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",4.91,4.79,5.03,0
"trial_armPlacebo",0.05,-0.12,0.22,0.587
"visitWeek 48",-0.3,-0.44,-0.16,0
"visitWeek 72",-0.02,-0.17,0.13,0.813
"acut_exac12myes",0.14,-0.05,0.34,0.147
"trial_armPlacebo:visitWeek 48",0.44,0.24,0.64,0
"trial_armPlacebo:visitWeek 72",0.13,-0.09,0.34,0.251
"beta","X2.5..","X97.5..","pvalue"
