feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	fev1z	fev1z	0.166215027122555	0.029459208922836	875	861	2.48448967809592e-08	8.04974655703078e-06
Veillonella	fev1z	fev1z	0.1896314211047	0.0329703072982045	875	835	1.33566483659175e-08	8.04974655703078e-06
Lautropia	visit12m_azm	visit12m_azm	0.718487023590813	0.125972280666727	875	723	1.90365121632394e-08	8.04974655703078e-06
Gemella	fev1z	fev1z	0.130794255371133	0.0239446366872726	875	839	6.79644809774442e-08	1.65153688775189e-05
Prevotella	fev1z	fev1z	0.192800277034356	0.0366087286767142	875	835	1.89254442368869e-07	3.67910635965081e-05
Rothia	fev1z	fev1z	0.187279890077852	0.0366838419454295	875	739	4.37936244488312e-07	7.09456716071065e-05
Granulicatella	fev1z	fev1z	0.133089400590955	0.0271441206793067	875	828	1.20698232882049e-06	0.000167598117659074
F0058	visit12m_azm	visit12m_azm	0.357620672195172	0.0746325967274768	875	152	2.10392419895039e-06	0.000255626790172472
Streptococcus	fev1z	fev1z	0.0939139233524946	0.019792706952262	875	872	2.57674173605338e-06	0.000278288107493765
Fusobacterium	fev1z	fev1z	0.160571023874457	0.0347397989742491	875	800	4.60581677795479e-06	0.000354698419388456
Alloprevotella	fev1z	fev1z	0.171236513385272	0.0372713094663075	875	795	5.37446879048395e-06	0.000354698419388456
Leptotrichia	fev1z	fev1z	0.20441830190055	0.0442683183343245	875	735	4.68984308480403e-06	0.000354698419388456
Actinomyces	fev1z	fev1z	0.183959604136139	0.0400303492048366	875	670	5.21210957176565e-06	0.000354698419388456
Campylobacter	fev1z	fev1z	0.16951360803484	0.0369421420942596	875	696	5.47374103994531e-06	0.000354698419388456
Stomatobaculum	fev1z	fev1z	0.170231111866194	0.0365369277704195	875	406	3.89459743455375e-06	0.000354698419388456
Porphyromonas	fev1z	fev1z	0.145393725966566	0.0357029187650253	875	818	5.23243150496896e-05	0.00317870213926864
Rothia	visit12m_azm	visit12m_azm	0.431617432803797	0.108881988456789	875	739	8.32965814928889e-05	0.00476260454182871
Treponema	visit12m_azm	visit12m_azm	-0.471732540323613	0.121636997536328	875	260	0.000117709215921612	0.00635629765976703
Veillonella	visit12m_azm	visit12m_azm	0.355623700177271	0.0920741497339399	875	835	0.000125693517708071	0.00643021574801289
Aggregatibacter	visit12m_azm	visit12m_azm	-0.401860217998822	0.110509902855301	875	532	0.000301974106168823	0.0146759415598048
Lautropia	fev1z	fev1z	0.143083497174704	0.0404697672545596	875	723	0.000438593510512831	0.0203006139151653
Moraxella	visit12m_azm	visit12m_azm	-0.558635488297131	0.163013253668473	875	417	0.000654940401415188	0.0289364577352528
Peptoanaerobacter	visit12m_azm	visit12m_azm	-0.131053338338838	0.0390435412744945	875	43	0.000838358296508051	0.0354297506176446
