feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lautropia	visit12m_azm	visit12m_azm	0.72411792626271	0.124721107498405	875	723	1.06302317814875e-08	1.03325852916058e-05
F0058	visit12m_azm	visit12m_azm	0.361936891205989	0.0734789043966061	875	152	1.09553891335272e-06	0.00053243191188942
Veillonella	visit12m_azm	visit12m_azm	0.365497748131279	0.0898845245182605	875	835	5.46060293258353e-05	0.0106154121009424
Rothia	visit12m_azm	visit12m_azm	0.443572834562855	0.10788888261704	875	739	4.51427010079328e-05	0.0106154121009424
ASV_428	acut_exac12m	yes	0.0434049940801168	0.0104534557872284	875	8	3.61774860468041e-05	0.0106154121009424
Treponema	visit12m_azm	visit12m_azm	-0.484673279319122	0.121601401808531	875	260	7.60278292930078e-05	0.0123165083454673
Aggregatibacter	visit12m_azm	visit12m_azm	-0.405392853516287	0.109410008028132	875	532	0.000231883730969927	0.0321987123575384
Peptoanaerobacter	visit12m_azm	visit12m_azm	-0.13790818153635	0.0390183218092945	875	43	0.000439637384567936	0.0534159422250042
Moraxella	visit12m_azm	visit12m_azm	-0.541192145303631	0.161498472166295	875	417	0.00085815274637107	0.0726158947175717
Lachnoanaerobaculum	visit	Week 48	-0.256619463898117	0.0759819844930733	875	490	0.000782096162868396	0.0726158947175717
Atopobium	visit12m_azm	visit12m_azm	0.255778617647155	0.0771311922850382	875	199	0.000971200237992213	0.0726158947175717
Capnocytophaga	visit12m_azm	visit12m_azm	0.29002145153161	0.0871887709504685	875	252	0.000937250818601296	0.0726158947175717
Shuttleworthia	visit12m_azm	visit12m_azm	0.108106273673663	0.0321827640144584	875	27	0.00083637345224568	0.0726158947175717
ASV_68	visit	Week 48	-0.150395465052515	0.0462527041007678	875	149	0.00121564637982043	0.0831828396560832
Candidatus_Saccharimonas	visit12m_azm	visit12m_azm	0.234405491849383	0.0724258997877601	875	202	0.00128368579716178	0.0831828396560832
Gemella	acut_exac12m	yes	-0.207033497497477	0.0667599230102391	875	839	0.00209057790326397	0.124336168497802
Rothia	acut_exac12m	yes	-0.311126896410347	0.101133361861449	875	739	0.00227212613133917	0.124336168497802
Peptococcus	visit12m_azm	visit12m_azm	-0.166385978646695	0.0543458479729412	875	130	0.00230252163884819	0.124336168497802
ASV_68	visit	Week 72	-0.150064173952081	0.0500751886286041	875	149	0.00284137816478272	0.1315152179128
ASV_187	visit12m_azm	visit12m_azm	-0.172938788734805	0.0573508140150605	875	82	0.0026812637908812	0.1315152179128
ASV_205	visit12m_azm	visit12m_azm	-0.228387202365791	0.0760777249445252	875	150	0.00280286035264384	0.1315152179128
ASV_62	visit	Week 48	-0.263467704490399	0.0883316566175252	875	359	0.00298204198315164	0.131752036710154
Neisseria	acut_exac12m	yes	-0.254465919087978	0.0855028598157808	875	861	0.00313345732484247	0.132422631293343
Haemophilus	visit12m_azm	visit12m_azm	-0.188297326287073	0.0639971400925419	875	869	0.00339057097321655	0.13731812441527
Lachnoanaerobaculum	visit	Week 72	-0.23944933909264	0.0822361673060934	875	490	0.00372823077172073	0.144953612404502
ASV_307	acut_exac12m	yes	0.101460414565932	0.0350589574058394	875	56	0.004064746091255	0.151958969257687
ASV_540	visit12m_azm	visit12m_azm	0.0886017293232511	0.0309494847035683	875	30	0.00435605239894635	0.156817886362069
Actinomyces	visit12m_azm	visit12m_azm	0.330180420098615	0.11584969046977	875	670	0.00453084681827359	0.157285110977212
Porphyromonas	acut_exac12m	yes	-0.28168840122781	0.099184780402515	875	818	0.00479102910431343	0.160582078944574
ASV_1415	visit12m_azm	visit12m_azm	0.029558880611859	0.0105146918124834	875	6	0.00509595907720799	0.165109074101539
Veillonella	acut_exac12m	yes	-0.261347758197037	0.0965828541855219	875	835	0.00716384035606168	0.204801553708587
