feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lautropia	visit12m_azm	visit12m_azm	0.731045773621099	0.124768113928675	875	723	7.86525901780406e-09	7.64503176530555e-06
ASV_428	hospitalised12m	yes	0.120123341446249	0.0224882156795564	875	8	1.17747393333386e-07	5.72252331600257e-05
F0058	visit12m_azm	visit12m_azm	0.363119168978245	0.0735387862753695	875	152	1.03286882655058e-06	0.000334649499802387
Rothia	visit12m_azm	visit12m_azm	0.45200943560253	0.107854731888921	875	739	3.22151471167323e-05	0.00782828074936594
Veillonella	visit12m_azm	visit12m_azm	0.369588951366631	0.0898748433609232	875	835	4.50491643300397e-05	0.00875755754575972
Treponema	visit12m_azm	visit12m_azm	-0.488608478531304	0.121599199629181	875	260	6.65373870017183e-05	0.0107790566942784
Aggregatibacter	visit12m_azm	visit12m_azm	-0.399595598271185	0.109443755095475	875	532	0.000285289172247924	0.039614439346426
Peptoanaerobacter	visit12m_azm	visit12m_azm	-0.138372165979332	0.0390126347513911	875	43	0.000419821526794448	0.0510083155055254
ASV_1531	hospitalised12m	yes	0.0584015247634284	0.016668864565715	875	5	0.000482420910726787	0.052101458358493
Lachnoanaerobaculum	visit	Week 48	-0.261575034595596	0.0759514318895066	875	490	0.000615619342246154	0.0566478359038973
Centipeda	hospitalised12m	yes	0.213002071468642	0.0618300079369395	875	42	0.000641076332245751	0.0566478359038973
Moraxella	visit12m_azm	visit12m_azm	-0.545699847362929	0.161451105757804	875	417	0.00077434413778025	0.0608217247056961
Capnocytophaga	visit12m_azm	visit12m_azm	0.293828361494842	0.0872808261703657	875	252	0.000813459281043261	0.0608217247056961
ASV_68	visit	Week 48	-0.15394466332917	0.0462326584427009	875	149	0.000925516353354646	0.0610710825379656
Atopobium	visit12m_azm	visit12m_azm	0.256390128659618	0.0771170698441414	875	199	0.00094245497743774	0.0610710825379656
Shuttleworthia	visit12m_azm	visit12m_azm	0.106474814763075	0.0322332238803974	875	27	0.00101853984424588	0.0618762955379372
Candidatus_Saccharimonas	visit12m_azm	visit12m_azm	0.235092476468716	0.0724362281147896	875	202	0.00124446592454044	0.0711541693325477
ASV_62	visit	Week 48	-0.268818211474452	0.0882842307086618	875	359	0.00243717918541146	0.118446908410997
ASV_68	visit	Week 72	-0.153254641327513	0.0500287978363572	875	149	0.00228696686757958	0.118446908410997
Peptococcus	visit12m_azm	visit12m_azm	-0.165505294528485	0.0543525148502883	875	130	0.00243121083314012	0.118446908410997
Lachnoanaerobaculum	visit	Week 72	-0.244382314832904	0.0821701201475642	875	490	0.00305665028449346	0.136058611161115
ASV_187	visit12m_azm	visit12m_azm	-0.170582799529376	0.0573862447629998	875	82	0.00307951589047792	0.136058611161115
ASV_205	visit12m_azm	visit12m_azm	-0.224442402793491	0.0761605850573176	875	150	0.00334464099641152	0.141347436891826
Haemophilus	visit12m_azm	visit12m_azm	-0.186999208837853	0.0640305411300575	875	869	0.00363353557353188	0.147158190728041
Actinomyces	visit12m_azm	visit12m_azm	0.33648051247513	0.115896289733739	875	670	0.0038374148409524	0.14919868901623
ASV_1272	hospitalised12m	yes	0.0539581359249528	0.018879062207675	875	10	0.00436391177325713	0.163143163215613
ASV_540	visit12m_azm	visit12m_azm	0.0876790218777465	0.0309808279785122	875	30	0.0048199961326842	0.173519860776631
ASV_1415	visit12m_azm	visit12m_azm	0.029494916104382	0.0105153193952203	875	6	0.00519443762668672	0.180321191897839
Alloprevotella	visit	Week 48	-0.239584556502618	0.0863398113125004	875	795	0.00569997896995053	0.191047570992825
Parvimonas	trial_arm	Placebo	0.122288109086293	0.0447535672436905	875	108	0.00642488778094943	0.208166364102762
ASV_180	visit12m_azm	visit12m_azm	0.110346601629237	0.0408482855614128	875	75	0.0071022831372074	0.211164982081583
Lactobacillus	hospitalised12m	yes	0.163844001573873	0.0604851095566265	875	29	0.00708985925678701	0.211164982081583
ASV_689	visit12m_azm	visit12m_azm	0.0449494904177074	0.0166519514854329	875	14	0.00716918149042413	0.211164982081583
Lautropia	visit	Week 72	-0.257609304737075	0.0958779145440158	875	723	0.00741184788683506	0.211891651353049
ASV_331	visit12m_azm	visit12m_azm	0.121194342512955	0.0452618896391685	875	80	0.00763165731646947	0.211942026045952
Desulfomicrobium	visit12m_azm	visit12m_azm	-0.0269386771993533	0.0101347274623799	875	8	0.00808977079042547	0.218423811341488
Lautropia	visit	Week 48	-0.234224497338442	0.0884549607594091	875	723	0.00832051077254843	0.218582066781543
Oribacterium	visit12m_azm	visit12m_azm	0.307022843627565	0.117469660243347	875	396	0.00919271825796288	0.235140056493156
Streptococcus	visit12m_azm	visit12m_azm	0.150408270156324	0.0580281553635953	875	872	0.00978874106199447	0.24396554646817
Granulicatella	visit12m_azm	visit12m_azm	0.202041934571696	0.0792488742202927	875	828	0.01105388970643	0.256765050377953
ASV_52	visit18m_azm	visit18m_azm	0.224233939937188	0.0887932687435573	875	323	0.0118150438530953	0.256765050377953
Streptobacillus	visit12m_azm	visit12m_azm	-0.28787117442549	0.113588885809923	875	302	0.0115342467643278	0.256765050377953
ASV_1095	visit	Week 48	0.0330259542891714	0.0130264256426226	875	11	0.0114094658152707	0.256765050377953
