"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.03,-0.05,0.1,0.495
"trial_armPlacebo",0.02,-0.09,0.13,0.691
"dif_strep",0.67,0.16,1.18,0.01
"trial_armPlacebo:dif_strep",-0.76,-1.46,-0.05,0.035
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.03,-0.05,0.1,0.465
"trial_armPlacebo",0.02,-0.09,0.13,0.747
"diff_prev",0.26,-0.42,0.95,0.449
"trial_armPlacebo:diff_prev",-0.87,-1.83,0.09,0.075
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.02,-0.05,0.1,0.548
"trial_armPlacebo",0.03,-0.08,0.13,0.646
"diff_haem",-0.09,-0.39,0.2,0.536
"trial_armPlacebo:diff_haem",0.1,-0.29,0.49,0.61
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.02,-0.05,0.1,0.565
"trial_armPlacebo",0.03,-0.08,0.14,0.593
"dif_morax",-0.71,-1.47,0.05,0.067
"trial_armPlacebo:dif_morax",0.93,0.01,1.85,0.049
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.03,-0.05,0.11,0.461
"trial_armPlacebo",0.02,-0.09,0.13,0.765
"diff_neis",-0.05,-0.46,0.35,0.797
"trial_armPlacebo:diff_neis",0.28,-0.29,0.84,0.334
