"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.06,0,0.13,0.056
"trial_armAZM",-0.05,-0.14,0.05,0.333
"dif_strep",-0.11,-0.52,0.31,0.62
"trial_armAZM:dif_strep",0.8,0.2,1.41,0.009
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.06,0,0.13,0.064
"trial_armAZM",-0.04,-0.14,0.05,0.36
"diff_prev",-0.37,-0.94,0.19,0.198
"trial_armAZM:diff_prev",0.41,-0.4,1.22,0.324
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.07,0,0.13,0.051
"trial_armAZM",-0.05,-0.14,0.04,0.302
"diff_haem",-0.03,-0.24,0.19,0.81
"trial_armAZM:diff_haem",-0.04,-0.37,0.29,0.816
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.07,0,0.13,0.05
"trial_armAZM",-0.06,-0.15,0.04,0.238
"dif_morax",0.02,-0.4,0.45,0.909
"trial_armAZM:dif_morax",-1.34,-2.12,-0.56,0.001
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.06,0,0.13,0.059
"trial_armAZM",-0.04,-0.14,0.05,0.348
"diff_neis",0.13,-0.21,0.46,0.457
"trial_armAZM:diff_neis",-0.12,-0.61,0.36,0.623
