"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.05,-0.03,0.13,0.225
"trial_armAZM",-0.02,-0.13,0.09,0.691
"dif_strep",-0.09,-0.57,0.4,0.725
"trial_armAZM:dif_strep",0.76,0.05,1.46,0.035
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.05,-0.03,0.12,0.247
"trial_armAZM",-0.02,-0.13,0.09,0.747
"diff_prev",-0.61,-1.28,0.06,0.076
"trial_armAZM:diff_prev",0.87,-0.09,1.83,0.075
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.05,-0.03,0.13,0.218
"trial_armAZM",-0.03,-0.13,0.08,0.646
"diff_haem",0.01,-0.25,0.26,0.948
"trial_armAZM:diff_haem",-0.1,-0.49,0.29,0.61
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.05,-0.03,0.13,0.193
"trial_armAZM",-0.03,-0.14,0.08,0.593
"dif_morax",0.22,-0.31,0.75,0.411
"trial_armAZM:dif_morax",-0.93,-1.85,-0.01,0.049
"bet","X2.5..","X97.5..","pvalue"
"(Intercept)",0.05,-0.03,0.12,0.251
"trial_armAZM",-0.02,-0.13,0.09,0.765
"diff_neis",0.22,-0.17,0.62,0.263
"trial_armAZM:diff_neis",-0.28,-0.84,0.29,0.334
