"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.31,21.33,29.28,0
"trial_armPlacebo",0.42,-5.19,6.02,0.88
"visitWeek 48",-7.73,-12.07,-3.39,0
"visitWeek 72",-3.89,-8.58,0.82,0.11
"trial_armPlacebo:visitWeek 48",10.31,4.15,16.47,0
"trial_armPlacebo:visitWeek 72",5.24,-1.46,11.92,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.31,21.33,29.28,0
"trial_armPlacebo",0.42,-5.19,6.02,0.88
"visitWeek 48",-7.73,-12.07,-3.39,0
"visitWeek 72",-3.89,-8.58,0.82,0.11
"trial_armPlacebo:visitWeek 48",10.31,4.15,16.47,0
"trial_armPlacebo:visitWeek 72",5.24,-1.46,11.92,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.23,21.03,29.44,0
"trial_armPlacebo",0.4,-5.21,6.02,0.89
"visitWeek 48",-7.72,-12.06,-3.38,0
"visitWeek 72",-3.88,-8.58,0.83,0.11
"adherenceNot Adherent",0.28,-4.88,5.44,0.92
"trial_armPlacebo:visitWeek 48",10.31,4.15,16.48,0
"trial_armPlacebo:visitWeek 72",5.24,-1.45,11.93,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",26.85,21.55,32.13,0
"trial_armPlacebo",0.43,-5.17,6.03,0.88
"visitWeek 48",-7.71,-12.06,-3.37,0
"visitWeek 72",-3.84,-8.54,0.87,0.11
"siteZimbabwe",-2.21,-7.21,2.81,0.39
"trial_armPlacebo:visitWeek 48",10.32,4.16,16.49,0
"trial_armPlacebo:visitWeek 72",5.26,-1.44,11.95,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.86,4.76,26.96,0.01
"trial_armPlacebo",-0.04,-5.66,5.57,0.99
"visitWeek 48",-8.31,-12.7,-3.92,0
"visitWeek 72",-4.75,-9.54,0.05,0.05
"agey",0.65,-0.06,1.36,0.08
"trial_armPlacebo:visitWeek 48",10.32,4.16,16.48,0
"trial_armPlacebo:visitWeek 72",5.27,-1.42,11.95,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",28.59,23.97,33.2,0
"trial_armPlacebo",0.14,-5.43,5.71,0.96
"visitWeek 48",-7.64,-11.99,-3.3,0
"visitWeek 72",-3.8,-8.49,0.91,0.11
"sexmale",-6.18,-10.69,-1.67,0.01
"trial_armPlacebo:visitWeek 48",10.21,4.05,16.37,0
"trial_armPlacebo:visitWeek 72",5.27,-1.42,11.96,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25,20.82,29.18,0
"trial_armPlacebo",0.38,-5.22,5.98,0.89
"visitWeek 48",-7.7,-12.05,-3.35,0
"visitWeek 72",-3.96,-8.68,0.76,0.1
"colmonthgp_mal2Nov-Apr-Rainy",0.69,-2.25,3.63,0.65
"trial_armPlacebo:visitWeek 48",10.34,4.17,16.52,0
"trial_armPlacebo:visitWeek 72",5,-1.71,11.7,0.15
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.32,20.78,29.85,0
"trial_armPlacebo",0.5,-5.08,6.09,0.86
"visitWeek 48",-7.72,-12.07,-3.38,0
"visitWeek 72",-3.88,-8.57,0.84,0.11
"f24mrcscore_baseline2",-1.32,-6.17,3.52,0.6
"f24mrcscore_baseline3",2.04,-7.4,11.47,0.67
"f24mrcscore_baseline4",3.98,-9.54,17.49,0.57
"f24mrcscore_baseline5",30.26,-1.64,62.16,0.07
"trial_armPlacebo:visitWeek 48",10.4,4.23,16.57,0
"trial_armPlacebo:visitWeek 72",5.32,-1.39,12.01,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",13.17,7.16,19.21,0
"trial_armPlacebo",0.42,-5.03,5.87,0.88
"visitWeek 48",-7.03,-11.46,-2.61,0
"visitWeek 72",-3.81,-8.62,1.01,0.12
"fev1z",-6.06,-8.35,-3.75,0
"trial_armPlacebo:visitWeek 48",9.72,3.41,16.03,0
"trial_armPlacebo:visitWeek 72",5.81,-1.03,12.64,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",28.51,20.73,36.28,0
"trial_armPlacebo",0.6,-5.08,6.28,0.84
"visitWeek 48",-7.7,-12.14,-3.26,0
"visitWeek 72",-3.72,-8.58,1.15,0.14
"FVC",-1.58,-5.09,1.94,0.38
"trial_armPlacebo:visitWeek 48",10.48,4.21,16.75,0
"trial_armPlacebo:visitWeek 72",4.85,-1.98,11.67,0.17
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.89,14.53,25.28,0
"trial_armPlacebo",0.48,-5.12,6.09,0.87
"visitWeek 48",-7.61,-12.01,-3.21,0
"visitWeek 72",-4.04,-8.82,0.75,0.1
"FVCZ",-3.2,-5.26,-1.13,0
"trial_armPlacebo:visitWeek 48",10.27,3.99,16.55,0
"trial_armPlacebo:visitWeek 72",4.89,-1.95,11.71,0.16
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.5,19.37,27.64,0
"trial_armPlacebo",0.2,-5.39,5.79,0.95
"visitWeek 48",-7.99,-12.39,-3.6,0
"visitWeek 72",-4.29,-9.08,0.51,0.08
"FEV1FVCZ",-2.99,-4.78,-1.19,0
"trial_armPlacebo:visitWeek 48",10.25,3.96,16.54,0
"trial_armPlacebo:visitWeek 72",5.32,-1.53,12.17,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",45.8,32.26,59.28,0
"trial_armPlacebo",0.46,-5.14,6.06,0.87
"visitWeek 48",-7.61,-12,-3.21,0
"visitWeek 72",-4.06,-8.84,0.73,0.1
"FVCpcpred",-0.26,-0.43,-0.09,0
"trial_armPlacebo:visitWeek 48",10.27,3.99,16.55,0
"trial_armPlacebo:visitWeek 72",4.9,-1.93,11.74,0.16
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",58.07,45.02,71.01,0
"trial_armPlacebo",0.44,-5.01,5.89,0.88
"visitWeek 48",-7.05,-11.47,-2.62,0
"visitWeek 72",-3.82,-8.63,1,0.12
"FEVpcpred",-0.45,-0.61,-0.28,0
"trial_armPlacebo:visitWeek 48",9.72,3.41,16.03,0
"trial_armPlacebo:visitWeek 72",5.82,-1.02,12.66,0.1
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",24.78,20.27,29.28,0
"trial_armPlacebo",0.51,-5.11,6.13,0.86
"visitWeek 48",-7.77,-12.15,-3.4,0
"visitWeek 72",-4.03,-8.76,0.71,0.1
"zbmiuk",-0.45,-2.26,1.34,0.62
"trial_armPlacebo:visitWeek 48",10.13,3.91,16.36,0
"trial_armPlacebo:visitWeek 72",5.45,-1.3,12.19,0.11
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.4,20.17,30.63,0
"trial_armPlacebo",0.41,-5.2,6.02,0.89
