"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.72,21.77,29.67,0
"trial_armAZM",-0.42,-6.02,5.19,0.88
"visitWeek 48",2.58,-1.79,6.95,0.25
"visitWeek 72",1.35,-3.41,6.11,0.58
"trial_armAZM:visitWeek 48",-10.31,-16.47,-4.15,0
"trial_armAZM:visitWeek 72",-5.24,-11.92,1.46,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.72,21.77,29.67,0
"trial_armAZM",-0.42,-6.02,5.19,0.88
"visitWeek 48",2.58,-1.79,6.95,0.25
"visitWeek 72",1.35,-3.41,6.11,0.58
"trial_armAZM:visitWeek 48",-10.31,-16.47,-4.15,0
"trial_armAZM:visitWeek 72",-5.24,-11.92,1.46,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",25.63,21.35,29.91,0
"trial_armAZM",-0.4,-6.02,5.21,0.89
"visitWeek 48",2.59,-1.78,6.97,0.25
"visitWeek 72",1.37,-3.4,6.14,0.58
"adherenceNot Adherent",0.28,-4.88,5.44,0.92
"trial_armAZM:visitWeek 48",-10.31,-16.48,-4.15,0
"trial_armAZM:visitWeek 72",-5.24,-11.93,1.45,0.13
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",27.28,21.99,32.56,0
"trial_armAZM",-0.43,-6.03,5.17,0.88
"visitWeek 48",2.61,-1.76,6.98,0.24
"visitWeek 72",1.42,-3.35,6.19,0.56
"siteZimbabwe",-2.21,-7.21,2.81,0.39
"trial_armAZM:visitWeek 48",-10.32,-16.49,-4.16,0
"trial_armAZM:visitWeek 72",-5.26,-11.95,1.44,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.81,4.25,27.38,0.01
"trial_armAZM",0.04,-5.57,5.66,0.99
"visitWeek 48",2.01,-2.41,6.42,0.37
"visitWeek 72",0.52,-4.32,5.37,0.83
"agey",0.65,-0.06,1.36,0.08
"trial_armAZM:visitWeek 48",-10.32,-16.48,-4.16,0
"trial_armAZM:visitWeek 72",-5.27,-11.95,1.42,0.12
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",28.72,24.23,33.21,0
"trial_armAZM",-0.14,-5.71,5.43,0.96
"visitWeek 48",2.57,-1.8,6.94,0.25
"visitWeek 72",1.48,-3.28,6.24,0.54
"sexmale",-6.18,-10.69,-1.67,0.01
"trial_armAZM:visitWeek 48",-10.21,-16.37,-4.05,0
