"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.07,15.69,20.44,0
"trial_armAZM",1.42,-1.96,4.79,0.41
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.29,-0.93,5.52,0.17
"trial_armAZM:visitWeek 48",1.54,-2.66,5.74,0.47
"trial_armAZM:visitWeek 72",2.08,-2.47,6.61,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.07,15.69,20.44,0
"trial_armAZM",1.42,-1.96,4.79,0.41
"visitWeek 48",-0.5,-3.47,2.48,0.74
"visitWeek 72",2.29,-0.93,5.52,0.17
"trial_armAZM:visitWeek 48",1.54,-2.66,5.74,0.47
"trial_armAZM:visitWeek 72",2.08,-2.47,6.61,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.62,16.07,21.17,0
"trial_armAZM",1.32,-2.06,4.69,0.45
"visitWeek 48",-0.6,-3.58,2.38,0.69
"visitWeek 72",2.17,-1.06,5.4,0.19
"adherenceNot Adherent",-1.72,-4.6,1.16,0.24
"trial_armAZM:visitWeek 48",1.58,-2.62,5.77,0.46
"trial_armAZM:visitWeek 72",2.13,-2.42,6.66,0.36
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16,12.93,19.07,0
"trial_armAZM",1.43,-1.93,4.8,0.41
"visitWeek 48",-0.55,-3.52,2.43,0.72
"visitWeek 72",2.17,-1.06,5.4,0.19
"siteZimbabwe",2.93,0.15,5.7,0.04
"trial_armAZM:visitWeek 48",1.56,-2.64,5.76,0.47
"trial_armAZM:visitWeek 72",2.11,-2.45,6.64,0.36
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.61,13.11,26.11,0
"trial_armAZM",1.34,-2.05,4.73,0.44
"visitWeek 48",-0.41,-3.4,2.59,0.79
"visitWeek 72",2.42,-0.84,5.68,0.15
"agey",-0.1,-0.5,0.29,0.62
"trial_armAZM:visitWeek 48",1.54,-2.66,5.74,0.47
"trial_armAZM:visitWeek 72",2.09,-2.46,6.62,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.56,12.92,18.19,0
"trial_armAZM",1.21,-2.12,4.54,0.48
"visitWeek 48",-0.46,-3.43,2.52,0.76
"visitWeek 72",2.17,-1.05,5.39,0.19
"sexmale",5.14,2.68,7.6,0
"trial_armAZM:visitWeek 48",1.4,-2.8,5.59,0.52
"trial_armAZM:visitWeek 72",2.09,-2.46,6.61,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.35,15.84,20.86,0
"trial_armAZM",1.42,-1.96,4.79,0.41
"visitWeek 48",-0.51,-3.49,2.47,0.74
"visitWeek 72",2.5,-0.75,5.76,0.13
"colmonthgp_mal2Nov-Apr-Rainy",-0.65,-2.59,1.3,0.52
"trial_armAZM:visitWeek 48",1.53,-2.67,5.73,0.48
"trial_armAZM:visitWeek 72",1.95,-2.61,6.49,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",19.09,16.48,21.7,0
"trial_armAZM",1.51,-1.85,4.88,0.38
"visitWeek 48",-0.55,-3.52,2.43,0.72
"visitWeek 72",2.23,-0.99,5.47,0.18
"f24mrcscore_baseline2",-2.36,-5.04,0.32,0.09
"f24mrcscore_baseline3",-0.86,-6.12,4.41,0.75
"f24mrcscore_baseline4",-3.18,-10.77,4.41,0.42
"f24mrcscore_baseline5",-11.75,-29.75,6.25,0.2
"trial_armAZM:visitWeek 48",1.61,-2.59,5.81,0.45
"trial_armAZM:visitWeek 72",2.12,-2.45,6.65,0.36
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",23.76,20.15,27.35,0
"trial_armAZM",1.45,-1.88,4.78,0.4
"visitWeek 48",-0.35,-3.39,2.69,0.82
"visitWeek 72",2.36,-0.9,5.63,0.16
"fev1z",2.85,1.48,4.21,0
"trial_armAZM:visitWeek 48",0.95,-3.32,5.21,0.66
"trial_armAZM:visitWeek 72",2.1,-2.52,6.7,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",12.47,7.79,17.16,0
"trial_armAZM",2.04,-1.37,5.45,0.24
"visitWeek 48",-0.51,-3.59,2.57,0.75
"visitWeek 72",2.51,-0.83,5.85,0.14
"FVC",2.6,0.63,4.57,0.01
"trial_armAZM:visitWeek 48",1.02,-3.29,5.31,0.64
"trial_armAZM:visitWeek 72",1.34,-3.33,5.99,0.57
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",20.47,17.27,23.66,0
"trial_armAZM",1.71,-1.69,5.1,0.33
"visitWeek 48",-0.15,-3.21,2.92,0.92
"visitWeek 72",3.04,-0.27,6.36,0.07
"FVCZ",1.55,0.32,2.78,0.01
"trial_armAZM:visitWeek 48",0.98,-3.32,5.27,0.66
"trial_armAZM:visitWeek 72",1.45,-3.21,6.1,0.54
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.87,16.36,21.38,0
"trial_armAZM",1.58,-1.81,4.97,0.36
"visitWeek 48",0.06,-3.02,3.13,0.97
"visitWeek 72",2.97,-0.35,6.3,0.08
"FEV1FVCZ",1.48,0.41,2.53,0.01
"trial_armAZM:visitWeek 48",0.93,-3.39,5.23,0.67
"trial_armAZM:visitWeek 72",1.65,-3.02,6.31,0.49
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",7.83,-0.26,15.94,0.06
"trial_armAZM",1.7,-1.7,5.09,0.33
"visitWeek 48",-0.16,-3.22,2.91,0.92
"visitWeek 72",3.04,-0.27,6.36,0.07
"FVCpcpred",0.13,0.03,0.23,0.01
"trial_armAZM:visitWeek 48",0.98,-3.32,5.27,0.66
"trial_armAZM:visitWeek 72",1.46,-3.21,6.11,0.54
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.69,-5.03,10.44,0.5
"trial_armAZM",1.46,-1.88,4.79,0.39
"visitWeek 48",-0.35,-3.38,2.69,0.82
"visitWeek 72",2.36,-0.9,5.63,0.16
"FEVpcpred",0.21,0.11,0.31,0
"trial_armAZM:visitWeek 48",0.95,-3.32,5.21,0.66
"trial_armAZM:visitWeek 72",2.11,-2.51,6.71,0.37
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.78,15.2,20.36,0
"trial_armAZM",1.36,-2.02,4.74,0.43
"visitWeek 48",-0.44,-3.45,2.57,0.77
"visitWeek 72",2.47,-0.77,5.72,0.14
"zbmiuk",-0.29,-1.33,0.75,0.58
"trial_armAZM:visitWeek 48",1.45,-2.78,5.68,0.5
"trial_armAZM:visitWeek 72",2.02,-2.55,6.58,0.39
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.62,14.65,20.59,0
"trial_armAZM",1.38,-2,4.76,0.42
"visitWeek 48",-0.42,-3.43,2.59,0.79
"visitWeek 72",2.51,-0.73,5.75,0.13
"zwauk",-0.22,-1.08,0.65,0.62
"trial_armAZM:visitWeek 48",1.44,-2.79,5.67,0.51
"trial_armAZM:visitWeek 72",2.01,-2.56,6.56,0.39
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.61,15.36,21.85,0
"trial_armAZM",1.45,-1.93,4.83,0.4
"visitWeek 48",-0.49,-3.51,2.52,0.75
"visitWeek 72",2.47,-0.78,5.72,0.14
"zhauk",0.27,-0.82,1.35,0.63
"trial_armAZM:visitWeek 48",1.45,-2.78,5.67,0.5
"trial_armAZM:visitWeek 72",1.97,-2.6,6.52,0.4
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",17.61,14.51,20.7,0
"trial_armAZM",1.51,-1.74,4.76,0.37
"visitWeek 48",-0.36,-3.04,2.33,0.79
"cd4",0,0,0,0.67
"trial_armAZM:visitWeek 48",1.52,-2.27,5.31,0.43
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",18.22,15.91,20.54,0
