"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.29,7.83,10.75,0
"trial_armPlacebo",0.43,-1.63,2.48,0.68
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.29,7.83,10.75,0
"trial_armPlacebo",0.43,-1.63,2.48,0.68
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.3,7.76,10.83,0
"trial_armPlacebo",0.43,-1.63,2.49,0.68
"visitWeek 48",0.68,-1.07,2.44,0.45
"visitWeek 72",-0.95,-2.84,0.94,0.33
"adherenceNot Adherent",-0.03,-1.82,1.76,0.97
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.63,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",8.14,6.25,10.03,0
"trial_armPlacebo",0.42,-1.63,2.47,0.69
"visitWeek 48",0.67,-1.09,2.42,0.46
"visitWeek 72",-0.99,-2.89,0.9,0.31
"siteZimbabwe",1.64,-0.09,3.37,0.06
"trial_armPlacebo:visitWeek 48",-2.28,-4.77,0.21,0.07
"trial_armPlacebo:visitWeek 72",-0.09,-2.78,2.6,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",10.06,6.19,13.93,0
"trial_armPlacebo",0.47,-1.6,2.53,0.66
"visitWeek 48",0.73,-1.04,2.5,0.42
"visitWeek 72",-0.88,-2.8,1.04,0.37
"agey",-0.05,-0.3,0.19,0.68
"trial_armPlacebo:visitWeek 48",-2.27,-4.76,0.22,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.62,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.52,7.84,11.2,0
"trial_armPlacebo",0.41,-1.65,2.46,0.7
"visitWeek 48",0.69,-1.06,2.44,0.44
"visitWeek 72",-0.94,-2.83,0.95,0.33
"sexmale",-0.43,-2,1.14,0.59
"trial_armPlacebo:visitWeek 48",-2.28,-4.77,0.21,0.07
"trial_armPlacebo:visitWeek 72",-0.06,-2.75,2.63,0.97
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.16,7.61,10.71,0
"trial_armPlacebo",0.44,-1.61,2.5,0.67
"visitWeek 48",0.69,-1.06,2.45,0.44
"visitWeek 72",-0.98,-2.88,0.91,0.31
"colmonthgp_mal2Nov-Apr-Rainy",0.28,-0.88,1.45,0.63
"trial_armPlacebo:visitWeek 48",-2.29,-4.78,0.2,0.07
"trial_armPlacebo:visitWeek 72",-0.03,-2.73,2.66,0.98
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.17,7.53,10.8,0
"trial_armPlacebo",0.38,-1.67,2.43,0.72
"visitWeek 48",0.68,-1.08,2.43,0.45
"visitWeek 72",-0.96,-2.85,0.93,0.32
"f24mrcscore_baseline2",0.98,-0.69,2.65,0.25
"f24mrcscore_baseline3",-1.62,-4.89,1.65,0.33
"f24mrcscore_baseline4",-1.76,-6.47,2.95,0.47
"f24mrcscore_baseline5",-8.88,-20.03,2.26,0.12
"trial_armPlacebo:visitWeek 48",-2.29,-4.78,0.2,0.07
"trial_armPlacebo:visitWeek 72",-0.07,-2.76,2.62,0.96
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",11.16,8.92,13.4,0
"trial_armPlacebo",0.42,-1.63,2.48,0.69
"visitWeek 48",0.53,-1.25,2.31,0.56
"visitWeek 72",-0.89,-2.82,1.05,0.37
"fev1z",0.93,0.08,1.78,0.03
"trial_armPlacebo:visitWeek 48",-2.14,-4.67,0.4,0.1
"trial_armPlacebo:visitWeek 72",-0.21,-2.96,2.53,0.88
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.71,6.94,12.49,0
"trial_armPlacebo",0.51,-1.58,2.6,0.64
"visitWeek 48",0.77,-1.02,2.55,0.4
"visitWeek 72",-0.71,-2.66,1.24,0.48
"FVC",-0.25,-1.5,0.98,0.69
"trial_armPlacebo:visitWeek 48",-2.3,-4.82,0.23,0.08
"trial_armPlacebo:visitWeek 72",-0.11,-2.85,2.63,0.94
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.87,7.88,11.85,0
"trial_armPlacebo",0.46,-1.62,2.54,0.67
"visitWeek 48",0.67,-1.1,2.44,0.46
"visitWeek 72",-0.78,-2.71,1.14,0.43
"FVCZ",0.36,-0.4,1.12,0.35
"trial_armPlacebo:visitWeek 48",-2.25,-4.78,0.28,0.08
"trial_armPlacebo:visitWeek 72",-0.09,-2.83,2.65,0.95
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",9.57,8.03,11.1,0
"trial_armPlacebo",0.5,-1.58,2.57,0.64
"visitWeek 48",0.71,-1.06,2.48,0.44
"visitWeek 72",-0.74,-2.66,1.18,0.45
"FEV1FVCZ",0.5,-0.16,1.16,0.14
"trial_armPlacebo:visitWeek 48",-2.23,-4.76,0.3,0.09
"trial_armPlacebo:visitWeek 72",-0.16,-2.91,2.58,0.91
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",6.98,2.01,11.98,0.01
"trial_armPlacebo",0.46,-1.62,2.54,0.67
"visitWeek 48",0.67,-1.1,2.44,0.46
