"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.99,14.24,17.74,0
"trial_armAZM",-0.36,-2.84,2.13,0.78
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.94,-3.49,1.61,0.47
"trial_armAZM:visitWeek 48",4.52,1.19,7.86,0.01
"trial_armAZM:visitWeek 72",0.94,-2.65,4.52,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.99,14.24,17.74,0
"trial_armAZM",-0.36,-2.84,2.13,0.78
"visitWeek 48",-0.58,-2.94,1.78,0.63
"visitWeek 72",-0.94,-3.49,1.61,0.47
"trial_armAZM:visitWeek 48",4.52,1.19,7.86,0.01
"trial_armAZM:visitWeek 72",0.94,-2.65,4.52,0.61
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",15.67,13.81,17.53,0
"trial_armAZM",-0.3,-2.78,2.19,0.81
"visitWeek 48",-0.51,-2.88,1.86,0.67
"visitWeek 72",-0.85,-3.4,1.71,0.52
"adherenceNot Adherent",0.98,-1,2.95,0.33
"trial_armAZM:visitWeek 48",4.5,1.16,7.84,0.01
"trial_armAZM:visitWeek 72",0.9,-2.68,4.49,0.62
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",16.97,14.76,19.18,0
"trial_armAZM",-0.36,-2.85,2.12,0.77
"visitWeek 48",-0.55,-2.91,1.81,0.65
"visitWeek 72",-0.86,-3.41,1.69,0.51
"siteZimbabwe",-1.39,-3.31,0.52,0.16
"trial_armAZM:visitWeek 48",4.5,1.18,7.84,0.01
"trial_armAZM:visitWeek 72",0.91,-2.67,4.49,0.62
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",20.38,15.92,24.83,0
"trial_armAZM",-0.57,-3.05,1.92,0.66
"visitWeek 48",-0.33,-2.7,2.05,0.79
"visitWeek 72",-0.59,-3.16,1.98,0.65
"agey",-0.29,-0.55,-0.02,0.04
"trial_armAZM:visitWeek 48",4.53,1.2,7.87,0.01
"trial_armAZM:visitWeek 72",0.97,-2.62,4.55,0.6
"beta","X2.5..","X97.5..","pvalue"
