"","beta","2.5 %","97.5 %","pvalue"
"(Intercept)",6.02,-2.68,14.74,0.19
"trial_armAZM",-0.88,-3.01,1.26,0.43
"visitWeek 48",-1.77,-3.61,0.07,0.06
"visitWeek 72",-1.22,-3.21,0.76,0.23
"adherenceNot Adherent",0.55,-1.47,2.6,0.61
"siteZimbabwe",3.29,0.81,5.79,0.01
"agegpenrl_baselinea6-9y",2.12,-3.03,7.31,0.44
"agegpenrl_baselineb10-12y",1.59,-2.17,5.39,0.43
"agegpenrl_baselinec13-16y",1.49,-0.89,3.87,0.24
"sexmale",-0.31,-1.95,1.32,0.72
"colmonthgp_mal2Nov-Apr-Rainy",0.43,-0.79,1.63,0.49
"f24mrcscore_baseline2",2.26,0.35,4.2,0.03
"f24mrcscore_baseline3",0.43,-3.57,4.47,0.84
"f24mrcscore_baseline4",0.94,-4.57,6.52,0.75
"f24mrcscore_baseline5",-4.36,-23.25,14.51,0.66
"fev1z",0.89,0,1.85,0.06
"normalhaz_baseline<-2",0.17,-1.5,1.85,0.85
"acut_exac12myes",0.21,-2.18,2.62,0.87
"f11cotri_baselineyes",-1.38,-4.04,1.25,0.32
"duryartgp_baselineb2-<4y",0.15,-3.24,3.55,0.93
"duryartgp_baselinec4y-<6y",0.73,-2.82,4.26,0.7
"duryartgp_baselined6y+",1.16,-3.3,5.64,0.62
"vlenrlsup_baseline>=1000 copies",-0.3,-1.96,1.4,0.74
"artdrug2ndline_baselineyes",-0.74,-2.74,1.26,0.48
"f14adm_baselineyes",-2.02,-9.98,6,0.63
"f16tbtreat_baselineyes",-0.12,-2,1.78,0.9
"ageyart_baseline",0.2,-0.26,0.67,0.41
"trial_armAZM:visitWeek 48",2.45,-0.14,5.03,0.07
"trial_armAZM:visitWeek 72",0.64,-2.14,3.44,0.65
