"","beta","2.5 %","97.5 %","pvalue"
"(Intercept)",23.68,14.5,32.96,0
"trial_armPlacebo",-0.08,-2.59,2.42,0.95
"visitWeek 48",3.76,1.41,6.17,0
"visitWeek 72",-0.3,-2.87,2.29,0.82
"adherenceNot Adherent",0.84,-1.33,3.04,0.46
"siteZimbabwe",-0.69,-3.3,1.94,0.62
"agegpenrl_baselinea6-9y",-1.82,-7.36,3.64,0.53
"agegpenrl_baselineb10-12y",0.08,-3.97,4.09,0.97
"agegpenrl_baselinec13-16y",-0.7,-3.24,1.81,0.6
"sexmale",0.21,-1.54,1.94,0.82
"colmonthgp_mal2Nov-Apr-Rainy",1.16,-0.36,2.68,0.14
"f24mrcscore_baseline2",0.12,-1.92,2.16,0.91
"f24mrcscore_baseline3",-2.73,-7.05,1.55,0.23
"f24mrcscore_baseline4",1.91,-4.16,7.87,0.55
"f24mrcscore_baseline5",14.65,-8.25,37.41,0.22
"fev1z",1.17,0.13,2.19,0.03
"normalhaz_baseline<-2",1.38,-0.39,3.16,0.14
"hospitalised12myes",8.48,2.68,14.38,0.01
"f11cotri_baselineyes",0.03,-2.74,2.82,0.98
"duryartgp_baselineb2-<4y",-2.45,-6.09,1.17,0.2
"duryartgp_baselinec4y-<6y",-2.4,-6.2,1.34,0.23
"duryartgp_baselined6y+",-3.29,-8.09,1.43,0.19
"vlenrlsup_baseline>=1000 copies",-0.11,-1.89,1.69,0.9
"artdrug2ndline_baselineyes",1.48,-0.6,3.59,0.18
"f14adm_baselineyes",1,-7.99,10.01,0.83
"f16tbtreat_baselineyes",-0.8,-2.8,1.19,0.45
"ageyart_baseline",-0.44,-0.94,0.06,0.1
"trial_armPlacebo:visitWeek 48",-3.88,-7.27,-0.52,0.03
"trial_armPlacebo:visitWeek 72",-1.2,-4.82,2.41,0.52
