"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.75,2.62,2.87,0
"trial_armAZM",-0.01,-0.19,0.17,0.937
"visitWeek 48",-0.23,-0.38,-0.09,0.001
"visitWeek 72",-0.19,-0.35,-0.03,0.017
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.006
"trial_armAZM:visitWeek 72",0.21,-0.01,0.42,0.068
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.75,2.62,2.87,0
"trial_armAZM",-0.01,-0.19,0.17,0.937
"visitWeek 48",-0.23,-0.38,-0.09,0.001
"visitWeek 72",-0.19,-0.35,-0.03,0.017
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.006
"trial_armAZM:visitWeek 72",0.21,-0.01,0.42,0.068
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.74,2.61,2.88,0
"trial_armAZM",-0.01,-0.18,0.17,0.945
"visitWeek 48",-0.23,-0.38,-0.09,0.002
"visitWeek 72",-0.19,-0.35,-0.03,0.018
"adherenceNot Adherent",0.02,-0.15,0.18,0.852
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.006
"trial_armAZM:visitWeek 72",0.2,-0.01,0.42,0.068
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.7,2.53,2.87,0
"trial_armAZM",-0.01,-0.19,0.17,0.941
"visitWeek 48",-0.24,-0.38,-0.09,0.001
"visitWeek 72",-0.19,-0.35,-0.04,0.016
"siteZimbabwe",0.07,-0.09,0.23,0.395
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.006
"trial_armAZM:visitWeek 72",0.21,-0.01,0.43,0.067
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.05,2.69,3.41,0
"trial_armAZM",-0.02,-0.2,0.16,0.816
"visitWeek 48",-0.22,-0.36,-0.07,0.003
"visitWeek 72",-0.17,-0.32,-0.01,0.042
"agey",-0.02,-0.04,0,0.085
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.005
"trial_armAZM:visitWeek 72",0.21,-0.01,0.43,0.066
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.68,2.54,2.83,0
"trial_armAZM",-0.01,-0.19,0.16,0.884
"visitWeek 48",-0.23,-0.38,-0.09,0.001
"visitWeek 72",-0.19,-0.35,-0.04,0.016
"sexmale",0.14,-0.01,0.28,0.06
"trial_armAZM:visitWeek 48",0.29,0.08,0.49,0.006
"trial_armAZM:visitWeek 72",0.21,-0.01,0.43,0.066
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.78,2.64,2.91,0
"trial_armAZM",-0.01,-0.18,0.17,0.943
"visitWeek 48",-0.24,-0.38,-0.09,0.001
"visitWeek 72",-0.18,-0.33,-0.02,0.029
"colmonthgp_mal2Nov-Apr-Rainy",-0.06,-0.16,0.03,0.2
"trial_armAZM:visitWeek 48",0.29,0.08,0.49,0.006
"trial_armAZM:visitWeek 72",0.2,-0.02,0.42,0.078
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",2.76,2.57,2.95,0
"trial_armAZM",-0.01,-0.19,0.17,0.944
"visitWeek 48",-0.23,-0.38,-0.09,0.001
"visitWeek 72",-0.19,-0.35,-0.03,0.017
"f24mrcscore_baseline",-0.01,-0.1,0.08,0.871
"trial_armAZM:visitWeek 48",0.29,0.09,0.49,0.006
"trial_armAZM:visitWeek 72",0.21,-0.01,0.42,0.068
"beta","X2.5..","X97.5..","pvalue"
"(Intercept)",3.18,2.99,3.37,0
"trial_armAZM",-0.01,-0.18,0.17,0.939
"visitWeek 48",-0.25,-0.39,-0.1,0.001
