"","beta","2.5 %","97.5 %","pvalue"
"(Intercept)",2.7,2.2,3.19,0
"trial_armPlacebo",0.04,-0.14,0.21,0.692
"visitWeek 48",0.03,-0.12,0.18,0.676
"visitWeek 72",0.06,-0.1,0.22,0.495
"adherenceNot Adherent",0.06,-0.11,0.24,0.471
"siteZimbabwe",0.25,0.04,0.45,0.021
"agegpenrl_baselinea6-9y",-0.01,-0.27,0.25,0.946
"agegpenrl_baselineb10-12y",0.16,-0.04,0.38,0.136
"agegpenrl_baselinec13-16y",0.03,-0.13,0.19,0.745
"sexmale",0.12,-0.02,0.26,0.097
"colmonthgp_mal2Nov-Apr-Rainy",-0.09,-0.19,0.01,0.072
"f24mrcscore_baseline",0.13,0.02,0.25,0.025
"fev1z",0.19,0.12,0.27,0
"normalhaz_regstunted",0.08,-0.06,0.22,0.261
"any3_reasons1yes",-0.16,-0.35,0.03,0.099
"abnhrAbnormal HR",-0.11,-0.33,0.11,0.334
"f11cotri_baselineyes",-0.12,-0.34,0.11,0.319
"duryartgp_baselineb2-<4y",0.17,-0.11,0.45,0.256
"duryartgp_baselinec4y-<6y",0.1,-0.17,0.37,0.484
"duryartgp_baselined6y+",0.12,-0.12,0.37,0.336
"f14adm_baselineyes",0.43,-0.22,1.09,0.215
"vlsup_regUnsuppresed",-0.05,-0.19,0.09,0.489
"f16tbtreat_baselineyes",-0.2,-0.35,-0.04,0.015
"trial_armPlacebo:visitWeek 48",-0.27,-0.48,-0.06,0.012
"trial_armPlacebo:visitWeek 72",-0.22,-0.45,0,0.053
