,Genus,position,variable,q.value
1,Abiotrophia,Position 1,TSS_WMW,0.047867002
2,Acinetobacter,Position 2,TSS_WMW,0.047867002
3,Actinomyces,Position 3,TSS_WMW,0.006141925
4,Aggregatibacter,Position 4,TSS_WMW,0.000109204
5,Alloprevotella,Position 5,TSS_WMW,NA
6,Amnipila,Position 6,TSS_WMW,0.047867002
7,Atopobium,Position 7,TSS_WMW,0.0064286
8,Candidatus_Saccharimonas,Position 8,TSS_WMW,0.002690305
9,Capnocytophaga,Position 9,TSS_WMW,0.003534633
10,Comamonas,Position 10,TSS_WMW,NA
11,Corynebacterium,Position 11,TSS_WMW,NA
12,Defluviitaleaceae_UCG-011,Position 12,TSS_WMW,0.003534633
13,F0058 (Paludibacteraceae),Position 13,TSS_WMW,1.11E-05
14,Filifactor,Position 14,TSS_WMW,0.029599378
15,Fretibacterium,Position 15,TSS_WMW,NA
16,Fusobacterium,Position 16,TSS_WMW,NA
17,Gemella,Position 17,TSS_WMW,0.008296338
18,Granulicatella,Position 18,TSS_WMW,0.000765103
19,Haemophilus,Position 19,TSS_WMW,0.003187089
20,Lachnoanaerobaculum,Position 20,TSS_WMW,NA
21,Lautropia,Position 21,TSS_WMW,6.16E-07
22,Lentimicrobium,Position 22,TSS_WMW,0.047867002
23,Moraxella,Position 23,TSS_WMW,8.31E-07
24,Neisseria,Position 24,TSS_WMW,NA
25,Oceanivirga,Position 25,TSS_WMW,0.002690305
26,Oribacterium,Position 26,TSS_WMW,0.001402086
27,Peptoanaerobacter,Position 27,TSS_WMW,0.012335608
28,Peptococcus,Position 28,TSS_WMW,0.021494276
29,Prevotella,Position 29,TSS_WMW,NA
30,Rikenellaceae_RC9_gut_group,Position 30,TSS_WMW,NA
31,Rothia,Position 31,TSS_WMW,0.000167013
32,Shuttleworthia,Position 32,TSS_WMW,0.025892619
33,Streptobacillus,Position 33,TSS_WMW,0.000326342
34,Streptococcus,Position 34,TSS_WMW,0.002267473
35,Treponema,Position 35,TSS_WMW,1.28E-09
36,Veillonella,Position 36,TSS_WMW,2.06E-05
37,ASV_62 (Lachnospiraceae),Position 37,TSS_WMW,0.017781321
38,ASV_187 (Absconditabacteriales_(SR1)),Position 38,TSS_WMW,NA
39,ASV_205 (Clostridia_UCG-014),Position 39,TSS_WMW,0.001159759
40,ASV_209 (Clostridia_UCG-014),Position 40,TSS_WMW,0.027603065
41,ASV_280 (Absconditabacteriales_(SR1)),Position 41,TSS_WMW,0.041472049
42,ASV_307 (Veillonellaceae),Position 42,TSS_WMW,0.021494276
43,ASV_422 (Acholeplasmataceae),Position 43,TSS_WMW,NA
44,ASV_540 (Saccharimonadales),Position 44,TSS_WMW,NA
45,Abiotrophia,Position 1,VST_WMW,NA
46,Acinetobacter,Position 2,VST_WMW,NA
47,Actinomyces,Position 3,VST_WMW,0.010124529
48,Aggregatibacter,Position 4,VST_WMW,4.90E-07
49,Alloprevotella,Position 5,VST_WMW,NA
50,Amnipila,Position 6,VST_WMW,NA
51,Atopobium,Position 7,VST_WMW,NA
52,Candidatus_Saccharimonas,Position 8,VST_WMW,NA
53,Capnocytophaga,Position 9,VST_WMW,0.038756923
54,Comamonas,Position 10,VST_WMW,NA
55,Corynebacterium,Position 11,VST_WMW,NA
56,Defluviitaleaceae_UCG-011,Position 12,VST_WMW,0.041571484
57,F0058 (Paludibacteraceae),Position 13,VST_WMW,0.008782308
58,Filifactor,Position 14,VST_WMW,NA
59,Fretibacterium,Position 15,VST_WMW,NA
60,Fusobacterium,Position 16,VST_WMW,NA
61,Gemella,Position 17,VST_WMW,0.002309344
62,Granulicatella,Position 18,VST_WMW,0.000128922
63,Haemophilus,Position 19,VST_WMW,0.047664517
64,Lachnoanaerobaculum,Position 20,VST_WMW,NA
65,Lautropia,Position 21,VST_WMW,4.90E-07
66,Lentimicrobium,Position 22,VST_WMW,NA
67,Moraxella,Position 23,VST_WMW,2.10E-05
68,Neisseria,Position 24,VST_WMW,NA
69,Oceanivirga,Position 25,VST_WMW,0.011925794
70,Oribacterium,Position 26,VST_WMW,0.002424636
71,Peptoanaerobacter,Position 27,VST_WMW,0.038250014
72,Peptococcus,Position 28,VST_WMW,0.012484903
73,Prevotella,Position 29,VST_WMW,NA
74,Rikenellaceae_RC9_gut_group,Position 30,VST_WMW,NA
75,Rothia,Position 31,VST_WMW,0.000124718
76,Shuttleworthia,Position 32,VST_WMW,NA
77,Streptobacillus,Position 33,VST_WMW,0.000124718
78,Streptococcus,Position 34,VST_WMW,0.000390973
79,Treponema,Position 35,VST_WMW,3.69E-11
80,Veillonella,Position 36,VST_WMW,4.22E-06
81,ASV_62 (Lachnospiraceae),Position 37,VST_WMW,0.000390973
82,ASV_187 (Absconditabacteriales_(SR1)),Position 38,VST_WMW,NA
83,ASV_205 (Clostridia_UCG-014),Position 39,VST_WMW,0.000254065
84,ASV_209 (Clostridia_UCG-014),Position 40,VST_WMW,0.018694773
85,ASV_280 (Absconditabacteriales_(SR1)),Position 41,VST_WMW,NA
86,ASV_307 (Veillonellaceae),Position 42,VST_WMW,NA
87,ASV_422 (Acholeplasmataceae),Position 43,VST_WMW,NA
88,ASV_540 (Saccharimonadales),Position 44,VST_WMW,NA
89,Abiotrophia,Position 1,CLR_WMW,NA
90,Acinetobacter,Position 2,CLR_WMW,NA
91,Actinomyces,Position 3,CLR_WMW,0.006985269
92,Aggregatibacter,Position 4,CLR_WMW,1.79E-06
93,Alloprevotella,Position 5,CLR_WMW,0.042968131
94,Amnipila,Position 6,CLR_WMW,NA
95,Atopobium,Position 7,CLR_WMW,NA
96,Candidatus_Saccharimonas,Position 8,CLR_WMW,NA
97,Capnocytophaga,Position 9,CLR_WMW,NA
98,Comamonas,Position 10,CLR_WMW,NA
99,Corynebacterium,Position 11,CLR_WMW,NA
100,Defluviitaleaceae_UCG-011,Position 12,CLR_WMW,0.028564928
101,F0058 (Paludibacteraceae),Position 13,CLR_WMW,0.020433903
102,Filifactor,Position 14,CLR_WMW,NA
103,Fretibacterium,Position 15,CLR_WMW,NA
104,Fusobacterium,Position 16,CLR_WMW,NA
105,Gemella,Position 17,CLR_WMW,0.00241126
106,Granulicatella,Position 18,CLR_WMW,0.008020704
107,Haemophilus,Position 19,CLR_WMW,0.007213935
108,Lachnoanaerobaculum,Position 20,CLR_WMW,NA
109,Lautropia,Position 21,CLR_WMW,9.40E-07
110,Lentimicrobium,Position 22,CLR_WMW,NA
111,Moraxella,Position 23,CLR_WMW,1.37E-05
112,Neisseria,Position 24,CLR_WMW,NA
113,Oceanivirga,Position 25,CLR_WMW,0.008020704
114,Oribacterium,Position 26,CLR_WMW,0.003093501
115,Peptoanaerobacter,Position 27,CLR_WMW,0.028564928
116,Peptococcus,Position 28,CLR_WMW,0.01671854
117,Prevotella,Position 29,CLR_WMW,NA
118,Rikenellaceae_RC9_gut_group,Position 30,CLR_WMW,NA
119,Rothia,Position 31,CLR_WMW,0.006985269
120,Shuttleworthia,Position 32,CLR_WMW,NA
121,Streptobacillus,Position 33,CLR_WMW,0.000117629
122,Streptococcus,Position 34,CLR_WMW,0.000201396
123,Treponema,Position 35,CLR_WMW,1.79E-06
124,Veillonella,Position 36,CLR_WMW,8.00E-06
125,ASV_62 (Lachnospiraceae),Position 37,CLR_WMW,0.000151959
126,ASV_187 (Absconditabacteriales_(SR1)),Position 38,CLR_WMW,NA
127,ASV_205 (Clostridia_UCG-014),Position 39,CLR_WMW,0.000587751
128,ASV_209 (Clostridia_UCG-014),Position 40,CLR_WMW,0.008020704
129,ASV_280 (Absconditabacteriales_(SR1)),Position 41,CLR_WMW,NA
130,ASV_307 (Veillonellaceae),Position 42,CLR_WMW,NA
131,ASV_422 (Acholeplasmataceae),Position 43,CLR_WMW,NA
132,ASV_540 (Saccharimonadales),Position 44,CLR_WMW,NA
133,Abiotrophia,Position 1,Deseq2,NA
134,Acinetobacter,Position 2,Deseq2,NA
135,Actinomyces,Position 3,Deseq2,NA
136,Aggregatibacter,Position 4,Deseq2,NA
137,Alloprevotella,Position 5,Deseq2,NA
138,Amnipila,Position 6,Deseq2,NA
139,Atopobium,Position 7,Deseq2,NA
140,Candidatus_Saccharimonas,Position 8,Deseq2,0.007477893
141,Capnocytophaga,Position 9,Deseq2,0.00282313
142,Comamonas,Position 10,Deseq2,NA
143,Corynebacterium,Position 11,Deseq2,0.019642139
