,Genus,position,variable,q.value
1,Haemophilus,position 1,TSS_WMW,0.006229325
2,Moraxella,position 2,TSS_WMW,0.006229325
3,Lautropia,position 3,TSS_WMW,0.006229325
4,Alloprevotella,position 4,TSS_WMW,NA
5,Rothia,position 5,TSS_WMW,0.013760865
6,Aggregatibacter,position 6,TSS_WMW,NA
7,ASV_62 (Lachnospiraceae),position 7,TSS_WMW,0.0113686
8,Streptobacillus,position 8,TSS_WMW,0.013760865
9,Oribacterium,position 9,TSS_WMW,0.006229325
10,Stomatobaculum,position 10,TSS_WMW,0.013760865
11,ASV_157 (Absconditabacteriales_(SR1)),position 11,TSS_WMW,0.001614178
12,Treponema,position 12,TSS_WMW,0.013760865
13,ASV_205 (Clostridia_UCG-014),position 13,TSS_WMW,0.000196056
14,ASV_209 (Clostridia_UCG-014),position 14,TSS_WMW,0.000196056
15,F0058 (Paludibacteraceae),position 15,TSS_WMW,0.006229325
16,Peptococcus,position 16,TSS_WMW,0.007666795
17,Actinomyces,position 17,TSS_WMW,NA
18,Veillonella,position 18,TSS_WMW,0.013760865
19,Streptococcus,position 19,TSS_WMW,0.013760865
20,ASV_180 (Carnobacteriaceae),position 20,TSS_WMW,0.015609166
21,ASV_187 (Absconditabacteriales_(SR1)),position 21,TSS_WMW,0.000196056
22,Comamonas,position 22,TSS_WMW,0.022786614
23,Atopobium,position 23,TSS_WMW,0.0113686
24,ASV_383 (Absconditabacteriales_(SR1)),position 24,TSS_WMW,0.0113686
25,Lentimicrobium,position 25,TSS_WMW,0.006229325
26,Peptoanaerobacter,position 26,TSS_WMW,0.006229325
27,Candidatus_Saccharimonas,position 27,TSS_WMW,0.0113686
28,ASV_280 (Absconditabacteriales_(SR1)),position 28,TSS_WMW,0.0113686
29,Amnipila,position 29,TSS_WMW,NA
30,ASV_331 (Anaerovoracaceae),position 30,TSS_WMW,0.0113686
31,ASV_461 (Absconditabacteriales_(SR1)),position 31,TSS_WMW,0.0113686
32,Shuttleworthia,position 32,TSS_WMW,0.013760865
33,TM7x (Saccharimonadaceae),position 33,TSS_WMW,0.013760865
34,ASV_540 (Saccharimonadales),position 34,TSS_WMW,0.0113686
35,Neisseria,position 35,TSS_WMW,0.006229325
36,Mogibacterium,position 36,TSS_WMW,0.006229325
37,Haemophilus,position 1,VST_WMW,0.022073185
38,Moraxella,position 2,VST_WMW,0.004015725
39,Lautropia,position 3,VST_WMW,0.000117197
40,Alloprevotella,position 4,VST_WMW,NA
41,Rothia,position 5,VST_WMW,0.000158021
42,Aggregatibacter,position 6,VST_WMW,2.75E-09
43,ASV_62 (Lachnospiraceae),position 7,VST_WMW,0.00066145
44,Streptobacillus,position 8,VST_WMW,4.81E-05
45,Oribacterium,position 9,VST_WMW,0.013378078
