"","num.reads","ASVs","max.props","detected"
"ASV_3391",2,"ASV_3391",9.53743443013829e-05,1
"ASV_3523",2,"ASV_3523",9.66043568564942e-05,1
"ASV_3540",2,"ASV_3540",0.000116016010209409,1
"ASV_3583",2,"ASV_3583",9.45447669471495e-05,1
"ASV_3429",2,"ASV_3429",0.000100593501659793,1
"ASV_3569",2,"ASV_3569",9.71298139964062e-05,1
"ASV_3414",2,"ASV_3414",0.000188164455734312,1
"ASV_3664",2,"ASV_3664",8.36540070269366e-05,1
"ASV_3455",2,"ASV_3455",0.000122249388753056,1
"ASV_3519",2,"ASV_3519",9.70449803483915e-05,1
"ASV_3611",2,"ASV_3611",0.000141843971631206,1
"ASV_3448",2,"ASV_3448",0.000134616679006529,1
"ASV_3474",2,"ASV_3474",0.000104128703077003,1
"ASV_3527",2,"ASV_3527",0.000145085237577077,1
"ASV_3601",2,"ASV_3601",0.000131053010942926,1
"ASV_3452",2,"ASV_3452",0.000102822476993471,1
"ASV_3575",2,"ASV_3575",0.000157666535277887,1
"ASV_3588",2,"ASV_3588",0.000103637682661416,1
"ASV_3616",2,"ASV_3616",9.979541939025e-05,1
"ASV_3403",2,"ASV_3403",8.26958858796775e-05,1
"ASV_3423",2,"ASV_3423",0.000154261473197069,1
"ASV_3438",2,"ASV_3438",0.000139674558279209,1
"ASV_3576",2,"ASV_3576",0.000113397970176334,1
"ASV_3599",2,"ASV_3599",0.000112277550103857,1
"ASV_3396",2,"ASV_3396",0.000150364634238027,1
"ASV_3426",2,"ASV_3426",0.000121639703199124,1
"ASV_3504",2,"ASV_3504",0.000115035085701139,1
"ASV_3506",2,"ASV_3506",0.000142277868677527,1
"ASV_3514",2,"ASV_3514",0.000150625094140684,1
"ASV_3558",2,"ASV_3558",8.56091088091773e-05,1
"ASV_3584",2,"ASV_3584",0.00012929919834497,1
"ASV_3413",2,"ASV_3413",0.000141884222474461,1
"ASV_3439",2,"ASV_3439",0.000139674558279209,1
"ASV_3490",2,"ASV_3490",0.000102854204165595,1
"ASV_3497",2,"ASV_3497",0.000104728491386082,1
"ASV_3640",2,"ASV_3640",8.18665575112566e-05,1
"ASV_3653",2,"ASV_3653",0.000114889705882353,1
"ASV_3411",2,"ASV_3411",0.000100457079712693,1
"ASV_3412",2,"ASV_3412",0.000108067217809477,1
"ASV_3422",2,"ASV_3422",0.000136156307440942,1
"ASV_3562",2,"ASV_3562",0.000139178844815588,1
"ASV_3628",2,"ASV_3628",0.000144770177343467,1
"ASV_3644",2,"ASV_3644",0.000105563179562968,1
"ASV_3580",2,"ASV_3580",9.8169145437589e-05,1
"ASV_3581",2,"ASV_3581",7.72170958650245e-05,1
"ASV_3373",2,"ASV_3373",6.1986672865334e-05,1
"ASV_3388",2,"ASV_3388",0.000151080223598731,1
"ASV_3400",2,"ASV_3400",0.000141382723031246,1
"ASV_3447",2,"ASV_3447",7.97352788741379e-05,1
"ASV_3467",2,"ASV_3467",0.000121973531743612,1
"ASV_3510",2,"ASV_3510",8.73705823249312e-05,1
"ASV_3516",2,"ASV_3516",0.000123039064903107,1
"ASV_3553",2,"ASV_3553",0.000103551827689759,1
"ASV_3561",2,"ASV_3561",0.000139178844815588,1
"ASV_3567",2,"ASV_3567",0.000157245066436041,1
"ASV_3570",2,"ASV_3570",0.000153633430634506,1
"ASV_3610",2,"ASV_3610",0.000101112234580384,1
"ASV_3612",2,"ASV_3612",7.89920612978396e-05,1
"ASV_3621",2,"ASV_3621",0.000138715494520738,1
"ASV_3643",2,"ASV_3643",0.000121373953149654,1
"ASV_3383",2,"ASV_3383",0.0001132438706755,1
"ASV_3408",2,"ASV_3408",0.000161655350792111,1
"ASV_3468",2,"ASV_3468",9.39275818344057e-05,1
"ASV_3552",2,"ASV_3552",0.000113468739362306,1
"ASV_3559",2,"ASV_3559",0.000118532566822735,1
"ASV_3633",2,"ASV_3633",9.979541939025e-05,1
"ASV_3401",2,"ASV_3401",9.19878576027964e-05,1
"ASV_3596",2,"ASV_3596",6.6482731110594e-05,1
"ASV_3624",2,"ASV_3624",0.000148953600953303,1
"ASV_3385",2,"ASV_3385",0.000148687829901123,1
"ASV_3486",2,"ASV_3486",0.000127064803049555,1
"ASV_3568",2,"ASV_3568",0.000131865233731127,1
"ASV_3577",2,"ASV_3577",0.000113397970176334,1
"ASV_3600",2,"ASV_3600",0.000104405930256839,1
"ASV_3563",2,"ASV_3563",0.000116164256258349,1
"ASV_3593",2,"ASV_3593",0.00010614021121902,1
"ASV_3443",2,"ASV_3443",0.000173596042010242,1
"ASV_3582",2,"ASV_3582",0.000104772382000105,1
"ASV_3517",2,"ASV_3517",0.00012306177701206,1
"ASV_3604",2,"ASV_3604",0.000220580125730672,1
"ASV_3647",2,"ASV_3647",0.000152380952380952,1
"ASV_3566",2,"ASV_3566",8.29806655049374e-05,1
"ASV_3392",2,"ASV_3392",0.000123915737298637,1
"ASV_3557",2,"ASV_3557",9.40556809631302e-05,1
"ASV_3565",2,"ASV_3565",0.00012388503468781,1
"ASV_3509",2,"ASV_3509",0.00013204806549584,1
"ASV_3602",2,"ASV_3602",0.000131053010942926,1
"ASV_3549",2,"ASV_3549",0.000101543460601137,1
"ASV_3472",2,"ASV_3472",0.000115280419620727,1
"ASV_3481",2,"ASV_3481",0.00010660412557966,1
"ASV_3384",2,"ASV_3384",0.000148687829901123,1
"ASV_3446",2,"ASV_3446",8.93774858113241e-05,1
"ASV_3488",2,"ASV_3488",0.00012929919834497,1
"ASV_3494",2,"ASV_3494",0.000121477162293489,1
"ASV_3526",2,"ASV_3526",0.000119674485399713,1
