,Visit,Values,Arm
0,0m,39.9437859946406,Placebo
6764,0m,48.9578552927946,Placebo
6765,0m,68.4923912368068,Placebo
6766,0m,65.4604622434396,Placebo
6767,0m,14.160175726418,Placebo
6768,0m,40.6472677706943,Placebo
6769,0m,52.6754981343626,Placebo
6770,0m,71.6675194306478,Placebo
6771,0m,57.8108979353919,Placebo
6772,0m,62.1171835175241,Placebo
6773,0m,40.2362672924262,Placebo
6774,0m,39.6157417784537,Placebo
6775,0m,41.4421226516256,Placebo
6776,0m,41.5595486856923,Placebo
6777,0m,17.9454532448884,Placebo
6778,0m,35.8183579408738,Placebo
6763,0m,50.985292819525,Placebo
6762,0m,39.6759081814414,Placebo
6761,0m,47.5124697881284,Placebo
6760,0m,58.5562763546347,Placebo
6744,0m,30.2612121690155,Placebo
6745,0m,85.4756703424295,Placebo
6746,0m,42.5451935386289,Placebo
6747,0m,47.935830151936,Placebo
6748,0m,41.0772025878922,Placebo
6749,0m,25.4629863068197,Placebo
6750,0m,73.1692785602826,Placebo
6779,0m,34.0279186329815,Placebo
6751,0m,51.4411275163592,Placebo
6753,0m,41.2317336787514,Placebo
6754,0m,46.0379479617002,Placebo
6755,0m,29.9008004798571,Placebo
6756,0m,27.2376783861837,Placebo
6757,0m,42.0164245766829,Placebo
6758,0m,41.9523472024511,Placebo
6759,0m,48.3248555400612,Placebo
6752,0m,32.0841226750117,Placebo
6780,0m,48.4166711358419,Placebo
6781,0m,29.5594658297399,Placebo
6782,0m,19.0530606203614,Placebo
6803,0m,54.5364529359613,Placebo
6804,0m,45.8442780810843,Placebo
6805,0m,52.0456356885431,Placebo
6806,0m,48.8905312566396,Placebo
6807,0m,38.4082804326283,Placebo
6808,0m,56.7404158531933,Placebo
6809,0m,32.2433768876439,Placebo
6802,0m,51.2873354081204,Placebo
6810,0m,48.8351963242652,Placebo
6812,0m,48.5624037096302,Placebo
6813,0m,45.428539869541,Placebo
6814,0m,64.4160202432606,Placebo
6815,0m,56.9190572788942,Placebo
6816,0m,41.9096413890354,Placebo
6817,0m,44.2967654945512,Placebo
6818,0m,53.5962320403492,Placebo
6811,0m,75.8615748591952,Placebo
6743,0m,82.3446663661159,Placebo
6801,0m,76.7783260067058,Placebo
6799,0m,65.038068306866,Placebo
6783,0m,32.4007463548629,Placebo
6784,0m,20.804198218816,Placebo
6785,0m,45.49569863053,Placebo
6786,0m,52.9358914447808,Placebo
6787,0m,36.4160404559347,Placebo
6788,0m,61.0239995636833,Placebo
6789,0m,46.9582541493204,Placebo
6800,0m,68.5037487408801,Placebo
6790,0m,53.053964083064,Placebo
6792,0m,80.072895907017,Placebo
6793,0m,39.7255658929242,Placebo
6794,0m,46.6249598185937,Placebo
6795,0m,50.8520682671506,Placebo
6796,0m,29.4630082132848,Placebo
6797,0m,48.8690894309,Placebo
6798,0m,52.6744801439777,Placebo
6791,0m,36.0641826788378,Placebo
6819,0m,42.6862794102781,Placebo
6742,0m,33.6780210791127,Placebo
6740,0m,41.0136297233701,Placebo
6685,0m,55.2774789223397,Placebo
6686,0m,43.2335018452163,Placebo
6687,0m,20.0881919717299,Placebo
6688,0m,19.5805957044952,Placebo
6689,0m,28.7088683143816,Placebo
6690,0m,41.4492947311661,Placebo
6691,0m,29.7758445303634,Placebo
6692,0m,29.6458930872083,Placebo
6693,0m,48.2720280815027,Placebo
6694,0m,28.5762862176403,Placebo
6695,0m,62.8364018185182,Placebo
6696,0m,42.5919402770611,Placebo
6697,0m,20.5740297862796,Placebo
6698,0m,64.3824939461981,Placebo
6699,0m,41.485700638425,Placebo
6684,0m,56.1087130228548,Placebo
6683,0m,53.828879654652,Placebo
6682,0m,50.9589596479368,Placebo
6681,0m,22.9355554964709,Placebo
6665,0m,55.1511818400594,Placebo
6666,0m,50.4710553412799,Placebo
6667,0m,34.7060182684886,Placebo
6668,0m,34.2487497394703,Placebo
6669,0m,56.5401054524679,Placebo
6670,0m,26.251359765299,Placebo
6671,0m,37.0582899421679,Placebo
6700,0m,39.2496637235998,Placebo
6672,0m,53.4896054865606,Placebo
6674,0m,27.1700489989415,Placebo
6675,0m,55.944987609227,Placebo
6676,0m,69.1441275796415,Placebo
6677,0m,35.0497974633177,Placebo
6678,0m,45.4365791432644,Placebo
6679,0m,30.0623875157411,Placebo
6680,0m,35.6889930190839,Placebo
6673,0m,32.0834073879611,Placebo
6701,0m,36.3661619961031,Placebo
6702,0m,39.8952342211991,Placebo
6703,0m,36.2607592764691,Placebo
6724,0m,32.9400188982427,Placebo
6725,0m,53.8241689306552,Placebo
6726,0m,74.0180174831258,Placebo
6727,0m,39.1843134862492,Placebo
6728,0m,39.7202527485749,Placebo
6729,0m,49.881362232788,Placebo
6730,0m,29.4211483425122,Placebo
6723,0m,47.9660481074799,Placebo
6731,0m,24.1963828430743,Placebo
6733,0m,56.0009887415927,Placebo
6734,0m,48.4161892199561,Placebo
6735,0m,86.2962818351354,Placebo
6736,0m,25.2009204065098,Placebo
6737,0m,40.7478955336163,Placebo
6738,0m,47.6193374210003,Placebo
6739,0m,25.8555360061297,Placebo
6732,0m,28.4809397573142,Placebo
6741,0m,48.3445893415242,Placebo
6722,0m,45.7932611066227,Placebo
6720,0m,44.6687226692061,Placebo
6704,0m,44.5544280929105,Placebo
6705,0m,34.960375566878,Placebo
6706,0m,38.3764021159456,Placebo
6707,0m,18.8624073962329,Placebo
6708,0m,57.9050416380334,Placebo
6709,0m,49.5827236318129,Placebo
6710,0m,48.2897618130517,Placebo
6721,0m,49.0375877315232,Placebo
6711,0m,45.132856135488,Placebo
6713,0m,30.6120036347328,Placebo
6714,0m,46.5470144800111,Placebo
6715,0m,43.5511455678506,Placebo
6716,0m,38.4236030940712,Placebo
6717,0m,44.45738470002,Placebo
6718,0m,52.2454213211198,Placebo
6719,0m,79.6349388667113,Placebo
6712,0m,48.1535856304892,Placebo
6820,0m,54.1306979304943,Placebo
6821,0m,48.7565798799138,Placebo
6822,0m,42.5427379740072,Placebo
6923,0m,56.6076637247385,Placebo
6924,0m,38.6974187170358,Placebo
6925,0m,38.129959461005,Placebo
6926,0m,62.6040405652087,Placebo
6927,0m,36.6625531063213,Placebo
6928,0m,35.027409335839,Placebo
6929,0m,29.895572687337,Placebo
6930,0m,42.8722697906109,Placebo
6931,0m,51.6725031114526,Placebo
6932,0m,36.9200410211592,Placebo
6933,0m,43.3344524150144,Placebo
6934,0m,33.0253362247765,Placebo
6935,0m,39.6056165561566,Placebo
6936,0m,49.8479786933009,Placebo
6937,0m,32.4194818860012,Placebo
6922,0m,37.5054176978621,Placebo
6921,0m,41.1082838155437,Placebo
6920,0m,42.8661547273826,Placebo
6919,0m,63.8164423243041,Placebo
6903,0m,31.0499366652606,Placebo
6904,0m,49.4388481620891,Placebo
