,Visit,Values,Arm
0,12m,0.602738088121002,Placebo
4002,12m,0.515757597098489,Placebo
4001,12m,0.280722785883454,Placebo
4000,12m,0.979031729630283,Placebo
3999,12m,0.444899783920721,Placebo
3998,12m,0.327224339200387,Placebo
3997,12m,0.254123213274248,Placebo
3996,12m,0.705270898091514,Placebo
3995,12m,0.744553015210448,Placebo
3994,12m,0.242622560685388,Placebo
3993,12m,0.308431294312636,Placebo
3992,12m,0.333782310307229,Placebo
3991,12m,0.528304809107101,Placebo
3990,12m,0.662075409144338,Placebo
3989,12m,0.842112872909538,Placebo
3988,12m,0.969980879541109,Placebo
3987,12m,0.742977877206065,Placebo
3986,12m,0.405665011188124,Placebo
3985,12m,0.662398137369034,Placebo
3984,12m,0.667441212008551,Placebo
4003,12m,0.491991619922957,Placebo
3983,12m,0.4732806555458,Placebo
4004,12m,0.412548949272113,Placebo
4006,12m,0.540221601657508,Placebo
4025,12m,0.524899549494704,Placebo
4024,12m,0.625357259991566,Placebo
4023,12m,0.267512410369553,Placebo
4022,12m,0.590645678352719,Placebo
4021,12m,0.86803072944398,Placebo
4020,12m,0.387211067993926,Placebo
4019,12m,0.522095988870856,Placebo
4018,12m,0.575131849468133,Placebo
4017,12m,0.909325886092873,Placebo
4016,12m,0.697955827067669,Placebo
4015,12m,0.733741469289442,Placebo
4014,12m,0.431970649895178,Placebo
4013,12m,0.53784826403772,Placebo
4012,12m,0.539043624925924,Placebo
4011,12m,0.671929716778276,Placebo
4010,12m,0.48309705561614,Placebo
4009,12m,0.267872673508436,Placebo
4008,12m,0.729230769230769,Placebo
4007,12m,0.500875350140056,Placebo
4005,12m,0.789754349156395,Placebo
3982,12m,0.558610747750874,Placebo
3981,12m,0.580150450937201,Placebo
3980,12m,0.614894310871305,Placebo
3955,12m,0.486064659977703,Placebo
3954,12m,0.698976279650437,Placebo
3953,12m,0.989258920909116,Placebo
3952,12m,0.423083210724211,Placebo
3951,12m,0.544561766226095,Placebo
3950,12m,0.595536161384935,Placebo
3949,12m,0.522936514290289,Placebo
3948,12m,0.456849075223634,Placebo
3947,12m,0.494791980251671,Placebo
3946,12m,0.748831411654721,Placebo
3945,12m,0.525417428208544,Placebo
3944,12m,0.908492609180176,Placebo
3943,12m,0.439362307838299,Placebo
3942,12m,0.48018014920755,Placebo
3941,12m,0.92269760282758,Placebo
3940,12m,0.974825665540985,Placebo
3939,12m,0.397258481368796,Placebo
3938,12m,0.850099696812433,Placebo
3937,12m,0.428103862099062,Placebo
3956,12m,0.882673406346532,Placebo
3957,12m,0.471146390991324,Placebo
3958,12m,0.649946638207044,Placebo
3959,12m,0.587064676616915,Placebo
3979,12m,0.35389756442388,Placebo
3978,12m,0.558467328087581,Placebo
3977,12m,0.576650943396226,Placebo
3976,12m,0.986516142168729,Placebo
3975,12m,0.764085559753214,Placebo
3974,12m,0.450011425959781,Placebo
3973,12m,0.492737042815046,Placebo
3972,12m,0.767858711888235,Placebo
3971,12m,0.461019726476335,Placebo
4026,12m,0.464224384659416,Placebo
3970,12m,0.453707728418673,Placebo
3968,12m,0.317163260280719,Placebo
3967,12m,0.571794871794872,Placebo
3966,12m,0.515330656902104,Placebo
3965,12m,0.569405099150142,Placebo
3964,12m,0.769724317845308,Placebo
3963,12m,0.465282104534441,Placebo
3962,12m,0.567114893617021,Placebo
3961,12m,0.392389981091512,Placebo
3960,12m,0.403793169731531,Placebo
3969,12m,0.743555226492562,Placebo
4027,12m,0.843734717676711,Placebo
4028,12m,0.494912118408881,Placebo
4029,12m,0.910721313318716,Placebo
4095,12m,0.552154983641188,Placebo
4094,12m,0.603491271820449,Placebo
4093,12m,0.562006403415155,Placebo
