,Visit,Values,Arm
0,0m,52.1460811156599,AZM
4376,0m,22.3556665910102,AZM
4375,0m,29.3432680688622,AZM
4374,0m,50.2075402083571,AZM
4373,0m,53.9788971688915,AZM
4372,0m,47.8485759176893,AZM
4371,0m,48.4000585683101,AZM
4370,0m,50.1546902653909,AZM
4369,0m,33.0228862059229,AZM
4368,0m,36.2367425451279,AZM
4367,0m,27.2362683489908,AZM
4366,0m,30.4331061563032,AZM
4365,0m,27.1586282965394,AZM
4364,0m,64.184670708557,AZM
4363,0m,42.3210187303072,AZM
4362,0m,43.4936084913977,AZM
4361,0m,42.6391862321928,AZM
4360,0m,49.9421615962254,AZM
4359,0m,45.7588912504755,AZM
4358,0m,44.3839305940909,AZM
4357,0m,95.0443811431677,AZM
4356,0m,78.371231891788,AZM
4377,0m,29.1466369765564,AZM
4378,0m,39.8979004653617,AZM
4379,0m,47.3549403442765,AZM
4380,0m,34.8056684270659,AZM
4402,0m,40.4153488283926,AZM
4401,0m,28.9163835047028,AZM
4400,0m,44.0091457537061,AZM
4399,0m,27.244283815377,AZM
4398,0m,46.9003252784687,AZM
4397,0m,37.7094602449295,AZM
4396,0m,28.2848253461579,AZM
4395,0m,23.0270532502378,AZM
4394,0m,31.925351062474,AZM
4393,0m,29.2434543819009,AZM
4355,0m,34.0314773883092,AZM
4392,0m,32.6803903592808,AZM
4390,0m,51.8958744831178,AZM
4389,0m,27.0506664218316,AZM
4388,0m,47.7159895452401,AZM
4387,0m,45.3411591562958,AZM
4386,0m,23.0790515822323,AZM
4385,0m,62.1968534263777,AZM
4384,0m,46.5859760066841,AZM
4383,0m,29.5998430791928,AZM
4382,0m,30.0147071635049,AZM
4381,0m,39.1657656829324,AZM
4391,0m,61.7528791965396,AZM
4403,0m,31.2369277462249,AZM
4354,0m,44.5227730004236,AZM
4352,0m,40.6660101913729,AZM
4325,0m,44.5778998966415,AZM
4324,0m,50.1692053236567,AZM
4323,0m,42.6761270687697,AZM
4322,0m,39.2974208574978,AZM
4321,0m,39.9133744057109,AZM
4320,0m,46.1951893756708,AZM
4319,0m,63.8996967987659,AZM
4318,0m,56.1830262762291,AZM
4317,0m,34.2806337856551,AZM
