,Visit,Values,Arm
0,12m,0.427425691603219,AZM
4453,12m,0.322334902227182,AZM
4452,12m,0.462265329059651,AZM
4451,12m,0.338326311957144,AZM
4450,12m,0.7749463427929,AZM
4449,12m,0.516027614818656,AZM
4448,12m,0.510987761044634,AZM
4447,12m,0.835281272488151,AZM
4446,12m,0.369111823496134,AZM
4445,12m,0.504315470482182,AZM
4444,12m,0.585671277106331,AZM
4454,12m,0.465537257599862,AZM
4443,12m,0.447082790635541,AZM
4441,12m,0.420610963535378,AZM
4440,12m,0.303493611049561,AZM
4439,12m,0.25938327363339,AZM
4438,12m,0.413536486438825,AZM
4437,12m,0.444952514948998,AZM
4436,12m,0.434904294675889,AZM
4435,12m,0.317865429234339,AZM
4434,12m,0.403661591828869,AZM
4433,12m,0.303141125194129,AZM
4432,12m,0.522201505420896,AZM
4442,12m,0.524966892576147,AZM
4431,12m,0.868894046526691,AZM
4455,12m,0.476568025311744,AZM
4457,12m,0.439660984301262,AZM
4479,12m,0.867794817556848,AZM
4478,12m,0.559358618563059,AZM
4477,12m,0.440047660855387,AZM
4476,12m,0.590931813637273,AZM
4475,12m,0.471475022169672,AZM
4474,12m,0.343994575198486,AZM
4473,12m,0.584795174032661,AZM
4472,12m,0.636515362245543,AZM
4471,12m,0.499465400203894,AZM
4470,12m,0.411084827978561,AZM
4456,12m,0.445209227313308,AZM
4469,12m,0.642787761049053,AZM
4467,12m,0.570781576926133,AZM
4466,12m,0.39702506930575,AZM
4465,12m,0.578215696795278,AZM
4464,12m,0.56110722494254,AZM
4463,12m,0.741033918542431,AZM
4462,12m,0.405098855359001,AZM
4461,12m,0.759815075667281,AZM
4460,12m,0.456728277768181,AZM
4459,12m,0.397551734188283,AZM
4458,12m,0.521989729975198,AZM
4468,12m,0.431429512713768,AZM
4480,12m,0.886465592641706,AZM
4430,12m,0.409622318534436,AZM
4428,12m,0.33237106967309,AZM
4401,12m,0.452743996542996,AZM
4400,12m,0.57522974994657,AZM
4399,12m,0.656080748399803,AZM
4398,12m,0.849081803005008,AZM
4397,12m,0.440295769480428,AZM
4396,12m,0.513566365191885,AZM
4395,12m,0.385402068103481,AZM
4394,12m,0.432393277960209,AZM
4393,12m,0.530806826376092,AZM
4392,12m,0.78801238841319,AZM
4402,12m,0.568791565287916,AZM
4391,12m,0.289641707561606,AZM
4389,12m,0.378555478273603,AZM
4388,12m,0.252281789986708,AZM
4387,12m,0.432290304773526,AZM
4386,12m,0.785299806576402,AZM
4385,12m,0.740963146120334,AZM
4384,12m,0.460181810565121,AZM
4383,12m,0.426306090087001,AZM
4382,12m,0.391713567998982,AZM
4381,12m,0.434424513156976,AZM
4380,12m,0.669225609301632,AZM
4390,12m,0.665464918188661,AZM
4429,12m,0.514605009633911,AZM
4403,12m,0.338659230508347,AZM
4405,12m,0.358360937308306,AZM
4427,12m,0.325326039560788,AZM
4426,12m,0.391547150653636,AZM
4425,12m,0.277968316184877,AZM
4424,12m,0.438129644315211,AZM
4423,12m,0.391417512012814,AZM
4422,12m,0.357860322212156,AZM
4421,12m,0.809288453344695,AZM
4420,12m,0.579906526344104,AZM
4419,12m,0.314950011625203,AZM
4418,12m,0.398644584352568,AZM
4404,12m,0.401213059749645,AZM
4417,12m,0.380937155849231,AZM
4415,12m,0.496341764173951,AZM
4414,12m,0.358065381519948,AZM
4413,12m,0.48744971842317,AZM
4412,12m,0.3379440885265,AZM
4411,12m,0.639944626227033,AZM
4410,12m,0.304425954138834,AZM
4409,12m,0.43226155093218,AZM
4408,12m,0.332511896668933,AZM
4407,12m,0.343696728630571,AZM
4406,12m,0.466369443134565,AZM
4416,12m,0.315354808407374,AZM
4379,12m,0.4460399227302,AZM
4481,12m,0.517985946298106,AZM
4483,12m,0.518954175493366,AZM
4557,12m,0.511997946875401,AZM
4556,12m,0.625112495050218,AZM
4555,12m,0.869226949180599,AZM
4554,12m,0.548857007725051,AZM
4553,12m,0.380787069180993,AZM
4552,12m,0.596030764266122,AZM
4551,12m,0.568298579631309,AZM
4550,12m,0.648167829582736,AZM
4549,12m,0.491982836495032,AZM
4548,12m,0.407593663565502,AZM
