,Group,Values
14458,AZM,38.8784098256199
11818,AZM,31.822644272355
11819,AZM,34.2191969324097
11820,AZM,47.7613602017116
11821,AZM,38.6649190081523
11822,AZM,33.777970862893
11823,AZM,30.0320072647215
11824,AZM,62.6107506203492
11825,AZM,36.8988757349213
11826,AZM,51.6336172216331
11827,AZM,44.7696388473996
11828,AZM,47.873974261716
11829,AZM,29.154652668733
11830,AZM,48.0172979547913
11831,AZM,32.8125143547102
11817,AZM,34.6035678123747
11832,AZM,42.7300256930647
11834,AZM,50.8812566487933
11835,AZM,33.5639003538683
11836,AZM,31.902013002667
11837,AZM,28.8876100291952
11838,AZM,42.6342657575822
11839,AZM,37.5127959082149
11840,AZM,26.0552844283891
11841,AZM,37.0893752960157
11842,AZM,36.2071565080093
11843,AZM,51.6721897315112
11844,AZM,36.2374148714513
11845,AZM,39.3967859330876
11846,AZM,29.6492092912371
11847,AZM,47.5265451979988
11833,AZM,37.6852016540481
11816,AZM,28.3453596983104
11815,AZM,39.7286526882084
11814,AZM,47.1271597382144
11783,AZM,28.5481317169952
11784,AZM,32.5010259606565
11785,AZM,45.4045552717781
11786,AZM,38.8678822547068
11787,AZM,28.0681109353728
11788,AZM,30.6396948781724
11789,AZM,48.4481778047821
11790,AZM,33.6782065066556
11791,AZM,43.2072566407124
11792,AZM,44.4709581089872
11793,AZM,33.5027249952625
11794,AZM,29.3920306077046
11795,AZM,36.5266411072069
11796,AZM,34.4040820332542
11797,AZM,40.4235247560522
11798,AZM,32.6254796575778
11799,AZM,40.4165240950391
11813,AZM,35.5978463250151
11812,AZM,26.2012008680355
11811,AZM,45.0040351031243
11810,AZM,37.1443415089683
11809,AZM,26.2120388872795
11808,AZM,36.6453309495014
11848,AZM,28.6724403775886
11807,AZM,37.1521952997601
11805,AZM,25.9032654712299
11804,AZM,36.2346448976829
11803,AZM,37.6173042273908
11802,AZM,30.7954116023747
11801,AZM,36.1167539964607
11800,AZM,45.4452409905913
11806,AZM,38.6791245956122
11782,AZM,30.5886484172791
11849,AZM,35.2542875565386
11851,AZM,34.1337954139999
11887,AZM,35.8826587765677
11888,AZM,29.479952738287
11889,AZM,45.3754223774756
11890,AZM,30.2691480955717
11891,AZM,25.2025862960678
11892,AZM,31.2127697179646
11893,AZM,44.9763451401307
11894,AZM,49.2513652696251
11895,AZM,28.0604076506997
11896,AZM,42.3176480620785
11897,AZM,45.9456311171502
11898,AZM,35.9890157147976
11899,AZM,37.1644050556499
