,Group,Values
14458,AZM,0.38439323747067
11818,AZM,0.604519115977055
11819,AZM,0.850407499095992
11820,AZM,0.87825248955991
11821,AZM,0.384039733624357
11822,AZM,0.483263724956116
11823,AZM,0.533991373150917
11824,AZM,0.711477613194075
11825,AZM,0.55470210379635
11826,AZM,0.859535300788565
11827,AZM,0.609642074506939
11828,AZM,0.597947402180885
11829,AZM,0.347652754047677
11830,AZM,0.56045462333657
11831,AZM,0.372486657226882
11817,AZM,0.591953852980328
11832,AZM,0.918401154246934
11834,AZM,0.702617514046869
11835,AZM,0.277723349661768
11836,AZM,0.417235343362338
11837,AZM,0.674940068285832
11838,AZM,0.520629002188539
11839,AZM,0.479730905294902
11840,AZM,0.419549130958527
11841,AZM,0.445782470031893
11842,AZM,0.210637341356296
11843,AZM,0.461768346062125
11844,AZM,0.334469209638722
11845,AZM,0.503091655266758
11846,AZM,0.449230020509612
11847,AZM,0.390339168797595
11833,AZM,0.772815979795661
11816,AZM,0.339805825242718
11815,AZM,0.482952512395849
11814,AZM,0.698184876685569
11783,AZM,0.415810533145885
11784,AZM,0.8284098265699
11785,AZM,0.856408922416596
11786,AZM,0.429563673394783
11787,AZM,0.213993948562784
11788,AZM,0.445281687882772
11789,AZM,0.513723334821889
11790,AZM,0.382410937294597
11791,AZM,0.830624301452978
11792,AZM,0.512405296153753
11793,AZM,0.298966555456099
11794,AZM,0.47547157345314
11795,AZM,0.379222972972973
11796,AZM,0.351754319008727
11797,AZM,0.918118410381184
11798,AZM,0.722328446993839
11799,AZM,0.428052776055964
11813,AZM,0.603747230517291
11812,AZM,0.477447054850692
11811,AZM,0.537384286731545
11810,AZM,0.632795242141037
11809,AZM,0.306291044949296
11808,AZM,0.470171661662229
11848,AZM,0.48537877702993
11807,AZM,0.284446685152508
11805,AZM,0.1511592683211
11804,AZM,0.311504805623297
11803,AZM,0.400572199020027
11802,AZM,0.642138636691166
11801,AZM,0.384282536490234
11800,AZM,0.50082717547149
11806,AZM,0.455442752397067
11782,AZM,0.491306105944197
11849,AZM,0.477259083502473
11851,AZM,0.452106926925084
11887,AZM,0.410305605043168
11888,AZM,0.534984264233716
11889,AZM,0.58268130328156
11890,AZM,0.340832568105295
11891,AZM,0.430231686286271
11892,AZM,0.846686938688919
11893,AZM,0.873210496176778
11894,AZM,0.538866505506312
11895,AZM,0.339691798368344
11896,AZM,0.472045152722444
11897,AZM,0.468549422336329
11898,AZM,0.531488461892066
11899,AZM,0.838005818566517
11900,AZM,0.506634199672017
11886,AZM,0.542755870624723
11901,AZM,0.373995151205819
11903,AZM,0.317781271710117
11904,AZM,0.558165080029292
11905,AZM,0.931447005847167
11906,AZM,0.728353265869365
11907,AZM,0.419861517728519
11908,AZM,0.630976392716116
11909,AZM,0.449889763779528
11910,AZM,0.744439157844653
11911,AZM,0.421579987730898
11912,AZM,0.341164186896372
11913,AZM,0.368606831635842
11914,AZM,0.57572709251753
11915,AZM,0.217640152626945
11916,AZM,0.421943813770277
11902,AZM,0.663539241199836
11885,AZM,0.572405220633934
11884,AZM,0.464612170279446
11883,AZM,0.394667341991968
11852,AZM,0.446435637967098
11853,AZM,0.330056488885628
11854,AZM,0.407553956834532
11855,AZM,0.816988574537541
11856,AZM,0.853373576088015
11857,AZM,0.453853373657316
11858,AZM,0.289633571078154
11859,AZM,0.385201305767138
11860,AZM,0.457799108673294
11861,AZM,0.448688811188811
11862,AZM,0.826863007585899
11863,AZM,0.451996519385091
11864,AZM,0.401469334740431
11865,AZM,0.564655456643587
11866,AZM,0.251834942932397
11867,AZM,0.483359585386921
11868,AZM,0.905452661572335
11882,AZM,0.569444444444444
11881,AZM,0.318206492237542
11880,AZM,0.483141151839005
11879,AZM,0.311431758482962
11878,AZM,0.514044146853544
11877,AZM,0.500758768790265
11850,AZM,0.365375733984298
11876,AZM,0.264272852452071
11874,AZM,0.360640672180649
11873,AZM,0.676756632330092
11872,AZM,0.382345784158657
11871,AZM,0.574586395793762
11870,AZM,0.478560388606756
11869,AZM,0.726158086286704
11875,AZM,0.251619367999141
11781,AZM,0.429428919278575
11780,AZM,0.348665600787111
11779,AZM,0.502164931416295
11679,AZM,0.356322394989481
11680,AZM,0.883334241945156
11681,AZM,0.649595687331536
11682,AZM,0.614754491017964
11683,AZM,0.587381816019504
11684,AZM,0.655741542783565
11685,AZM,0.155785354946898
11686,AZM,0.17762538658061
11687,AZM,0.674789840815596
11688,AZM,0.622889477046637
11689,AZM,0.429209421021851
11690,AZM,0.870069213887795
11691,AZM,0.579037330780801
11692,AZM,0.191278546071107
11678,AZM,0.290091312035265
11693,AZM,0.42786528150134
11695,AZM,0.565418778268214
11696,AZM,0.771802450713117
11697,AZM,0.523461757117243
11698,AZM,0.222407129053038
11699,AZM,0.255789807631298
11700,AZM,0.741461901643864
11701,AZM,0.634089791330008
11702,AZM,0.620464737056665
11703,AZM,0.473347547974414
11704,AZM,0.413540625100797
11705,AZM,0.41970295061483
11706,AZM,0.357432322904847
11707,AZM,0.549953411326224
11708,AZM,0.54072537516611
11694,AZM,0.738205037247251
11677,AZM,0.592268643199314
11676,AZM,0.713992999231623
11675,AZM,0.738642188155258
11644,AZM,0.438017737062664
11645,AZM,0.573314091578726
11646,AZM,0.332850976772037
11647,AZM,0.435560404983633
11648,AZM,0.480227992400253
11649,AZM,0.555849230062055
11650,AZM,0.495104781940286
11651,AZM,0.350220706260032
11652,AZM,0.396901372968888
11653,AZM,0.546107636093392
11654,AZM,0.801545631526164
11655,AZM,0.827569603761294
11656,AZM,0.293535589264877
11657,AZM,0.387926305940051
11658,AZM,0.380637940682708
11659,AZM,0.685717680608365
11660,AZM,0.471030905238548
11674,AZM,0.685861489852267
11673,AZM,0.688852882351452
11672,AZM,0.67695315820794
11671,AZM,0.683979037993637
11670,AZM,0.459003944048406
11669,AZM,0.6383064961863
11709,AZM,0.354126297348233
11668,AZM,0.700747065101387
11666,AZM,0.468670193360088
11665,AZM,0.408474627680548
11664,AZM,0.498277050310131
11663,AZM,0.559095122034946
11662,AZM,0.403697728164654
11661,AZM,0.79909668785547
11667,AZM,0.876646503476737
11710,AZM,0.387259803789087
11711,AZM,0.31950252245933
11712,AZM,0.609691358024691
11748,AZM,0.312679416918316
11749,AZM,0.380139614780162
11750,AZM,0.77078946460009
11751,AZM,0.802265095147165
11752,AZM,0.472215628873592
11753,AZM,0.24712202609363
11754,AZM,0.374427889765313
11755,AZM,0.460164978594549
11756,AZM,0.365001559645292
11757,AZM,0.770227897203814
11758,AZM,0.486771064910952
11759,AZM,0.460781882800231
11760,AZM,0.498109798936135
11761,AZM,0.41090027108004
11762,AZM,0.470236107185983
11763,AZM,0.850353095746428
11764,AZM,0.651353097408657
11778,AZM,0.518412462058301
11777,AZM,0.417087445490016
11776,AZM,0.479171357802297
11775,AZM,0.421763968231852
11774,AZM,0.480090981337864
11773,AZM,0.334703832752613
11747,AZM,0.477775551675778
11772,AZM,0.436434014757469
11770,AZM,0.420868559469061
11769,AZM,0.310932764993839
11768,AZM,0.609150517266501
11767,AZM,0.377377685975892
11766,AZM,0.50925100312082
11765,AZM,0.508691344681618
11771,AZM,0.249151015316377
11917,AZM,0.300872792247955
11746,AZM,0.445433051269288
11744,AZM,0.47252619998842
11713,AZM,0.516744065303297
11714,AZM,0.384529147982063
11715,AZM,0.251260733269729
11716,AZM,0.459813959713578
11717,AZM,0.662665904616752
11718,AZM,0.686434238122739
11719,AZM,0.411947974877602
11720,AZM,0.370369074689522
11721,AZM,0.239529581183247
11722,AZM,0.599884822114154
11723,AZM,0.450612833453497
11724,AZM,0.666049013747758
11725,AZM,0.423397303143265
11726,AZM,0.484788384537664
11727,AZM,0.396532576505429
11728,AZM,0.486993226661431
11729,AZM,0.33608376761243
11743,AZM,0.411590671771667
11742,AZM,0.447991350859224
11741,AZM,0.45629765602937
11740,AZM,0.553543241671513
11739,AZM,0.367372881355932
11738,AZM,0.512175721977484
11745,AZM,0.504535564853556
11737,AZM,0.271297141653206
11735,AZM,0.528338762214984
11734,AZM,0.367141467879412
11733,AZM,0.460651341993596
11732,AZM,0.555941935223
11731,AZM,0.536973047684865
11730,AZM,0.745162268729148
11736,AZM,0.442406701360866
11643,AZM,0.40245992842751
11918,AZM,0.398535062439962
11920,AZM,0.487409827140329
12095,AZM,0.540980699317235
12096,AZM,0.575583203732504
12097,AZM,0.45830593907517
12098,AZM,0.711061097504468
12099,AZM,0.863697426888498
12100,AZM,0.448815341025746
12101,AZM,0.52087829595571
12102,AZM,0.767310960067969
12103,AZM,0.265491915440252
12104,AZM,0.593755353777625
12105,AZM,0.937935004448166
12106,AZM,0.79609934053599
12107,AZM,0.594182594482805
12108,AZM,0.639815853965782
12094,AZM,0.521033048807179
12109,AZM,0.480228798806267
12111,AZM,0.576424527802762
12112,AZM,0.498596819457437
12113,AZM,0.485150180890148
12114,AZM,0.624032750420029
12115,AZM,0.385317504759772
12116,AZM,0.437236195432206
12117,AZM,0.485195398456867
12118,AZM,0.530503750107762
12119,AZM,0.55697393173878
12120,AZM,0.431555531441593
12121,AZM,0.465106242542713
12122,AZM,0.317697895791583
12123,AZM,0.347037016544016
12124,AZM,0.320095663666688
12110,AZM,0.812155483748337
12093,AZM,0.899127061105723
12092,AZM,0.893854444504926
12091,AZM,0.615813741674731
12060,AZM,0.50069894522811
12061,AZM,0.302454339826474
